kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,-18,-37198,-40916,-44953,-181,-37379,8180,-51819,"13174,346","-3,412","-3,933",N
I Q 2023,PLN,51,-827,-1617,-711,5,-822,9065,-52123,"13174,346","-0,054","-3,956",N
II Q 2023,PLN,48,-2100,-3483,-2827,-2,-2102,9210,-55000,"13174,346","-0,215","-4,175",N
III Q 2023,PLN,48,-1020,-2857,-983,-2,-1022,8303,-56912,"13174,346","-0,075","-4,320",N
IV Q 2021,PLN,1120,4696,3262,1459,-272,4424,56612,241,"13174,346","0,111","0,018",N
I Q 2022,PLN,104,-1058,-1662,-567,91,-967,59044,367,"13174,346","-0,043","0,028",N
II Q 2022,PLN,261,-4241,-3455,-2940,95,-4146,56533,-3938,"13174,346","-0,223","-0,299",N
III Q 2022,PLN,102,-4221,-7859,-6775,95,-4126,53761,-7649,"13174,346","-0,514","-0,581",N
IV Q 2020,PLN,525,-6314,-4611,-6746,511,-5803,67645,18338,"13174,346","-0,512","1,392",N
I Q 2021,PLN,172,-1587,-1055,-1036,104,-1483,74365,19643,"13174,346","-0,079","1,491",N
II Q 2021,PLN,80,-15710,-16617,-13382,99,-15611,57739,6447,"13174,346","-1,016","0,489",N
III Q 2021,PLN,232,-1305,-2724,-4379,101,-1204,55676,2024,"13174,346","-0,332","0,154",N
IV Q 2019,PLN,580,-8409,-6041,-4389,192,-8217,75925,35469,"13174,346","-0,333","2,692",N
I Q 2020,PLN,185,-2166,-1689,-3208,-211,-2377,76691,31045,"13174,346","-0,244","2,356",N
II Q 2020,PLN,43,-2901,-5109,-841,95,-2806,79099,30131,"13174,346","-0,064","2,287",N
III Q 2020,PLN,189,-2031,-3546,-2214,103,-1928,77946,26181,"13174,346","-0,168","1,987",N
IV Q 2018,PLN,316,-7834,-10262,-10475,2134,-5700,82752,38044,"11784,346","-0,889","3,228",N
I Q 2019,PLN,401,823,-739,266,285,1108,92097,50332,"11784,346","0,023","4,271",N
II Q 2019,PLN,384,-7588,-7914,-6410,286,-7302,84583,43036,"13174,346","-0,487","3,267",N
III Q 2019,PLN,413,-1641,-2549,-2011,199,-1442,83045,40354,"13174,346","-0,153","3,063",N
IV Q 2017,PLN,138,-34602,-39134,-23806,340,-34262,66927,36640,"10164,346","-2,342","3,605",N
I Q 2018,PLN,778,-6516,-6939,-5606,283,-6233,78988,36723,"10164,346","-0,552","3,613",N
II Q 2018,PLN,1045,-6567,-8041,-6570,432,-6135,83018,35149,"10164,346","-0,646","3,458",N
III Q 2018,PLN,1025,-5314,-6561,-4694,266,-5048,84092,30942,"10164,346","-0,462","3,044",N
IV Q 2016,PLN,2061,-6028,-7267,-4678,279,-5749,97641,57958,"10164,346","-0,460","5,702",N
I Q 2017,PLN,3275,-4698,-5217,-4203,211,-4487,99249,59372,"10164,346","-0,414","5,841",N
II Q 2017,PLN,1304,-6010,-6611,-5530,290,-5720,109391,64170,"10164,346","-0,544","6,313",N
III Q 2017,PLN,1045,-6567,-8041,-6570,248,-6319,107955,59967,"10164,346","-0,646","5,900",N
IV Q 2015,PLN,2412,-4849,-6918,-5657,190,-4659,86122,47634,"9070,180","-0,624","5,252",N
I Q 2016,PLN,1688,-3424,-3873,-3189,213,-3211,79940,49455,"9434,346","-0,338","5,242",N
II Q 2016,PLN,608,-4953,-5944,-5018,262,-4691,86288,50578,"9434,346","-0,532","5,361",N
III Q 2016,PLN,422,-4432,-4946,-4311,201,-4231,100755,62294,"9434,346","-0,457","6,603",N
IV Q 2014,PLN,0,-3402,-4407,-3204,389,-3013,53918,18687,"8070,180","-0,397","2,316",N
I Q 2015,PLN,0,-2679,-6404,-6117,6,-2673,60703,21781,"8070,180","-0,758","2,699",N
II Q 2015,PLN,952,-3213,-3618,-3054,34,-3179,70364,36368,"8070,180","-0,378","4,506",N
III Q 2015,PLN,573,-2926,-3161,-3476,43,-2883,67307,33152,"8070,180","-0,431","4,108",N
IV Q 2013,PLN,0,-2946,-3972,-3555,3,-2943,16545,466,"8070,180","-0,441","0,058",N
I Q 2014,PLN,0,-3166,-3579,-3444,0,-3166,0,0,"8070,180","-0,427","0,000",N
II Q 2014,PLN,0,-2095,-2563,-2101,0,-2095,0,0,"8070,180","-0,260","0,000",N
III Q 2014,PLN,36,9919,9230,10751,-7,9912,0,0,"8070,180","1,332","0,000",N
