kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,331010,-30465,-26511,-31406,38601,8136,1793073,674123,"46580,831","-0,674","14,472",N
I Q 2023,PLN,295815,-4987,32738,32564,40676,35689,2142900,706581,"46580,831","0,699","15,169",N
II Q 2023,PLN,326880,669,20959,6958,44115,44784,2083968,713533,"46580,831","0,149","15,318",N
III Q 2023,PLN,363483,14578,-18283,-14197,44162,58740,2084972,699285,"46580,831","-0,305","15,012",N
IV Q 2021,PLN,351648,24093,26746,22109,41453,65546,1921256,774355,"46580,831","0,475","16,624",N
I Q 2022,PLN,253091,-22713,-34890,-31804,39722,17009,1859559,742551,"46580,831","-0,683","15,941",N
II Q 2022,PLN,261856,-11783,-14009,-15958,39673,27890,1849448,726593,"46580,831","-0,343","15,599",N
III Q 2022,PLN,267162,139,-28245,-23490,40141,40280,1822613,703103,"46580,831","-0,504","15,094",N
IV Q 2020,PLN,224356,-34487,-42873,-28814,41047,6560,2018298,820942,"46580,831","-0,619","17,624",N
I Q 2021,PLN,145952,-49511,-58480,-56280,41446,-8065,1973696,764557,"46580,831","-1,208","16,414",N
II Q 2021,PLN,201815,-27576,-13441,-9214,39791,12215,1942254,753804,"46580,831","-0,198","16,183",N
III Q 2021,PLN,266459,11143,-4777,-1183,38689,49832,1916322,752621,"46580,831","-0,025","16,157",N
IV Q 2019,PLN,378181,25118,26697,17707,42220,67338,1992445,931243,"46580,831","0,380","19,992",N
I Q 2020,PLN,289589,-19543,-52518,-42728,42710,23167,1954417,888878,"46580,831","-0,917","19,082",N
II Q 2020,PLN,129533,-53323,-46776,-38588,41448,-11875,1918432,856460,"46580,831","-0,828","18,387",N
III Q 2020,PLN,192981,-4355,-10533,-7063,37784,33429,1963116,849143,"46580,831","-0,152","18,229",N
IV Q 2018,PLN,346017,14647,9500,265,22757,37404,1399826,975010,"46580,831","0,006","20,932",N
I Q 2019,PLN,308437,471,-3678,-5049,37408,37879,1939941,969961,"46580,831","-0,108","20,823",N
II Q 2019,PLN,269787,-9170,-7094,-6219,39282,30112,1939693,939566,"46580,831","-0,134","20,171",N
III Q 2019,PLN,293258,8259,-1851,-2901,39127,47386,1937541,918179,"46580,831","-0,062","19,712",N
IV Q 2017,PLN,330364,-74281,-80244,-73466,28446,-45835,1405683,995618,"47665,426","-1,541","20,888",N
I Q 2018,PLN,277997,13066,12498,8176,23333,36399,1390972,1002909,"47665,426","0,172","21,041",N
II Q 2018,PLN,258258,-22782,3298,335,20495,-2287,1384231,979939,"47665,426","0,007","20,559",N
III Q 2018,PLN,258886,-4056,-4408,-3688,21049,16993,1939693,939566,"46580,831","-0,079","20,171",N
IV Q 2016,PLN,340298,24705,14808,10164,24424,49129,1569382,1097123,"47665,426","0,213","23,017",N
I Q 2017,PLN,300968,3562,981,-8174,25324,28886,1522909,1088949,"47665,426","-0,171","22,846",N
II Q 2017,PLN,282715,6786,4669,334,24632,31418,1461778,1092849,"47665,426","0,007","22,927",N
III Q 2017,PLN,251432,-9103,-622,-2235,24605,15502,1460823,1090614,"47665,426","-0,047","22,881",N
IV Q 2015,PLN,353958,17057,16554,15752,24295,41352,1610213,1153486,"47665,426","0,330","24,200",N
I Q 2016,PLN,288482,3029,-2658,-7200,24974,28003,1545547,1144439,"47665,426","-0,151","24,010",N
II Q 2016,PLN,296253,-1353,-1296,-5068,24206,22853,1574617,1101210,"47665,426","-0,106","23,103",N
III Q 2016,PLN,273399,-9699,-10659,-14533,24584,14885,1506870,1086961,"47665,426","-0,305","22,804",N
IV Q 2014,PLN,333694,1107,1194,8171,24310,25417,1556499,1149589,"50937,386","0,160","22,569",N
I Q 2015,PLN,282819,2531,1441,-228,23417,25948,1524021,1149361,"50937,386","-0,004","22,564",N
II Q 2015,PLN,292752,3609,4543,3841,30060,33669,1544586,1143914,"50937,386","0,075","22,457",N
III Q 2015,PLN,259811,-4465,-5733,-6656,24216,19751,1529583,1137915,"47665,426","-0,140","23,873",N
IV Q 2013,PLN,300288,15301,15455,10392,23655,38956,1642857,1189574,"50937,386","0,204","23,354",N
I Q 2014,PLN,253995,-9566,-9805,-9612,23804,14238,1619700,1179962,"50937,386","-0,189","23,165",N
II Q 2014,PLN,270776,5,-297,-1019,24074,24079,1620738,1178943,"50937,386","-0,020","23,145",N
III Q 2014,PLN,243952,-9843,-9017,-10114,23842,13999,1538788,1138731,"50937,386","-0,199","22,356",N
IV Q 2012,PLN,309545,-3100,-1222,-143,23949,20849,1702819,1188371,"50937,386","-0,003","23,330",N
I Q 2013,PLN,261828,-290,-1101,-1472,25291,25001,1684437,1187652,"50937,386","-0,029","23,316",N
II Q 2013,PLN,271823,4300,1977,1269,23889,28189,1666586,1189511,"50937,386","0,025","23,352",N
III Q 2013,PLN,239996,-11930,-11459,-9729,23253,11323,1635247,1179853,"50937,386","-0,191","23,163",N
IV Q 2011,PLN,335849,7351,11061,8890,22537,29888,1803720,1246064,"50937,386","0,175","24,463",N
I Q 2012,PLN,281265,-2139,-113,-1477,23096,20957,1763976,1245472,"50937,386","-0,029","24,451",N
II Q 2012,PLN,283143,2265,977,1315,23567,25832,1760987,1196542,"50937,386","0,026","23,490",N
III Q 2012,PLN,264635,-10111,-9787,-8730,23178,13067,1692240,1187750,"50937,386","-0,171","23,318",N
IV Q 2010,PLN,340766,30301,29110,18011,22555,52856,1805476,1221052,"50937,386","0,354","23,972",N
I Q 2011,PLN,295829,10179,9534,6128,21984,32163,1804662,1231396,"50937,386","0,120","24,175",N
II Q 2011,PLN,319279,26375,26892,21713,25966,52341,1804004,1232189,"50937,386","0,426","24,190",N
III Q 2011,PLN,283596,7979,7528,5440,22300,30279,1774313,1237662,"50937,386","0,107","24,298",N
IV Q 2009,PLN,291108,19481,20330,14918,20015,39496,1538236,1196281,"50937,386","0,293","23,485",N
I Q 2010,PLN,248113,16665,18811,21670,19770,36435,1550003,1218349,"50937,386","0,425","23,919",N
II Q 2010,PLN,281300,24092,25519,20254,19491,43583,1544692,1216042,"50937,386","0,398","23,873",N
III Q 2010,PLN,246563,13830,14435,11959,20649,34479,1653119,1198442,"50937,386","0,235","23,528",N
IV Q 2008,PLN,335893,-25345,-25119,-30694,22741,-2604,1598561,1167211,"54977,535","-0,558","21,231",N
I Q 2009,PLN,274447,5699,6289,1083,20106,25805,1571311,1158062,"54977,535","0,020","21,064",N
II Q 2009,PLN,297735,14893,14740,12268,20481,35374,1545266,1168904,"54977,535","0,223","21,261",N
III Q 2009,PLN,246837,12792,13009,10061,20632,33424,1521905,1178615,"54977,535","0,183","21,438",N
IV Q 2007,PLN,352457,30684,32896,26429,20201,50885,1600831,1215683,"54977,535","0,481","22,112",N
I Q 2008,PLN,313420,22584,25759,18660,19784,42368,1628466,1245746,"54977,535","0,339","22,659",N
II Q 2008,PLN,343676,30185,29180,21548,20420,50605,1655194,1251413,"54977,535","0,392","22,762",N
III Q 2008,PLN,284681,17186,18065,13907,20872,38058,1601440,1211263,"54977,535","0,253","22,032",N
IV Q 2006,PLN,299382,20744,22147,15268,20002,40746,1532637,1165169,"54977,535","0,278","21,194",N
I Q 2007,PLN,302727,18798,20886,14272,18926,37724,1574455,1189319,"54977,535","0,260","21,633",N
II Q 2007,PLN,333135,40181,42504,32847,19600,59781,1603042,1149770,"54977,535","0,597","20,913",N
III Q 2007,PLN,284004,30610,33036,26716,19602,50212,1567391,1177237,"54977,535","0,486","21,413",N
IV Q 2005,PLN,329259,12304,10697,8554,25448,37752,1503959,1125390,"56757,525","0,151","19,828",N
I Q 2006,PLN,295144,3278,4628,836,19067,22345,1510819,1137069,"56757,525","0,015","20,034",N
II Q 2006,PLN,293976,9820,10550,8798,19057,28877,1522505,1128598,"56757,525","0,155","19,885",N
III Q 2006,PLN,245178,5798,8938,7724,18823,24621,1502231,1139945,"56757,525","0,136","20,084",N
IV Q 2004,PLN,277587,44123,45341,38330,29993,74116,1456784,1137000,"56757,525","0,675","20,033",N
I Q 2005,PLN,290558,51977,53033,43250,23891,75868,1521145,1180250,"56757,525","0,762","20,795",N
II Q 2005,PLN,325391,55954,58116,49302,23722,79676,1572072,1201934,"56757,525","0,869","21,177",N
III Q 2005,PLN,256930,30571,32264,25608,23383,53954,1524260,1164188,"56757,525","0,451","20,512",N
IV Q 2003,PLN,233590,-7966,-14698,-178,34111,26145,1376878,1065246,"56757,525","-0,003","18,768",N
I Q 2004,PLN,210153,-6648,-8652,-9306,32179,25531,1362544,1049302,"56757,525","-0,164","18,487",N
II Q 2004,PLN,264801,25426,22363,21087,31533,56959,1380317,1070155,"56757,525","0,372","18,855",N
III Q 2004,PLN,248546,19384,17797,16455,30566,49950,0,0,"56757,525","0,290","0,000",N
IV Q 2002,PLN,229349,14823,13262,1460,34802,49625,1431759,1063079,"56757,525","0,026","18,730",N
I Q 2003,PLN,198588,4550,-2913,-4785,36330,40880,1395638,1058294,"56757,525","-0,084","18,646",N
II Q 2003,PLN,227647,23020,18948,13019,35120,58140,1401384,1071312,"56757,525","0,229","18,875",N
III Q 2003,PLN,193682,-2266,-6310,-5938,31697,29431,1391833,1065375,"56757,525","-0,105","18,771",N
IV Q 2001,PLN,203201,14942,-2464,-3572,22184,37126,1157925,1019251,"56757,525","-0,063","17,958",N
I Q 2002,PLN,165551,18876,24303,17090,23364,42240,1168247,1036341,"56757,525","0,301","18,259",N
II Q 2002,PLN,217313,33462,31656,28904,29086,62548,1197104,1058044,"56757,525","0,509","18,641",N
III Q 2002,PLN,173076,7190,9216,4951,28715,35905,1201449,1062995,"56757,525","0,087","18,729",N
IV Q 2000,PLN,218961,49101,57186,46630,9819,58920,1047429,839150,"56757,525","0,822","14,785",N
I Q 2001,PLN,198087,42599,43840,35920,21384,63983,1069130,875070,"0,000",,,N
II Q 2001,PLN,208457,43167,137812,123301,20514,63681,1125144,998372,"0,000",,,N
III Q 2001,PLN,167324,18163,32371,24451,21926,40089,1146164,1022823,"56757,525","0,431","18,021",N
II Q 2000,PLN,221834,67595,73755,53826,12198,79793,1006709,762748,"56757,525","0,948","13,439",N
III Q 2000,PLN,184966,39795,38751,29774,15500,55295,1023122,792522,"56757,525","0,525","13,963",N
III Q 2000,PLN,184966,39795,38751,29774,15500,55295,1023122,792522,"0,000",,,N
IV Q 2000,PLN,218961,49101,57186,46630,9819,58920,1047429,839150,"0,000",,,N
IV Q 1999,PLN,194472,52197,54582,36358,11397,63594,859356,678584,"56757,525","0,641","11,956",N
I Q 2000,PLN,184961,53064,59711,43834,10905,63969,919605,708925,"0,000",,,N
I Q 2000,PLN,184961,53064,59711,43834,10905,63969,919605,708925,"56757,525","0,772","12,490",N
II Q 2000,PLN,221834,67595,73755,53826,12198,79793,1006709,762748,"0,000",,,N
II Q 1999,PLN,185428,55845,52791,34096,10321,66166,811135,607042,"56757,525","0,601","10,695",N
III Q 1999,,160088,44817,52702,35184,10186,55003,858281,642226,"0,000",,,N
III Q 1999,,160088,44817,52702,35184,10186,55003,858281,642226,"56757,525","0,620","11,315",N
IV Q 1999,,194472,52197,54582,36358,11397,63594,839745,664978,"0,000",,,N
IV Q 1998,,160554,43302,49926,26148,15240,58542,417585,166916,"44140,500","0,592","3,781",N
I Q 1999,,149701,42441,36271,27125,9234,51675,879148,568914,"0,000",,,N
I Q 1999,,149701,42441,36271,27125,9234,51675,879148,568914,"56757,525","0,478","10,024",N
