kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2021,PLN,6,7059,6827,6137,0,7059,44496,23901,"58418,444","0,105","0,409",N
I Q 2022,PLN,0,-300,-695,-670,0,-300,45711,24561,"58418,444","-0,011","0,420",N
II Q 2022,PLN,0,-1820,-2019,-1815,0,-1820,44362,21782,"58418,444","-0,031","0,373",N
III Q 2022,PLN,0,-411,-1786,-1494,0,-411,44933,20654,"58418,444","-0,026","0,354",N
IV Q 2020,PLN,202,695,1775,1119,0,695,51483,30653,"58418,444","0,019","0,525",N
I Q 2021,PLN,0,-360,-153,-55,0,-360,55697,30514,"58418,444","-0,001","0,522",N
II Q 2021,PLN,0,-14651,-15061,-12233,0,-14651,39910,18240,"58418,444","-0,209","0,312",N
III Q 2021,PLN,0,-310,-982,-893,0,-310,40570,17700,"58418,444","-0,015","0,303",N
IV Q 2019,PLN,148,-276,-219,-456,0,-276,43767,32830,"58418,444","-0,008","0,562",N
I Q 2020,PLN,37,-197,771,503,0,-197,52059,33288,"58418,444","0,009","0,570",N
II Q 2020,PLN,-37,-1813,-3119,-2652,0,-1813,46866,30824,"58418,444","-0,045","0,528",N
III Q 2020,PLN,55,-899,-1413,-1344,0,-899,47694,28841,"58418,444","-0,023","0,494",N
IV Q 2018,PLN,73,504,1058,862,0,504,45654,34008,"58418,444","0,015","0,582",N
I Q 2019,PLN,73,-156,361,215,0,-156,52986,34330,"58418,444","0,004","0,588",N
II Q 2019,PLN,36,-759,-1173,-923,0,-759,42463,33386,"58418,444","-0,016","0,571",N
III Q 2019,PLN,37,-237,-167,-197,0,-237,42995,33392,"58418,444","-0,003","0,572",N
IV Q 2017,PLN,0,2693,2368,1980,0,2693,28499,25249,"171818,953","0,012","0,147",N
I Q 2018,PLN,97,-633,-246,-221,0,-633,42079,35670,"171818,953","-0,001","0,208",N
II Q 2018,PLN,140,-432,-562,-555,0,-432,42871,35311,"171818,953","-0,003","0,206",N
III Q 2018,PLN,611,-1977,-2246,-2121,0,-1977,43809,33169,"58418,444","-0,036","0,568",N
IV Q 2016,PLN,30,-481,-617,414,5,-476,28977,24294,"171818,953","0,002","0,141",N
I Q 2017,PLN,0,-738,-758,-648,5,-733,31054,23740,"171818,953","-0,004","0,138",N
II Q 2017,PLN,0,-299,-287,-248,4,-295,32351,23527,"171818,953","-0,001","0,137",N
III Q 2017,PLN,0,-562,-544,-450,8,-554,32973,23129,"171818,953","-0,003","0,135",N
IV Q 2015,PLN,-101,-663,-943,-943,3,-660,22844,15502,"145642,482","-0,006","0,106",N
I Q 2016,PLN,0,-406,-482,-482,2,-404,24682,15010,"145642,482","-0,003","0,103",N
II Q 2016,PLN,26,-714,-1188,-1188,3,-711,31126,19309,"145642,482","-0,008","0,133",N
III Q 2016,PLN,1,-719,-767,-760,5,-714,27257,23713,"160054,247","-0,005","0,148",N
IV Q 2014,PLN,0,-488,-720,-804,0,-488,18501,16933,"145642,482","-0,006","0,116",N
I Q 2015,PLN,0,-174,-236,-236,2,-172,0,0,"145642,482","-0,002","0,000",N
II Q 2015,PLN,0,-101,-179,-179,3,-98,21446,16569,"145642,482","-0,001","0,114",N
III Q 2015,PLN,0,-120,-158,-158,2,-118,22301,16448,"145642,482","-0,001","0,113",N
III Q 2014,PLN,0,-348,-659,-659,0,-348,0,0,"145642,482","-0,005","0,000",N
