kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,10475,4120,5955,3252,321,4441,142571,111872,"40920,000","0,079","2,734",N
I Q 2023,PLN,12398,-688,3777,2342,216,-472,142406,114214,"40920,000","0,057","2,791",N
II Q 2023,PLN,14649,3736,6005,4596,216,3952,150284,117791,"40920,000","0,112","2,879",N
III Q 2023,PLN,11897,2011,3949,2743,250,2261,152719,120534,"40920,000","0,067","2,946",N
IV Q 2021,PLN,13446,2351,1753,1062,25,2376,137066,106818,"40920,000","0,026","2,610",N
I Q 2022,PLN,10937,2603,992,667,166,2769,136802,107485,"40920,000","0,016","2,627",N
II Q 2022,PLN,10420,2033,1108,665,216,2249,137750,106820,"40920,000","0,016","2,610",N
III Q 2022,PLN,9760,1754,2577,1800,278,2032,139861,108620,"40920,000","0,044","2,654",N
IV Q 2020,PLN,15934,3485,3810,2416,219,3704,130044,98711,"40920,000","0,059","2,412",N
I Q 2021,PLN,15097,3811,3958,2607,217,4028,132392,101318,"40920,000","0,064","2,476",N
II Q 2021,PLN,15042,3216,2936,1960,228,3444,135154,103278,"40920,000","0,048","2,524",N
III Q 2021,PLN,14084,3577,3730,2478,201,3778,136921,105756,"40920,000","0,061","2,584",N
IV Q 2019,PLN,19542,-5856,-4869,-5747,256,-5600,173333,143368,"46120,000","-0,125","3,109",N
I Q 2020,PLN,15974,2075,1488,558,251,2326,119939,91886,"46120,000","0,012","1,992",N
II Q 2020,PLN,16760,3346,4402,2623,242,3588,122719,94439,"46120,000","0,057","2,048",N
III Q 2020,PLN,16967,4329,4571,3056,222,4551,126579,96295,"40920,000","0,075","2,353",N
IV Q 2018,PLN,47427,-1969,-2411,321,105,-1864,178906,143292,"46120,000","0,007","3,107",N
I Q 2019,PLN,45817,4518,4891,2484,253,4771,184064,145361,"46120,000","0,054","3,152",N
II Q 2019,PLN,35528,3060,3481,1885,269,3329,179044,146922,"46120,000","0,041","3,186",N
III Q 2019,PLN,20223,4266,4688,2545,255,4521,177878,149236,"46120,000","0,055","3,236",N
IV Q 2017,PLN,99117,20442,21631,17845,282,20724,219706,170572,"46550,000","0,383","3,664",N
I Q 2018,PLN,89967,28142,28894,22494,135,28277,233329,188594,"46550,000","0,483","4,051",N
II Q 2018,PLN,79582,20293,20996,16641,235,20528,176642,135020,"46120,000","0,361","2,928",N
III Q 2018,PLN,70846,14586,13405,10263,119,14705,184317,143491,"46120,000","0,223","3,111",N
IV Q 2016,PLN,85753,19824,21258,15962,33,19857,306562,135125,"59960,000","0,266","2,254",N
I Q 2017,PLN,91595,28815,30224,21318,32,28847,309719,155855,"59960,000","0,356","2,599",N
II Q 2017,PLN,88943,26166,27270,25593,34,26200,337101,111607,"46550,000","0,550","2,398",N
III Q 2017,PLN,90934,24630,40687,35652,84,24714,314667,146446,"46550,000","0,766","3,146",N
III Q 2016,PLN,88348,27637,28210,22939,0,27637,284041,233785,"59360,000","0,386","3,938",N
