kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,1085098,109287,111495,72599,30692,139979,3254485,1587619,"69287,783","1,048","22,913",N
I Q 2023,PLN,1032216,155637,154491,107868,29898,185535,3135164,1588537,"69287,783","1,557","22,927",N
II Q 2023,PLN,836243,39324,51332,39758,29608,68932,2599202,1352203,"69287,783","0,574","19,516",N
III Q 2023,PLN,854806,95035,83862,51516,29482,124517,2737299,1402980,"69287,783","0,744","20,249",N
IV Q 2021,PLN,953547,74089,71943,42845,26646,100735,2389266,912137,"69287,783","0,618","13,164",N
I Q 2022,PLN,1110757,176082,172020,120681,29643,205725,2618539,1069083,"69287,783","1,742","15,430",N
II Q 2022,PLN,1296279,298058,301716,215868,32003,330061,3113244,1390694,"69287,783","3,116","20,071",N
III Q 2022,PLN,1402141,259553,342347,221853,38655,298208,3644293,1707437,"69287,783","3,202","24,643",N
IV Q 2020,PLN,714666,-4787,-16488,1209,29891,25104,2136646,749977,"69287,783","0,017","10,824",N
I Q 2021,PLN,782812,43183,38897,29095,29050,72233,2134953,770056,"69287,783","0,420","11,114",N
II Q 2021,PLN,786561,54524,46201,18372,29649,84173,2244140,775716,"69287,783","0,265","11,196",N
III Q 2021,PLN,889656,72773,66074,36843,29327,102100,2296582,842279,"69287,783","0,532","12,156",N
IV Q 2019,PLN,739666,13169,5124,10496,21740,34909,2035753,606909,"69287,783","0,151","8,759",N
I Q 2020,PLN,813948,79665,73417,54963,32169,111834,2104104,607135,"69287,783","0,793","8,763",N
II Q 2020,PLN,616000,24231,15017,10441,23786,48017,2045675,652834,"69287,783","0,151","9,422",N
III Q 2020,PLN,702836,59133,50374,44458,27279,86412,2123824,705402,"69287,783","0,642","10,181",N
IV Q 2018,PLN,768637,-24194,-33278,-37878,24527,333,2156174,576643,"69287,783","-0,547","8,322",N
I Q 2019,PLN,820572,57775,50541,14252,23307,81082,2122045,562814,"69287,783","0,206","8,123",N
II Q 2019,PLN,762517,69876,59873,31644,20652,90528,2117105,586057,"69287,783","0,457","8,458",N
III Q 2019,PLN,794363,50601,42392,26317,20910,71511,2155512,617662,"69287,783","0,380","8,914",N
IV Q 2017,PLN,739951,-20268,-25572,-14191,30058,9790,1887608,549440,"69287,783","-0,205","7,930",N
I Q 2018,PLN,788054,47519,40264,16095,23953,71472,1920137,560444,"69287,783","0,232","8,089",N
II Q 2018,PLN,784111,44574,30795,4098,21279,65853,2034263,586133,"69287,783","0,059","8,459",N
III Q 2018,PLN,816531,59001,52283,25359,23029,82030,2119124,596593,"69287,783","0,366","8,610",N
IV Q 2016,PLN,707166,21827,1144,13506,12535,34362,1816722,553955,"69287,783","0,195","7,995",N
I Q 2017,PLN,773902,49096,47886,26138,26402,75498,1755248,555922,"69287,783","0,377","8,023",N
II Q 2017,PLN,703087,37592,27207,5388,26969,64561,1744291,561594,"69287,783","0,078","8,105",N
III Q 2017,PLN,735866,43286,36088,19506,27494,70780,1987025,598644,"69287,783","0,282","8,640",N
IV Q 2015,PLN,710408,-5624,-9630,-64502,30597,24973,1813235,476112,"69287,783","-0,931","6,872",N
I Q 2016,PLN,778560,41377,33675,8346,29501,70878,1793672,483855,"69287,783","0,120","6,983",N
II Q 2016,PLN,721265,33705,20439,1535,30109,63814,1750212,496530,"69287,783","0,022","7,166",N
III Q 2016,PLN,759981,48036,38842,24523,28830,76866,1826014,519386,"69287,783","0,354","7,496",N
IV Q 2014,PLN,700817,30297,19713,10775,35412,65709,1762790,543612,"69287,783","0,156","7,846",N
I Q 2015,PLN,771103,50959,37630,-3652,31204,82163,1800860,535573,"69287,783","-0,053","7,730",N
II Q 2015,PLN,688249,11865,12871,-3529,29205,41070,1832862,535922,"69287,783","-0,051","7,735",N
