kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,EUR,177368,14064,7877,3094,9905,23969,707593,489239,"25000,000","0,124","19,570",N
I Q 2023,EUR,163142,25923,19563,16128,11982,37905,689034,494844,"25000,000","0,645","19,794",N
II Q 2023,EUR,155920,47192,42166,38597,12152,59344,703498,518322,"25000,000","1,544","20,733",N
III Q 2023,EUR,120556,6791,1395,1242,12592,19383,750116,539043,"25000,000","0,050","21,562",N
IV Q 2021,EUR,228977,28668,22974,20296,14289,42957,690557,495142,"25000,000","0,812","19,806",N
I Q 2022,EUR,122710,10627,3112,2616,12559,23186,675937,471979,"25000,000","0,105","18,879",N
II Q 2022,EUR,129356,32782,26241,25111,12175,44957,787207,525118,"25000,000","1,004","21,005",N
III Q 2022,EUR,157859,51596,38093,34343,11063,62659,759466,488883,"25000,000","1,374","19,555",N
IV Q 2020,EUR,145633,17952,13948,13330,12013,29965,511356,337326,"25000,000","0,533","13,493",N
I Q 2021,EUR,81947,7684,4271,3630,11733,19417,524277,362328,"25000,000","0,145","14,493",N
II Q 2021,EUR,161230,93304,87502,85869,12091,105395,648406,442635,"25000,000","3,435","17,705",N
III Q 2021,EUR,163036,20417,14026,12696,13273,33690,665315,474658,"25000,000","0,508","18,986",N
IV Q 2019,EUR,138447,6887,1430,-236,16893,23780,759268,438755,"25000,000","-0,009","17,550",N
I Q 2020,EUR,111813,11955,-15159,-13316,15820,27775,659736,362534,"25000,000","-0,533","14,501",N
II Q 2020,EUR,93881,23901,20788,20686,14916,38817,659605,394296,"25000,000","0,827","15,772",N
III Q 2020,EUR,118387,2470,-10368,-12089,12761,15231,565706,344334,"25000,000","-0,484","13,773",N
IV Q 2018,EUR,109351,-20644,-30772,-32810,16601,-4043,744886,365822,"25000,000","-1,312","14,633",N
I Q 2019,EUR,119117,1627,-5381,-4894,14530,16157,766309,374671,"25000,000","-0,196","14,987",N
II Q 2019,EUR,154515,38158,34408,34297,15003,53161,776697,419361,"25000,000","1,372","16,774",N
III Q 2019,EUR,79135,-31877,-29636,-27477,16145,-15732,801612,441113,"25000,000","-1,099","17,645",N
IV Q 2017,EUR,114283,-2284,-13021,-12269,9146,6862,533297,347800,"25000,000","-0,491","13,912",N
I Q 2018,EUR,96885,4213,3809,3704,9128,13341,613686,357968,"25000,000","0,148","14,319",N
II Q 2018,EUR,125708,36658,34587,33548,9857,46515,701526,415255,"25000,000","1,342","16,610",N
