kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,82478,6506,6841,5323,2587,9093,164024,70755,"36343,344","0,146","1,947",N
I Q 2023,PLN,72323,4466,4568,3096,2831,7297,192725,73995,"36343,344","0,085","2,036",N
II Q 2023,PLN,73495,3980,3377,2318,2652,6632,191369,76457,"36343,344","0,064","2,104",N
III Q 2023,PLN,78897,4384,2845,2130,2535,6919,192310,78734,"36343,344","0,059","2,166",N
IV Q 2021,PLN,76661,1874,1496,1324,2444,4318,177854,69433,"36343,344","0,036","1,910",N
I Q 2022,PLN,41800,-3295,-3698,-3262,2375,-920,149233,66171,"36343,344","-0,090","1,821",N
II Q 2022,PLN,60972,4185,4150,3370,2463,6648,148188,69526,"36343,344","0,093","1,913",N
III Q 2022,PLN,40326,-4394,-4947,-4114,2476,-1918,144753,65412,"36343,344","-0,113","1,800",N
IV Q 2020,PLN,111835,47348,46449,34835,3292,50640,267538,108052,"36343,344","0,958","2,973",N
I Q 2021,PLN,39702,-1583,-1893,-1880,2324,741,205175,106138,"36343,344","-0,052","2,920",N
II Q 2021,PLN,48340,1137,1217,50,2498,3635,159620,69880,"36343,344","0,001","1,923",N
III Q 2021,PLN,40635,-1282,-1858,-1772,2532,1250,140341,68109,"36343,344","-0,049","1,874",N
IV Q 2019,PLN,89696,17680,17763,12691,3758,21438,197427,77239,"36343,344","0,349","2,125",N
I Q 2020,PLN,42023,-692,-2364,-1817,3169,2477,176266,75421,"36343,344","-0,050","2,075",N
II Q 2020,PLN,52052,3515,3850,3096,3260,6775,177454,71419,"36343,344","0,085","1,965",N
III Q 2020,PLN,54192,2776,2594,1811,3254,6030,177461,73230,"36343,344","0,050","2,015",N
IV Q 2018,PLN,82832,10663,10428,7333,2103,12766,210017,73772,"36343,344","0,202","2,030",N
I Q 2019,PLN,74112,2204,1451,1228,3516,5720,225788,75001,"36343,344","0,034","2,064",N
II Q 2019,PLN,73006,117,257,-386,3122,3239,214646,66619,"36343,344","-0,011","1,833",N
III Q 2019,PLN,58475,40,-1048,-1400,3956,3996,190779,65227,"36343,344","-0,039","1,795",N
IV Q 2017,PLN,143210,19833,18051,13576,1701,21534,304489,71096,"36343,344","0,374","1,956",N
I Q 2018,PLN,57120,-35,27,-123,1986,1951,201451,70973,"36343,344","-0,003","1,953",N
II Q 2018,PLN,57540,-48,-799,-901,1888,1840,181532,62078,"36343,344","-0,025","1,708",N
III Q 2018,PLN,78114,5694,5483,4363,2047,7741,206307,66440,"36343,344","0,120","1,828",N
IV Q 2016,PLN,65017,6356,5899,4669,1874,8230,176172,65656,"36343,344","0,128","1,807",N
I Q 2017,PLN,42712,-242,-377,17,1745,1503,159090,65673,"36343,344","0,000","1,807",N
II Q 2017,PLN,50599,-1404,-1456,-1812,1617,213,159941,56568,"36343,344","-0,050","1,556",N
III Q 2017,PLN,54096,1550,1426,952,1539,3089,167784,57520,"36343,344","0,026","1,583",N
IV Q 2015,PLN,75045,9892,9435,7211,1459,11351,199956,61540,"36343,344","0,198","1,693",N
I Q 2016,PLN,31330,-2115,-2730,-2006,1523,-592,149880,59538,"36343,344","-0,055","1,638",N
II Q 2016,PLN,65378,7074,6804,5120,1559,8633,154764,58173,"36343,344","0,141","1,601",N
III Q 2016,PLN,49376,3271,3233,2810,1592,4863,164647,60984,"36343,344","0,077","1,678",N
IV Q 2014,PLN,85538,10951,10163,7520,1587,12538,161333,59182,"36343,344","0,207","1,628",N
I Q 2015,PLN,44292,-1188,-1897,-1459,1618,430,126335,57769,"36343,344","-0,040","1,590",N
II Q 2015,PLN,50488,638,199,-98,1625,2263,128694,51637,"36343,344","-0,003","1,421",N
III Q 2015,PLN,92804,4284,4493,3748,1536,5820,207322,55386,"36343,344","0,103","1,524",N
IV Q 2013,PLN,78212,7398,7414,5331,1580,8978,155476,61252,"36343,344","0,147","1,685",N
I Q 2014,PLN,38031,458,215,54,1528,1986,125113,61367,"36343,344","0,001","1,689",N
II Q 2014,PLN,36415,-229,-641,-710,1489,1260,112132,50132,"36343,344","-0,020","1,379",N
III Q 2014,PLN,47313,2521,1961,1412,1495,4016,111884,51600,"36343,344","0,039","1,420",N
IV Q 2012,PLN,60577,5548,5347,4180,1590,7138,129663,52568,"36343,344","0,115","1,446",N
I Q 2013,PLN,28745,-940,-1289,-1307,1449,509,110148,51308,"36343,344","-0,036","1,412",N
II Q 2013,PLN,64270,2981,3127,2618,1501,4482,160152,51117,"36343,344","0,072","1,407",N
III Q 2013,PLN,51778,6094,6081,4631,1487,7581,115548,55832,"36343,344","0,127","1,536",N
IV Q 2011,PLN,89477,3100,1673,1334,761,3861,116258,28074,"4933,865","0,270","5,690",N
I Q 2012,PLN,36277,556,383,272,519,1075,83943,28432,"4933,865","0,055","5,763",N
II Q 2012,PLN,55277,2772,1261,841,1151,3923,132897,47764,"36343,344","0,023","1,314",N
III Q 2012,PLN,36909,605,747,6118,1521,2126,110369,48347,"36343,344","0,168","1,330",N
II Q 2011,PLN,0,0,0,0,0,0,65126,24401,"4933,865","0,000","4,946",N
III Q 2011,PLN,57407,4658,2843,2284,719,5377,0,0,"4933,865","0,463","0,000",N
