kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2012,PLN,6574,15590,12389,-10323,230,15820,268371,171835,"1322998,037","-0,008","0,130",N
III Q 2012,PLN,-4578,1982,24975,22185,-59,1923,0,0,"1323000,000","0,017","0,000",N
IV Q 2012,PLN,3698,603,-24308,-22277,104,707,239681,170902,"1323000,000","-0,017","0,129",N
I Q 2013,PLN,883,711,2514,2954,8,719,161291,158835,"1323000,000","0,002","0,120",N
II Q 2011,PLN,173,-135,-18,2253,43,-92,140712,101854,"147000,000","0,015","0,693",N
III Q 2011,PLN,2500,1866,12012,11744,43,1909,0,0,"441000,000","0,027","0,000",N
IV Q 2011,PLN,-1202,-3308,-8353,-9151,582,-2726,101439,63722,"441000,000","-0,021","0,144",N
I Q 2012,PLN,1947,81,462,1084,179,260,171443,98589,"441000,000","0,002","0,224",N
II Q 2010,PLN,0,-176,591,639,22,-154,5773,2124,"47530,000","0,013","0,045",N
III Q 2010,PLN,113,-98,8936,7220,42,-56,0,0,"47530,000","0,152","0,000",N
IV Q 2010,PLN,85,-484,2539,464,47,-437,26609,18395,"142590,000","0,003","0,129",N
I Q 2011,PLN,97,-152,-3421,-1425,43,-109,61281,19263,"147000,000","-0,010","0,131",N
II Q 2009,PLN,0,0,0,0,0,0,356,-1211,"43400,000","0,000","-0,028",N
III Q 2009,PLN,0,-54,-54,-52,0,-54,0,0,"47530,000","-0,001","0,000",N
IV Q 2009,PLN,0,12,779,797,0,12,1059,-463,"47530,000","0,017","-0,010",N
I Q 2010,PLN,524,-630,12697,8886,175,-455,19909,13725,"47530,000","0,187","0,289",N
III Q 2002,PLN,2356,-1598,-2159,-2087,569,-1029,32352,15484,"124000,000","-0,017","0,125",N
IV Q 2002,PLN,13945,10266,10271,9428,-296,9970,44936,22154,"124000,000","0,076","0,179",N
I Q 2003,PLN,791,-1909,-2652,-2634,483,-1426,42282,19995,"124000,000","-0,021","0,161",N
II Q 2003,PLN,1321,354,968,903,70,424,40990,20855,"124000,000","0,007","0,168",N
III Q 2001,PLN,5433,-2301,-5870,-5648,987,-1314,53818,17983,"124000,000","-0,046","0,145",N
IV Q 2001,PLN,5719,-6825,3932,4142,-95,-6920,38731,24367,"124000,000","0,033","0,197",N
I Q 2002,PLN,7996,-2152,-2629,-2471,815,-1337,36008,20666,"124000,000","-0,020","0,167",N
II Q 2002,PLN,62,-664,-5433,-5243,4401,3737,19770,15042,"124000,000","-0,042","0,121",N
III Q 2000,PLN,12068,-1526,-2865,-2731,581,-945,66291,30318,"0,000",,,N
IV Q 2000,PLN,19884,-749,-1871,-1909,889,140,66415,28493,"0,000",,,N
I Q 2001,PLN,7996,-2152,-2629,-2471,815,-1337,60794,25938,"0,000",,,N
II Q 2001,PLN,6486,-2352,-2489,-2365,1164,-1188,56454,23695,"0,000",,,N
III Q 1999,PLN,17370,-1638,-2992,-2894,842,-796,70503,40956,"0,000",,,N
IV Q 1999,PLN,17472,-2824,-4147,-4200,889,-1935,66283,36789,"0,000",,,N
I Q 2000,PLN,10674,-1428,-141,-115,887,-541,68835,38852,"0,000",,,N
II Q 2000,PLN,11936,-3126,-5026,-5021,672,-2454,67784,33750,"0,000",,,N
II Q 1998,PLN,0,0,0,0,0,0,59187,42215,"0,000",,,N
IV Q 1998,PLN,0,0,0,0,0,0,82065,48618,"0,000",,,N
II Q 1999,PLN,0,0,0,0,0,0,73900,43861,"0,000",,,N
