kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2021,EUR,5063,4900,5790,4638,533,5433,243029,134656,"50322,014","0,092","2,676",N
I Q 2022,EUR,5076,2579,2672,2254,505,3084,243041,135321,"50322,014","0,045","2,689",N
II Q 2022,EUR,6616,8269,8167,7671,515,8784,250225,145963,"50322,014","0,152","2,901",N
III Q 2022,EUR,6855,1403,2554,2071,443,1846,243891,142375,"50322,014","0,041","2,829",N
IV Q 2020,EUR,2744,-1330,-2315,-1878,561,-769,238992,119543,"50322,014","-0,037","2,376",N
I Q 2021,EUR,2834,-569,-368,-635,592,23,235862,117613,"50322,014","-0,013","2,337",N
II Q 2021,EUR,3113,7278,6779,7131,584,7862,237472,128172,"50322,014","0,142","2,547",N
III Q 2021,EUR,4460,810,1949,1981,541,1351,234268,126898,"50322,014","0,039","2,522",N
IV Q 2019,EUR,7507,35738,36485,30397,583,36321,270314,142543,"50322,014","0,604","2,833",N
I Q 2020,EUR,5799,363,-2068,-1754,619,982,256129,131431,"50322,014","-0,035","2,612",N
II Q 2020,EUR,3091,1179,-30,-800,522,1701,251895,127853,"50322,014","-0,016","2,541",N
III Q 2020,EUR,3471,271,-894,-543,567,838,247901,125408,"50322,014","-0,011","2,492",N
IV Q 2018,EUR,8323,4414,2405,696,626,5040,224679,91803,"50322,014","0,014","1,824",N
I Q 2019,EUR,8100,787,-772,-918,620,1407,230644,100545,"50322,014","-0,018","1,998",N
II Q 2019,EUR,15382,5030,3871,3082,676,5706,243409,110464,"50322,014","0,061","2,195",N
III Q 2019,EUR,7462,1939,-134,161,641,2580,239065,107783,"50322,014","0,003","2,142",N
IV Q 2017,EUR,9672,-6754,-6336,-6614,634,-6120,228893,85064,"50322,014","-0,131","1,690",N
I Q 2018,EUR,15039,3268,1841,1319,640,3908,222432,85681,"50322,014","0,026","1,703",N
II Q 2018,EUR,13803,5843,3348,2562,627,6470,220911,88974,"50322,014","0,051","1,768",N
III Q 2018,EUR,7872,1166,1269,1228,709,1875,224815,92236,"50322,014","0,024","1,833",N
IV Q 2016,EUR,8374,3351,1468,790,585,3936,216520,68239,"50322,014","0,016","1,356",N
I Q 2017,EUR,6849,890,3259,3448,641,1531,227657,74990,"50322,014","0,069","1,490",N
II Q 2017,EUR,8370,-2135,-2782,-2778,635,-1500,227206,72335,"50322,014","-0,055","1,437",N
III Q 2017,EUR,10544,340,17746,17531,623,963,222526,88469,"50322,014","0,348","1,758",N
IV Q 2015,EUR,10222,-3714,-5991,-5687,718,-2996,229614,65894,"50322,014","-0,113","1,309",N
I Q 2016,EUR,8305,1612,-444,-348,652,2264,222532,65470,"50322,014","-0,007","1,301",N
II Q 2016,EUR,8615,3861,-654,-657,647,4508,218611,64240,"50322,014","-0,013","1,277",N
III Q 2016,EUR,7377,1270,2761,2511,653,1923,217842,68015,"50322,014","0,050","1,352",N
IV Q 2014,EUR,8833,-14300,-18459,-17809,-1247,-15547,261832,44992,"50322,014","-0,354","0,894",N
I Q 2015,EUR,7803,1314,6322,6778,706,2020,274251,54891,"50322,014","0,135","1,091",N
II Q 2015,EUR,8881,-3306,13998,14307,779,-2527,262661,67158,"50322,014","0,284","1,335",N
III Q 2015,EUR,31756,8817,7250,7372,705,9522,243241,73701,"50322,014","0,146","1,465",N
IV Q 2013,EUR,41052,3690,3810,3590,759,4449,293327,76297,"50322,014","0,071","1,516",N
I Q 2014,EUR,10028,807,-1615,-1709,908,1715,293004,73698,"50322,014","-0,034","1,465",N
II Q 2014,EUR,10619,-11338,-12311,-12328,736,-10602,280843,62672,"50322,014","-0,245","1,245",N
III Q 2014,EUR,7445,1195,-771,-837,753,1948,283440,61714,"50322,014","-0,017","1,226",N
IV Q 2012,EUR,9509,-11044,-11836,-11264,772,-10272,325157,73714,"50322,014","-0,224","1,465",N
I Q 2013,EUR,7497,1017,-1168,-1562,707,1724,303105,70233,"50322,014","-0,031","1,396",N
II Q 2013,EUR,7917,3970,-1548,-1478,718,4688,300353,68660,"50322,014","-0,029","1,364",N
III Q 2013,EUR,8491,1447,3205,3177,741,2188,315572,73580,"50322,014","0,063","1,462",N
IV Q 2011,EUR,14222,5939,1909,981,676,6615,324041,76833,"50322,014","0,019","1,527",N
I Q 2012,EUR,11022,1562,8150,6274,692,2254,340706,88121,"50322,014","0,125","1,751",N
II Q 2012,EUR,13260,-4808,-10337,-11530,719,-4089,331548,89690,"50322,014","-0,229","1,782",N
III Q 2012,EUR,9368,1325,3970,3371,743,2068,340408,96320,"50322,014","0,067","1,914",N
IV Q 2010,EUR,26463,-10232,-12158,-8686,516,-9716,402126,105458,"50322,014","-0,173","2,096",N
I Q 2011,EUR,14714,-1902,-4010,-3553,749,-1153,386669,102756,"50322,014","-0,071","2,042",N
II Q 2011,EUR,13944,-909,-3308,-3277,739,-170,382931,101815,"50322,014","-0,065","2,023",N
III Q 2011,EUR,11159,2065,-17663,-15137,776,2841,328648,78372,"50322,014","-0,301","1,557",N
IV Q 2009,EUR,13723,-23543,-23465,-16205,715,-22828,463300,113166,"50322,014","-0,322","2,249",N
I Q 2010,EUR,38062,2295,8891,7134,744,3039,460293,128633,"50322,014","0,142","2,556",N
II Q 2010,EUR,21373,-1593,-16783,-15414,747,-846,419859,106064,"50322,014","-0,306","2,108",N
III Q 2010,EUR,14865,1572,5022,4473,753,2325,424094,114331,"50322,014","0,089","2,272",N
IV Q 2008,EUR,21848,-24306,-29984,-30035,939,-23367,516034,172566,"50322,014","-0,597","3,429",N
I Q 2009,EUR,14288,1608,-20342,-16893,839,2447,469448,137903,"50322,014","-0,336","2,740",N
II Q 2009,EUR,10362,-19465,-14094,-15353,839,-18626,464335,121854,"50322,014","-0,305","2,421",N
III Q 2009,EUR,8906,-5732,878,-226,238,-5494,477967,127134,"50322,014","-0,004","2,526",N
IV Q 2007,EUR,9678,-11853,-14139,-11766,1021,-10832,531500,223377,"0,000",,,N
I Q 2008,EUR,9736,1540,-1311,-1640,1044,2584,543208,222189,"44978,081","-0,036","4,940",N
II Q 2008,EUR,11361,-248,-2937,-2261,45,-203,557547,220000,"44978,081","-0,050","4,891",N
III Q 2008,EUR,8930,-1548,-6618,-5758,974,-574,579486,216250,"50322,014","-0,114","4,297",N
IV Q 2006,EUR,1265,-12347,-12330,-12029,0,-12347,361253,222574,"0,000",,,N
I Q 2007,EUR,2024,9251,9549,6731,92,9343,448728,229810,"0,000",,,N
II Q 2007,EUR,8198,20638,18183,14900,2071,22709,521869,251928,"0,000",,,N
III Q 2007,EUR,7475,-437,-2242,-1670,607,170,530449,249581,"0,000",,,N
