kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,27589,150,120,-41,945,1095,47331,18622,"4040,000","-0,010","4,609",N
II Q 2023,PLN,46263,1107,863,808,972,2079,66485,18484,"4040,000","0,200","4,575",N
III Q 2023,PLN,36892,569,608,491,869,1438,65688,18912,"4040,000","0,122","4,681",N
IV Q 2023,PLN,62918,1228,1014,850,918,2146,75694,19801,"4040,000","0,210","4,901",N
I Q 2022,PLN,33073,-207,201,328,938,731,55738,19285,"4040,000","0,081","4,774",N
II Q 2022,PLN,29812,56,-10,232,954,1010,56562,19517,"4040,000","0,057","4,831",N
III Q 2022,PLN,30306,-1691,-1613,-1069,989,-702,54706,17721,"4040,000","-0,265","4,386",N
IV Q 2022,PLN,58114,1018,785,942,1071,2089,86026,18664,"4040,000","0,233","4,620",N
I Q 2021,PLN,0,0,0,0,0,0,42010,17624,"4040,000","0,000","4,362",N
II Q 2021,PLN,26173,535,435,681,646,1181,37346,18305,"4040,000","0,169","4,531",N
III Q 2021,PLN,35617,675,637,511,629,1304,54723,18816,"4040,000","0,126","4,657",N
IV Q 2021,PLN,33751,377,355,141,983,1360,52109,19403,"4040,000","0,035","4,803",N
