kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,21711,-48237,-32078,-26443,-624,-48861,2608242,1081032,"25426,034","-1,040","42,517",N
I Q 2023,PLN,18258,49787,37755,30560,1527,51314,2771730,1111594,"25426,034","1,202","43,719",N
II Q 2023,PLN,21572,-44529,-30736,-24346,1697,-42832,2741796,1087290,"25426,034","-0,958","42,763",N
III Q 2023,PLN,24685,73286,24392,19391,2821,76107,2891137,1106646,"25426,034","0,763","43,524",N
IV Q 2021,PLN,12222,76220,87850,71266,1232,77452,2498169,1053900,"24898,198","2,862","42,328",N
I Q 2022,PLN,13535,54951,37395,30273,771,55722,2699272,1084164,"25450,938","1,189","42,598",N
II Q 2022,PLN,16648,17201,11371,8900,2059,19260,2855742,1093059,"25450,938","0,350","42,948",N
III Q 2022,PLN,20797,55534,18228,14417,3502,59036,2514826,1107443,"25426,034","0,567","43,555",N
IV Q 2020,PLN,19415,142818,132019,106714,1146,143964,1404889,669521,"17398,198","6,134","38,482",N
I Q 2021,PLN,9539,83319,66461,54020,764,84083,1624344,723534,"17398,198","3,105","41,587",N
II Q 2021,PLN,8989,23260,42548,34492,861,24121,1780372,758047,"17398,198","1,983","43,570",N
III Q 2021,PLN,9695,59196,38516,29842,876,60072,2135077,981923,"24898,198","1,199","39,438",N
IV Q 2018,PLN,0,0,0,0,0,0,1046505,378485,"17398,198","0,000","21,754",N
IV Q 2019,PLN,0,0,0,0,0,0,1531131,529570,"17398,198","0,000","30,438",N
I Q 2020,PLN,15104,70488,38440,31625,265,70753,0,0,"17398,198","1,818","0,000",N
III Q 2020,PLN,5051,56779,49404,25352,667,57446,0,0,"17398,198","1,457","0,000",N
