kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,107474,14544,20763,19510,2090,16634,314759,86930,"6054,544","3,222","14,358",N
I Q 2023,PLN,89897,-5016,-8372,-6686,4374,-642,298534,80541,"6054,544","-1,104","13,303",N
II Q 2023,PLN,88858,-33203,-36921,-25069,4765,-28438,253323,56487,"6054,544","-4,141","9,330",N
III Q 2023,PLN,94242,-326,-8110,-6994,2654,2328,254511,49802,"6054,544","-1,155","8,226",N
IV Q 2021,PLN,115863,15729,13917,11946,4307,20036,268726,79086,"6054,544","1,973","13,062",N
I Q 2022,PLN,97869,-610,-11553,-8596,5437,4827,275240,73421,"6054,544","-1,420","12,127",N
II Q 2022,PLN,90515,6907,13782,6365,4480,11387,295432,74369,"6054,544","1,051","12,283",N
III Q 2022,PLN,114119,590,-4824,-5116,4299,4889,313440,69376,"6054,544","-0,845","11,459",N
IV Q 2020,PLN,103975,-11969,-13778,-12000,6626,-5343,259739,60866,"6054,544","-1,982","10,053",N
I Q 2021,PLN,90602,847,-1078,-3056,6247,7094,260507,56703,"6054,544","-0,505","9,365",N
II Q 2021,PLN,93935,11817,12965,10610,5252,17069,258855,67575,"6054,544","1,752","11,161",N
III Q 2021,PLN,123895,16003,16257,12241,4212,20215,274008,79240,"6054,544","2,022","13,088",N
IV Q 2019,PLN,133427,12004,6561,5463,8024,20028,357388,102542,"6054,544","0,902","16,936",N
I Q 2020,PLN,91659,-5416,-25123,-17362,8023,2607,344483,86341,"6054,544","-2,868","14,261",N
II Q 2020,PLN,88722,281,-1970,-4151,7705,7986,311472,81607,"6054,544","-0,686","13,479",N
III Q 2020,PLN,121314,13987,-4598,-3272,6538,20525,286436,79852,"6054,544","-0,540","13,189",N
IV Q 2018,PLN,67880,11923,11662,9265,1253,13176,187583,94891,"6054,544","1,530","15,673",N
I Q 2019,PLN,107986,-3784,-4839,-3748,6398,2614,344993,91222,"6054,544","-0,619","15,067",N
II Q 2019,PLN,116740,6172,6633,5437,7615,13787,363160,91712,"6054,544","0,898","15,148",N
III Q 2019,PLN,155968,9911,6607,5499,7903,17814,365608,97037,"6054,544","0,908","16,027",N
IV Q 2017,PLN,61988,10181,7326,5989,1076,11257,153203,77853,"6054,544","0,989","12,859",N
I Q 2018,PLN,57063,2328,1098,782,1147,3475,149843,78278,"6054,544","0,129","12,929",N
II Q 2018,PLN,54745,7801,9754,7989,1179,8980,160158,80303,"6054,544","1,320","13,263",N
III Q 2018,PLN,71583,6956,6684,5362,1164,8120,164093,85599,"6054,544","0,886","14,138",N
IV Q 2016,PLN,52201,6084,7411,6186,985,7069,133672,73008,"6054,544","1,022","12,058",N
I Q 2017,PLN,50471,2635,1262,1007,1018,3653,134893,73073,"6054,544","0,166","12,069",N
II Q 2017,PLN,50626,6522,2390,1940,1050,7572,144348,67820,"6054,544","0,320","11,202",N
III Q 2017,PLN,66207,5552,5021,4052,972,6524,149131,71951,"6054,544","0,669","11,884",N
IV Q 2015,PLN,47043,4215,2936,2479,735,4950,122542,63284,"6054,544","0,409","10,452",N
I Q 2016,PLN,45165,3409,948,872,736,4145,133605,64160,"6054,544","0,144","10,597",N
II Q 2016,PLN,47617,5363,5510,4388,788,6151,139547,64240,"6054,544","0,725","10,610",N
III Q 2016,PLN,58692,3877,3042,2581,864,4741,135043,66761,"6054,544","0,426","11,027",N
IV Q 2014,PLN,40690,2186,1338,1510,597,2783,111001,54466,"6054,544","0,249","8,996",N
I Q 2015,PLN,39645,3791,994,728,607,4398,117774,55148,"6054,544","0,120","9,109",N
II Q 2015,PLN,43175,5612,6564,5578,601,6213,118613,56252,"6054,544","0,921","9,291",N
III Q 2015,PLN,49588,4291,5499,4508,657,4948,130253,60777,"6054,544","0,745","10,038",N
IV Q 2013,PLN,39525,886,-90,156,608,1494,78830,28980,"5054,544","0,031","5,733",N
I Q 2014,PLN,37558,3450,3045,2302,617,4067,93477,31288,"5054,544","0,455","6,190",N
II Q 2014,PLN,34156,4940,4597,3767,656,5596,84266,35046,"5054,544","0,745","6,934",N
III Q 2014,PLN,46030,5536,4633,3807,591,6127,112151,38855,"5054,544","0,753","7,687",N
II Q 2012,PLN,0,0,0,0,0,0,88510,22010,"5054,544","0,000","4,355",N
IV Q 2012,PLN,0,0,0,0,0,0,86129,26234,"5054,544","0,000","5,190",N
II Q 2013,PLN,0,0,0,0,0,0,84454,25314,"5054,544","0,000","5,008",N
III Q 2013,PLN,43767,5141,4536,3628,626,5767,89671,28931,"5054,544","0,718","5,724",N
II Q 2011,PLN,0,0,0,0,0,0,71607,24979,"5054,544","0,000","4,942",N
IV Q 2011,PLN,0,0,0,0,0,0,86614,22643,"5054,544","0,000","4,480",N
