kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2022,PLN,253506,42855,43142,22702,93,42948,190137,138941,"7400,000","3,068","18,776",N
II Q 2022,PLN,139365,269,1665,-2769,90,359,177335,139733,"7400,000","-0,374","18,883",N
III Q 2022,PLN,148955,-4937,-2868,-1839,166,-4771,158636,126367,"7400,000","-0,249","17,077",N
IV Q 2022,PLN,255298,3442,5568,8313,128,3570,169753,134665,"7400,000","1,123","18,198",N
I Q 2021,PLN,103606,18282,18272,7279,95,18377,189474,105306,"7400,000","0,984","14,231",N
II Q 2021,PLN,68221,-1074,-1085,-1082,96,-978,187620,104233,"7400,000","-0,146","14,086",N
III Q 2021,PLN,104922,21727,21630,8500,85,21812,180072,112950,"7400,000","1,149","15,264",N
IV Q 2021,PLN,109920,11582,11659,6110,88,11670,182109,119670,"7400,000","0,826","16,172",N
I Q 2020,PLN,43993,1981,2091,971,87,2068,251029,99631,"8500,000","0,114","11,721",N
II Q 2020,PLN,53348,9559,9686,4625,89,9648,246817,81721,"8500,000","0,544","9,614",N
III Q 2020,PLN,96276,13111,13125,5053,90,13201,237818,86813,"7400,000","0,683","11,731",N
IV Q 2020,PLN,131298,28019,28001,11305,92,28111,210543,97973,"7400,000","1,528","13,240",N
I Q 2019,PLN,332378,9429,9517,5158,66,9495,239215,87570,"9090,000","0,567","9,634",N
II Q 2019,PLN,244116,6880,7174,6310,174,7054,211158,86867,"9090,000","0,694","9,556",N
III Q 2019,PLN,239142,3599,3777,1817,99,3698,251716,88684,"9090,000","0,200","9,756",N
IV Q 2019,PLN,292827,20195,20458,9907,104,20299,251244,98578,"8500,000","1,166","11,597",N
I Q 2018,PLN,241996,1338,1493,2041,97,1435,240989,64852,"9090,000","0,225","7,134",N
II Q 2018,PLN,273862,3355,3498,3126,94,3449,294364,63443,"9090,000","0,344","6,979",N
III Q 2018,PLN,402720,-1723,-1486,-492,92,-1631,316983,62952,"9090,000","-0,054","6,925",N
IV Q 2018,PLN,475332,48275,48502,21019,111,48386,212799,83965,"9090,000","2,312","9,237",N
I Q 2017,PLN,233805,533,573,465,93,626,131185,57019,"9090,000","0,051","6,273",N
II Q 2017,PLN,222970,2561,2571,1640,111,2672,150170,55933,"9090,000","0,180","6,153",N
III Q 2017,PLN,262096,3411,3672,2911,59,3470,197712,59753,"9090,000","0,320","6,573",N
IV Q 2017,PLN,320350,3254,3315,3343,84,3338,216263,62811,"9090,000","0,368","6,910",N
I Q 2016,PLN,225616,-273,-207,-577,104,-169,82834,52864,"9090,000","-0,063","5,816",N
II Q 2016,PLN,273483,-1370,-786,-202,99,-1271,138480,52662,"9090,000","-0,022","5,793",N
III Q 2016,PLN,324077,609,618,302,85,694,134091,52964,"9090,000","0,033","5,827",N
IV Q 2016,PLN,305644,4077,4360,3296,99,4176,129333,56265,"9090,000","0,363","6,190",N
I Q 2015,PLN,64469,103,143,-547,115,218,86171,52832,"9090,000","-0,060","5,812",N
II Q 2015,PLN,136465,3677,3597,3038,120,3797,86319,51780,"9090,000","0,334","5,696",N
III Q 2015,PLN,172609,999,1151,846,113,1112,88115,52626,"9090,000","0,093","5,789",N
IV Q 2015,PLN,167736,1243,1061,897,109,1352,85945,53441,"9090,000","0,099","5,879",N
IV Q 2013,PLN,0,0,0,0,0,0,90705,50582,"9090,000","0,000","5,565",N
I Q 2014,PLN,20143,122,323,165,118,240,84899,50747,"9090,000","0,018","5,583",N
III Q 2014,PLN,24230,1486,1640,1252,117,1603,69613,51294,"9090,000","0,138","5,643",N
IV Q 2014,PLN,46152,3056,2595,2086,116,3172,91518,53379,"9090,000","0,229","5,872",N
