kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,49851,-8805,-12658,-14789,1926,-6879,508330,224628,"44836,769","-0,330","5,010",N
I Q 2023,PLN,73945,11512,7592,5710,1931,13443,557435,230337,"44836,769","0,127","5,137",N
II Q 2023,PLN,72185,15321,24347,21805,438,15759,506415,252142,"44836,769","0,486","5,624",N
III Q 2023,PLN,98419,10942,8297,7380,465,11407,571864,259520,"44836,769","0,165","5,788",N
IV Q 2021,PLN,61442,4093,2307,1653,1120,5213,528613,246768,"44836,769","0,037","5,504",N
I Q 2022,PLN,54481,8477,8131,6302,2096,10573,525856,253070,"44836,769","0,141","5,644",N
II Q 2022,PLN,52439,12506,9376,7603,2007,14513,530080,260673,"44836,769","0,170","5,814",N
III Q 2022,PLN,60740,8059,5056,3810,2110,10169,552019,264483,"44836,769","0,085","5,899",N
IV Q 2020,PLN,63076,10871,7603,4946,2209,13080,523115,220818,"44836,769","0,110","4,925",N
I Q 2021,PLN,45559,8685,8840,7020,2449,11134,496007,228930,"44836,769","0,157","5,106",N
II Q 2021,PLN,46303,9419,8033,7981,2114,11533,505546,236806,"44836,769","0,178","5,282",N
III Q 2021,PLN,49127,13503,12389,9296,2661,16164,525218,246103,"44836,769","0,207","5,489",N
IV Q 2019,PLN,58658,8983,4697,2221,1879,10862,359790,150803,"26774,179","0,083","5,632",N
I Q 2020,PLN,38935,10239,9790,4284,1844,12083,393018,173917,"26774,179","0,160","6,496",N
II Q 2020,PLN,47444,16484,15003,14432,2109,18593,474763,230763,"44836,769","0,322","5,147",N
III Q 2020,PLN,44290,7157,6153,3958,2285,9442,490371,234702,"44836,769","0,088","5,235",N
IV Q 2018,PLN,42837,2836,2229,2073,1696,4532,377205,157449,"26774,179","0,077","5,881",N
I Q 2019,PLN,38284,6846,6061,4996,1523,8369,397118,163425,"26774,179","0,187","6,104",N
II Q 2019,PLN,50289,5116,2780,2209,1827,6943,390549,165634,"26774,179","0,083","6,186",N
III Q 2019,PLN,49778,3708,2911,2403,1738,5446,369911,168037,"26774,179","0,090","6,276",N
IV Q 2017,PLN,18701,-7942,-9560,-9407,2090,-5852,322624,151451,"26774,179","-0,351","5,657",N
I Q 2018,PLN,36040,2248,1322,1615,1271,3519,341527,153066,"26774,179","0,060","5,717",N
II Q 2018,PLN,22627,5364,4465,2870,1305,6669,365500,155930,"26774,179","0,107","5,824",N
III Q 2018,PLN,28954,2276,386,-130,905,3181,364767,155799,"26774,179","-0,005","5,819",N
IV Q 2016,PLN,43775,786,645,583,1161,1947,333084,166359,"26774,179","0,022","6,213",N
I Q 2017,PLN,32685,3595,2632,1885,1118,4713,323143,168244,"26774,179","0,070","6,284",N
II Q 2017,PLN,22347,2735,2053,2030,1169,3904,326048,168118,"26774,179","0,076","6,279",N
III Q 2017,PLN,27794,2051,1685,1694,1005,3056,331973,169812,"26774,179","0,063","6,342",N
IV Q 2015,PLN,57441,273,-528,280,970,1243,317705,159954,"26774,179","0,010","5,974",N
I Q 2016,PLN,42844,3908,3012,2475,1065,4973,317171,163025,"26774,179","0,092","6,089",N
II Q 2016,PLN,42164,2743,1726,1592,1126,3869,322774,164020,"26774,179","0,059","6,126",N
III Q 2016,PLN,38781,2447,1629,1756,1158,3605,328993,165776,"26774,179","0,066","6,192",N
IV Q 2014,PLN,80969,5083,4511,4200,1015,6098,283541,151065,"26774,179","0,157","5,642",N
I Q 2015,PLN,41116,4023,3713,2951,1102,5125,313004,158017,"26774,179","0,110","5,902",N
II Q 2015,PLN,49765,5200,4151,3102,319,5519,326859,160416,"26774,179","0,116","5,991",N
III Q 2015,PLN,76737,6029,5104,3770,892,6921,337731,164889,"26774,179","0,141","6,159",N
IV Q 2013,PLN,39243,3834,3087,1968,879,4713,237886,143702,"26774,179","0,074","5,367",N
I Q 2014,PLN,33167,3815,3185,2821,991,4806,227691,146531,"26774,179","0,105","5,473",N
II Q 2014,PLN,45310,4019,3538,3048,1013,5032,252546,149580,"26774,179","0,114","5,587",N
III Q 2014,PLN,45596,3567,3163,3142,811,4378,264384,152722,"26774,179","0,117","5,704",N
IV Q 2012,PLN,23774,3167,2855,1966,678,3845,190982,119461,"23377,845","0,084","5,110",N
I Q 2013,PLN,17489,1692,1429,1714,650,2342,195653,121175,"23377,845","0,073","5,183",N
II Q 2013,PLN,29342,3267,2983,2520,728,3995,209781,123695,"23377,845","0,108","5,291",N
III Q 2013,PLN,67300,6558,6255,4795,896,7454,220922,141408,"23377,845","0,205","6,049",N
IV Q 2011,PLN,36241,2324,2347,2502,747,3071,192953,117570,"23377,845","0,107","5,029",N
I Q 2012,PLN,19611,1939,1898,1503,773,2712,184394,118966,"23377,845","0,064","5,089",N
II Q 2012,PLN,25842,2948,2512,2374,671,3619,195971,119490,"23377,845","0,102","5,111",N
III Q 2012,PLN,23997,1777,1437,1842,683,2460,195017,121277,"23377,845","0,079","5,188",N
IV Q 2010,PLN,29840,2233,2259,1894,461,2694,159475,109043,"23377,845","0,081","4,664",N
I Q 2011,PLN,12980,1692,1688,1350,559,2251,160878,110285,"23377,845","0,058","4,718",N
II Q 2011,PLN,22896,3648,3483,2818,739,4387,168429,98015,"23377,845","0,121","4,193",N
III Q 2011,PLN,21564,3324,2946,2301,754,4078,0,0,"23377,845","0,098","0,000",N
