kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,21809,-2057,-1076,-1243,1199,-858,101975,61260,"84205,008","-0,015","0,728",N
I Q 2023,PLN,20174,-1136,2130,1365,1185,49,101533,62121,"84205,008","0,016","0,738",N
II Q 2023,PLN,23600,-403,-1823,-1725,1202,799,94612,59665,"84205,008","-0,020","0,709",N
III Q 2023,PLN,18478,-1799,-3374,-3473,1199,-600,93872,56732,"84205,008","-0,041","0,674",N
IV Q 2021,PLN,24530,43,1490,1562,1080,1123,99687,64500,"84205,008","0,019","0,766",N
I Q 2022,PLN,20214,-984,-2266,-2317,1099,115,96589,62759,"84205,008","-0,028","0,745",N
II Q 2022,PLN,21492,-870,-3476,-3509,1130,260,94407,62042,"84205,008","-0,042","0,737",N
III Q 2022,PLN,21846,-403,576,501,1178,775,100703,64408,"84205,008","0,006","0,765",N
IV Q 2020,PLN,21284,-2219,-4052,-4102,1103,-1116,93740,62436,"84205,008","-0,049","0,741",N
I Q 2021,PLN,19030,-150,966,912,1014,864,94565,63052,"84205,008","0,011","0,749",N
II Q 2021,PLN,20477,1297,1927,1781,1034,2331,95004,63885,"84205,008","0,021","0,759",N
III Q 2021,PLN,20695,-1258,-2626,-2620,1211,-47,95805,62203,"84205,008","-0,031","0,739",N
IV Q 2019,PLN,18696,-39257,-37623,-37325,990,-38267,102475,72162,"84205,008","-0,443","0,857",N
I Q 2020,PLN,16570,-2288,-7476,-7328,1044,-1244,101798,68305,"84205,008","-0,087","0,811",N
II Q 2020,PLN,13701,-1307,770,694,1064,-243,97720,68063,"84205,008","0,008","0,808",N
III Q 2020,PLN,13735,-1490,-1943,-1929,1105,-385,96132,65855,"84205,008","-0,023","0,782",N
IV Q 2018,PLN,19843,-22949,-23370,-23481,1235,-21714,161498,111733,"84205,008","-0,279","1,327",N
I Q 2019,PLN,15887,2972,2855,2398,996,3968,168773,115014,"84205,008","0,028","1,366",N
II Q 2019,PLN,15701,2318,-3671,-3123,989,3307,160160,111648,"84205,008","-0,037","1,326",N
III Q 2019,PLN,18126,-713,-2691,-2485,979,266,148872,110792,"84205,008","-0,030","1,316",N
IV Q 2017,PLN,21460,-5568,365,410,1284,-4284,174546,128889,"77205,008","0,005","1,669",N
I Q 2018,PLN,17214,-867,-68,-117,1098,231,175612,127481,"77205,008","-0,002","1,651",N
II Q 2018,PLN,17867,-1225,58,-92,1131,-94,180894,129580,"77205,008","-0,001","1,678",N
III Q 2018,PLN,14869,-2308,-1492,-1292,1132,-1176,182888,127889,"77205,008","-0,017","1,656",N
IV Q 2016,PLN,19420,-4239,-25671,-10755,1097,-3142,188680,106078,"63723,954","-0,169","1,665",N
I Q 2017,PLN,20464,-1541,-771,-824,1077,-464,187874,101118,"63723,954","-0,013","1,587",N
II Q 2017,PLN,20757,-836,-48,-613,1174,338,185517,99384,"63723,954","-0,010","1,560",N
III Q 2017,PLN,14904,-770,-1447,-994,1109,339,180408,97962,"63723,954","-0,016","1,537",N
IV Q 2015,PLN,11721,-2728,-2172,-2359,977,-1751,221795,110638,"63723,954","-0,037","1,736",N
I Q 2016,PLN,21694,-1597,8668,1410,1036,-561,220092,109001,"63723,954","0,022","1,711",N
II Q 2016,PLN,22402,-122,-227,-299,1079,957,210687,113292,"63723,954","-0,005","1,778",N
III Q 2016,PLN,18761,-1836,-617,-1346,1122,-714,208163,111321,"63723,954","-0,021","1,747",N
IV Q 2014,PLN,24786,-10585,-12468,-8849,945,-9640,245302,96011,"31861,977","-0,278","3,013",N
