kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2022,PLN,33174,99197,67108,54618,0,99197,2717196,1294813,"108333,998","0,504","11,952",N
IV Q 2022,PLN,36940,-88058,-53303,-45662,0,-88058,2609835,1188484,"108333,998","-0,421","10,971",N
I Q 2023,PLN,41952,19723,4285,3875,0,19723,2561736,1192359,"108333,998","0,036","11,006",N
II Q 2023,PLN,43198,-87245,-50459,-41673,0,-87245,2443607,1150686,"108333,998","-0,385","10,622",N
III Q 2021,PLN,15691,50722,25412,22706,0,50722,2205699,1018361,"108333,998","0,210","9,400",N
IV Q 2021,PLN,21369,252013,251421,216563,0,252013,2540689,1230136,"108333,998","1,999","11,355",N
I Q 2022,PLN,27384,42181,47827,38897,0,42181,2601723,1269033,"108333,998","0,359","11,714",N
II Q 2022,PLN,29949,20893,22860,17747,0,20893,2639016,1240197,"108333,998","0,164","11,448",N
III Q 2020,PLN,14165,30402,9584,7173,0,30402,1925545,990485,"108333,998","0,066","9,143",N
IV Q 2020,PLN,14736,20109,1953,-896,0,20109,2019830,989577,"108333,998","-0,008","9,135",N
I Q 2021,PLN,13965,36506,23248,13348,0,36506,2132310,1002844,"108333,998","0,123","9,257",N
II Q 2021,PLN,14369,-36928,-8920,-7039,0,-36928,2127450,995722,"108333,998","-0,065","9,191",N
III Q 2019,PLN,31859,82661,20227,9448,0,82661,2530300,1067790,"108333,998","0,087","9,856",N
IV Q 2019,PLN,27811,169009,204725,172944,0,169009,2141977,1240806,"108333,998","1,596","11,454",N
I Q 2020,PLN,14386,98033,44933,31319,0,98033,2292290,1272485,"108333,998","0,289","11,746",N
II Q 2020,PLN,14334,-76450,-71213,-61334,0,-76450,1837455,983318,"108333,998","-0,566","9,077",N
III Q 2018,PLN,36564,-13883,2651,5059,0,-13883,2592282,942853,"106706,267","0,047","8,836",N
IV Q 2018,PLN,38974,36222,14092,26181,0,36222,2569908,974877,"107164,001","0,244","9,097",N
I Q 2019,PLN,32342,28716,18075,15650,0,28716,2342232,990057,"107164,001","0,146","9,239",N
II Q 2019,PLN,31718,86916,82677,64896,0,86916,2444380,1058436,"108333,998","0,599","9,770",N
III Q 2017,PLN,33244,65353,29518,-785,13,65366,2433743,878878,"106483,550","-0,007","8,254",N
IV Q 2017,PLN,32470,-12822,12885,6794,191,-12631,2475873,881607,"106528,640","0,064","8,276",N
I Q 2018,PLN,35027,43429,23446,22801,0,43429,2490876,905034,"106594,909","0,214","8,490",N
II Q 2018,PLN,35271,106184,56355,31434,0,106184,2584916,937206,"106661,178","0,295","8,787",N
III Q 2016,PLN,28742,-27825,-8881,-7118,111,-27714,2211189,963294,"106201,813","-0,067","9,070",N
IV Q 2016,PLN,25008,73144,33617,31465,184,73328,2337450,989217,"106201,813","0,296","9,315",N
I Q 2017,PLN,29612,-84787,-44903,-45867,77,-84710,2270272,939795,"106372,191","-0,431","8,835",N
II Q 2017,PLN,30432,27286,6347,17749,123,27409,2378752,879179,"106483,550","0,167","8,256",N
III Q 2015,PLN,18475,26296,3123,4474,52,26348,1967243,874471,"105348,131","0,042","8,301",N
IV Q 2015,PLN,20710,105940,88003,82185,123,106063,2152521,959621,"105348,131","0,780","9,109",N
I Q 2016,PLN,24754,19218,6140,5009,61,19279,2191003,965803,"105348,131","0,048","9,168",N
II Q 2016,PLN,29228,59876,2431,906,24,59900,2232936,972784,"106201,813","0,009","9,160",N
III Q 2014,PLN,14117,5075,318,-973,102,5177,1811074,983471,"104744,107","-0,009","9,389",N
IV Q 2014,PLN,14913,-65554,-83912,-68964,96,-65458,1858758,915015,"104744,107","-0,658","8,736",N
I Q 2015,PLN,16132,-57985,-41264,-53407,74,-57911,1791612,861126,"105348,131","-0,507","8,174",N
II Q 2015,PLN,17056,30129,6343,11115,96,30225,1903362,869162,"105348,131","0,106","8,250",N
III Q 2013,PLN,10495,-15187,-7814,-17917,92,-15095,1489988,758650,"74558,541","-0,240","10,175",N
IV Q 2013,PLN,8129,-6863,-2866,-2873,171,-6692,1620942,969593,"74558,541","-0,039","13,004",N
I Q 2014,PLN,10342,8485,3988,4380,87,8572,1685976,983028,"104744,107","0,042","9,385",N
II Q 2014,PLN,11330,12051,10452,4089,119,12170,1794007,985358,"104744,107","0,039","9,407",N
II Q 2012,PLN,0,0,0,0,0,0,1351768,858577,"74558,541","0,000","11,515",N
IV Q 2012,PLN,0,0,0,0,0,0,1344794,736824,"74558,541","0,000","9,882",N
I Q 2013,PLN,10102,24389,14140,12310,99,24488,1335113,748753,"74558,541","0,165","10,042",N
II Q 2013,PLN,9996,40650,30012,34031,3,40653,1406934,780485,"74558,541","0,456","10,468",N
IV Q 2010,PLN,0,0,0,0,0,0,1074044,322638,"74558,541","0,000","4,327",N
III Q 2011,PLN,0,0,0,0,0,0,1160279,749374,"74558,541","0,000","10,051",N
IV Q 2011,PLN,0,0,0,0,0,0,1324000,840702,"74558,541","0,000","11,276",N
