kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,2235,-6039,-8224,-9670,14,-6025,256453,134076,"75026,066","-0,129","1,787",N
I Q 2023,PLN,2200,-624,253,253,19,-605,228777,134329,"75026,066","0,003","1,790",N
II Q 2023,PLN,7158,126,-3334,-3444,21,147,216209,130885,"75026,066","-0,046","1,745",N
III Q 2023,PLN,3856,-1344,-1560,-1560,21,-1323,217872,129325,"75026,066","-0,021","1,724",N
IV Q 2021,PLN,1253,28552,27331,23100,14,28566,301632,153978,"75026,066","0,308","2,052",N
I Q 2022,PLN,1635,-189,-4862,-4862,13,-176,274036,149116,"75026,066","-0,065","1,988",N
II Q 2022,PLN,1067,-703,-3404,-3246,24,-679,264320,145873,"75026,066","-0,043","1,944",N
III Q 2022,PLN,2406,-1209,-2126,-2126,13,-1196,265905,143746,"75026,066","-0,028","1,916",N
IV Q 2020,PLN,2592,-21145,-23783,-14782,2,-21143,283780,128747,"75026,066","-0,197","1,716",N
I Q 2021,PLN,4313,-753,-728,-728,2,-751,283130,129645,"75026,066","-0,010","1,728",N
II Q 2021,PLN,14760,2237,-1409,392,3,2240,276794,130038,"75026,066","0,005","1,733",N
III Q 2021,PLN,3256,1879,2468,2466,9,1888,273057,130878,"75026,066","0,033","1,744",N
IV Q 2019,PLN,210,-24944,-26631,-24357,3,-24941,293524,132750,"75026,066","-0,325","1,769",N
I Q 2020,PLN,2386,-1694,-1655,-1570,3,-1691,296423,131180,"75026,066","-0,021","1,748",N
II Q 2020,PLN,592,-2790,-1985,-2662,3,-2787,292967,128516,"75026,066","-0,035","1,713",N
III Q 2020,PLN,570,-2609,15013,15013,2,-2607,299694,143529,"75026,066","0,200","1,913",N
IV Q 2018,PLN,566,-6386,-14600,-13304,284,-6102,300979,171591,"75026,066","-0,177","2,287",N
I Q 2019,PLN,560,1325,-941,-941,30,1355,309430,170650,"75026,066","-0,013","2,275",N
II Q 2019,PLN,1580,-6088,-7240,-6025,25,-6063,308308,164625,"75026,066","-0,080","2,194",N
III Q 2019,PLN,2522,-5905,-7518,-7518,22,-5883,301548,157107,"75026,066","-0,100","2,094",N
IV Q 2017,PLN,1100,-206878,-220120,-213201,175,-206703,341060,209896,"75026,066","-2,842","2,798",N
I Q 2018,PLN,458,-1362,-7827,-7827,108,-1254,333695,202069,"75026,066","-0,104","2,693",N
II Q 2018,PLN,669,-7459,-9673,-14194,114,-7345,318841,186346,"75026,066","-0,189","2,484",N
III Q 2018,PLN,402,-1262,-1451,-1451,52,-1210,316521,184895,"75026,066","-0,019","2,464",N
IV Q 2016,PLN,8811,-91442,-86320,-94561,420,-91022,600097,442607,"75026,066","-1,260","5,899",N
I Q 2017,PLN,1785,-1235,-153,-274,216,-1019,600309,442333,"75026,066","-0,004","5,896",N
II Q 2017,PLN,21462,-35185,-37518,-41323,191,-34994,541249,401011,"75026,066","-0,551","5,345",N
III Q 2017,PLN,479,-3958,-10537,22085,303,-3655,565216,423097,"75026,066","0,294","5,639",N
IV Q 2015,PLN,7206,-37063,-52152,-90120,946,-36117,754194,549187,"75026,066","-1,201","7,320",N
I Q 2016,PLN,7619,1112,43,-1176,740,1852,739604,556371,"75026,066","-0,016","7,416",N
II Q 2016,PLN,28606,-18923,-11900,-20061,598,-18325,696714,546246,"75026,066","-0,267","7,281",N
III Q 2016,PLN,1964,-1570,-469,-722,113,-1457,693406,545529,"75026,066","-0,010","7,271",N
IV Q 2014,PLN,-51593,46489,45807,-25975,5932,52421,1103093,658088,"75026,066","-0,346","8,771",N
I Q 2015,PLN,48200,-15317,-17000,-51575,5273,-10044,1058342,606513,"75026,066","-0,687","8,084",N
II Q 2015,PLN,10520,4125,2956,88885,2850,6975,861845,657665,"75026,066","1,185","8,766",N
III Q 2015,PLN,19912,-9552,-11124,-18359,1263,-8289,831463,639307,"75026,066","-0,245","8,521",N
IV Q 2013,PLN,57117,-6163,-8800,-20193,3414,-2749,1109185,787950,"75026,066","-0,269","10,502",N
I Q 2014,PLN,33811,-20466,-22952,-38398,3580,-16886,1081776,749552,"75026,066","-0,512","9,991",N
II Q 2014,PLN,30495,-10817,-13135,-29365,4004,-6813,1075184,720188,"75026,066","-0,391","9,599",N
III Q 2014,PLN,54226,-8103,-10598,-36125,4928,-3175,1062898,684062,"75026,066","-0,481","9,118",N
IV Q 2012,PLN,25375,13987,11392,10404,526,14513,725285,562662,"49025,000","0,212","11,477",N
I Q 2013,PLN,18033,4346,333,254,498,4844,746521,562916,"49025,000","0,005","11,482",N
II Q 2013,PLN,33913,-13629,-14745,-15063,560,-13069,750535,567674,"49025,000","-0,307","11,579",N
III Q 2013,PLN,49430,-10154,-12522,-12776,1310,-8844,1058676,808048,"49025,000","-0,261","16,482",N
IV Q 2011,PLN,0,0,0,0,0,0,652560,512967,"49025,000","0,000","10,463",N
I Q 2012,PLN,12388,-652,-2380,-2546,573,-79,643778,510421,"49025,000","-0,052","10,411",N
II Q 2012,PLN,26807,18032,16058,15774,461,18493,659584,526195,"49025,000","0,322","10,733",N
III Q 2012,PLN,12724,8573,6719,6533,537,9110,0,0,"49025,000","0,133","0,000",N
IV Q 2009,PLN,0,0,0,0,0,0,491992,1513,"49025,000","0,000","0,031",N
IV Q 2010,PLN,0,0,0,0,0,0,532080,457602,"49025,000","0,000","9,334",N
