kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,16116,1096,1579,314,195,1291,89224,21500,"3061,460","0,103","7,023",N
I Q 2023,PLN,16374,2899,2431,1503,204,3103,90877,22996,"3061,460","0,491","7,511",N
II Q 2023,PLN,13421,-2101,-1308,178,184,-1917,99270,32519,"3476,460","0,051","9,354",N
III Q 2023,PLN,15819,529,-1164,-835,413,942,95085,31659,"3476,460","-0,240","9,107",N
IV Q 2021,PLN,20492,-497,-715,-1092,177,-320,45414,10661,"3061,460","-0,357","3,482",N
I Q 2022,PLN,18235,4469,3899,3700,199,4668,57584,14362,"3061,460","1,209","4,691",N
II Q 2022,PLN,34292,7401,7292,5887,201,7602,83326,20206,"3061,460","1,923","6,600",N
III Q 2022,PLN,9456,2801,994,994,196,2997,88229,21121,"3061,460","0,325","6,899",N
IV Q 2020,PLN,4576,755,680,596,175,930,22047,10029,"3061,460","0,195","3,276",N
I Q 2021,PLN,8680,663,701,704,198,861,30711,10742,"3061,460","0,230","3,509",N
II Q 2021,PLN,11485,1975,1739,1277,121,2096,32294,12018,"3061,460","0,417","3,926",N
III Q 2021,PLN,6327,76,-240,-260,180,256,39876,11755,"3061,460","-0,085","3,840",N
II Q 2020,PLN,0,0,0,0,0,0,22305,9521,"3061,460","0,000","3,110",N
III Q 2020,PLN,5336,37,-33,-101,146,183,21389,9427,"3061,460","-0,033","3,079",N
