kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,126357,12947,10031,8428,3500,16447,472105,262212,"10547,063","0,799","24,861",N
I Q 2023,PLN,152170,20714,20502,16628,3843,24557,483790,272374,"10547,063","1,577","25,825",N
II Q 2023,PLN,142549,18049,20910,16817,4462,22511,461944,267140,"10547,063","1,594","25,328",N
III Q 2023,PLN,144902,26157,22703,16929,4851,31008,454392,285259,"10547,063","1,605","27,046",N
IV Q 2021,PLN,120015,14165,12648,10279,3980,18145,353937,235168,"10547,063","0,975","22,297",N
I Q 2022,PLN,142436,18356,18498,15270,3334,21690,394134,248550,"10547,063","1,448","23,566",N
II Q 2022,PLN,135223,11485,9086,7561,3343,14828,446511,242311,"10547,063","0,717","22,974",N
III Q 2022,PLN,141701,12211,11226,9292,3196,15407,450796,249057,"10547,063","0,881","23,614",N
IV Q 2020,PLN,97254,17972,18220,15087,2725,20697,248328,188675,"10547,063","1,430","17,889",N
I Q 2021,PLN,109701,24469,24625,20285,3150,27619,271569,209346,"10547,063","1,923","19,849",N
II Q 2021,PLN,124504,25201,24296,19748,3101,28302,291986,207912,"10547,063","1,872","19,713",N
III Q 2021,PLN,126365,19861,20235,16374,3189,23050,285792,225186,"10547,063","1,552","21,351",N
IV Q 2019,PLN,71290,5106,5233,3655,3483,8589,209797,147474,"10547,063","0,347","13,982",N
I Q 2020,PLN,86737,11371,11035,9153,3374,14745,220009,156705,"10547,063","0,868","14,858",N
II Q 2020,PLN,78637,16872,16583,13448,2250,19122,212919,153756,"10547,063","1,275","14,578",N
III Q 2020,PLN,108182,23147,23848,18935,2651,25798,231858,172665,"10547,063","1,795","16,371",N
IV Q 2018,PLN,68974,3266,3062,2301,1790,5056,193556,129212,"11303,320","0,204","11,431",N
