kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,2629,-81,-457,-608,29,-52,33616,17284,"1130,279","-0,538","15,292",N
I Q 2023,PLN,2521,-228,418,289,25,-203,36810,17572,"1130,279","0,256","15,547",N
II Q 2023,PLN,3779,185,1354,1146,25,210,37369,18312,"1130,279","1,014","16,201",N
III Q 2023,PLN,2581,-397,-49,-144,22,-375,39755,18169,"1130,279","-0,127","16,075",N
IV Q 2021,PLN,2563,298,1361,964,24,322,32420,17740,"1130,279","0,853","15,695",N
I Q 2022,PLN,2028,183,-985,-826,19,202,31509,16914,"1130,279","-0,731","14,964",N
II Q 2022,PLN,2863,-227,2089,1692,27,-200,39216,17997,"1130,279","1,497","15,923",N
III Q 2022,PLN,2449,-194,-135,-106,21,-173,34112,17890,"1130,279","-0,094","15,828",N
IV Q 2020,PLN,2832,556,984,661,24,580,25695,14141,"1130,279","0,585","12,511",N
I Q 2021,PLN,1732,-139,333,329,26,-113,26513,14470,"1130,279","0,291","12,802",N
II Q 2021,PLN,1914,179,1616,1188,19,198,26483,15658,"1130,279","1,051","13,853",N
III Q 2021,PLN,1742,-77,1410,1118,28,-49,26514,16777,"1130,279","0,989","14,843",N
IV Q 2019,PLN,2154,-89,-1383,-1253,27,-62,20444,13831,"1130,279","-1,109","12,237",N
I Q 2020,PLN,2362,-162,-437,-331,26,-136,23786,13500,"1130,279","-0,293","11,944",N
II Q 2020,PLN,1846,46,491,425,26,72,23736,13925,"1130,279","0,376","12,320",N
III Q 2020,PLN,1785,-306,-554,-448,26,-280,24497,13477,"1130,279","-0,396","11,924",N
IV Q 2018,PLN,1038,85,-398,-259,34,119,27522,16471,"1130,279","-0,229","14,573",N
