kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,104344,-2907,-4403,-4837,3400,493,374284,212614,"87338,652","-0,055","2,434",N
I Q 2023,PLN,103800,3717,2462,1752,3019,6736,374937,214352,"87338,652","0,020","2,454",N
II Q 2023,PLN,109360,7666,5826,5215,2976,10642,372326,219308,"87338,652","0,060","2,511",N
III Q 2023,PLN,117296,10473,10101,8502,2973,13446,383690,228133,"87338,652","0,097","2,612",N
IV Q 2021,PLN,91919,2167,1629,1416,2680,4847,361590,217481,"87338,652","0,016","2,490",N
I Q 2022,PLN,91994,-769,-979,-359,2588,1819,371378,217112,"87338,652","-0,004","2,486",N
II Q 2022,PLN,93655,1029,156,-220,2616,3645,370956,214286,"87338,652","-0,003","2,454",N
III Q 2022,PLN,110959,3958,3130,3150,2732,6690,381322,217598,"87338,652","0,036","2,491",N
IV Q 2020,PLN,95781,12699,13102,11222,3306,16005,347221,212230,"87338,652","0,128","2,430",N
I Q 2021,PLN,90810,4983,4897,4593,2560,7543,357251,216838,"87338,652","0,053","2,483",N
II Q 2021,PLN,82913,3538,2156,1863,2951,6489,352606,213326,"87338,652","0,021","2,443",N
III Q 2021,PLN,88426,4362,4574,3725,2456,6818,353389,217205,"87338,652","0,043","2,487",N
IV Q 2019,PLN,74518,3800,2608,2215,2682,6482,321567,184340,"87338,652","0,025","2,111",N
I Q 2020,PLN,86277,3669,3531,2808,2472,6141,334502,186796,"87338,652","0,032","2,139",N
II Q 2020,PLN,91145,9117,8283,8900,2541,11658,347328,195565,"87338,652","0,102","2,239",N
III Q 2020,PLN,91222,6457,6388,5696,2604,9061,338521,201099,"87338,652","0,065","2,303",N
IV Q 2018,PLN,77456,-40,-1328,-3209,2662,2622,335634,180963,"87338,652","-0,037","2,072",N
I Q 2019,PLN,72666,584,-105,-992,2751,3335,330071,179955,"87338,652","-0,011","2,060",N
II Q 2019,PLN,77628,2303,999,1019,2740,5043,331380,181023,"87338,652","0,012","2,073",N
III Q 2019,PLN,85048,1914,1427,1103,2642,4556,330988,182012,"87338,652","0,013","2,084",N
IV Q 2017,PLN,85511,-11975,-70325,-67425,2550,-9425,347878,183758,"86326,086","-0,781","2,129",N
I Q 2018,PLN,70635,-106,-611,-1234,2620,2514,347319,182534,"86326,086","-0,014","2,114",N
II Q 2018,PLN,72040,108,-586,-903,2551,2659,341772,185308,"86326,086","-0,010","2,147",N
III Q 2018,PLN,80686,-179,-980,-1234,2588,2409,337770,184093,"86326,086","-0,014","2,133",N
IV Q 2016,PLN,75128,-10044,-10782,-8896,1852,-8192,431809,269075,"86076,085","-0,103","3,126",N
I Q 2017,PLN,73561,-1466,-2413,-2875,2399,933,428229,265598,"86076,085","-0,033","3,086",N
II Q 2017,PLN,66021,-7327,-8003,-7611,2641,-4686,423584,259888,"86326,086","-0,088","3,011",N
III Q 2017,PLN,78686,73,-449,-338,2460,2533,421417,259711,"86326,086","-0,004","3,008",N
IV Q 2015,PLN,54681,-360,-608,-533,1044,684,147013,66545,"35533,311","-0,015","1,873",N
I Q 2016,PLN,77542,3885,2972,1378,2528,6413,392583,223986,"35533,311","0,039","6,304",N
II Q 2016,PLN,77299,3631,3191,2591,2273,5904,441181,278052,"73588,400","0,035","3,778",N
III Q 2016,PLN,83035,-733,-1121,-957,2458,1725,435424,275888,"86076,085","-0,011","3,205",N
IV Q 2014,PLN,52213,2243,1664,984,955,3198,142372,65802,"35533,311","0,028","1,852",N
I Q 2015,PLN,55745,3335,2166,1425,960,4295,141125,68972,"35533,311","0,040","1,941",N
II Q 2015,PLN,54342,2975,2992,2517,1026,4001,151256,67927,"35533,311","0,071","1,912",N
III Q 2015,PLN,61887,987,857,884,1170,2157,155877,68817,"35533,311","0,025","1,937",N
IV Q 2013,PLN,0,0,0,0,0,0,103930,58398,"35533,311","0,000","1,643",N
I Q 2014,PLN,36018,2674,2664,2308,421,3095,0,0,"35533,311","0,065","0,000",N
II Q 2014,PLN,39708,2610,2482,1834,462,3072,0,0,"35533,311","0,052","0,000",N
III Q 2014,PLN,44055,2462,2427,1954,604,3066,0,0,"35533,311","0,055","0,000",N
