kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,370656,5949,15966,2341,4291,10240,6087012,1643778,"412690,582","0,006","3,983",N
I Q 2023,PLN,210093,25300,20843,11533,3556,28856,5874644,1655299,"412690,582","0,028","4,011",N
II Q 2023,PLN,246893,6756,16440,-2420,3755,10511,5728875,1649484,"412690,582","-0,006","3,997",N
III Q 2023,PLN,193558,67876,48014,24074,4903,72779,6198419,1748187,"412690,582","0,058","4,236",N
IV Q 2021,PLN,712791,123248,113854,80622,3890,127138,6434880,1679610,"412690,582","0,195","4,070",N
I Q 2022,PLN,283636,108467,72929,51442,4096,112563,6705387,1731098,"412690,582","0,125","4,195",N
II Q 2022,PLN,314504,50854,31063,10436,3550,54404,6708798,1650767,"412690,582","0,025","4,000",N
III Q 2022,PLN,425510,110134,99043,62931,3361,113495,6429129,1732372,"412690,582","0,152","4,198",N
IV Q 2020,PLN,466552,116465,51481,34801,8957,125422,5630796,1684685,"412690,582","0,084","4,082",N
I Q 2021,PLN,155370,72952,37259,24521,1808,74760,5780747,1709240,"412690,582","0,059","4,142",N
II Q 2021,PLN,265526,-11962,19430,22741,3147,-8815,7049679,1628695,"412690,582","0,055","3,947",N
III Q 2021,PLN,398978,125072,91349,61038,3683,128755,6760417,1689809,"412690,582","0,148","4,095",N
IV Q 2019,PLN,498511,257327,237784,182529,2317,259644,4810429,1562365,"412690,582","0,442","3,786",N
I Q 2020,PLN,158005,102757,49269,40629,2540,105297,5086749,1603200,"412690,582","0,098","3,885",N
II Q 2020,PLN,248374,45184,26825,10464,-678,44506,5146555,1613583,"412690,582","0,025","3,910",N
III Q 2020,PLN,341953,73761,49037,36199,919,74680,5402271,1649810,"412690,582","0,088","3,998",N
IV Q 2018,PLN,273604,203125,196889,147601,745,203870,3891909,1495573,"412690,582","0,358","3,624",N
I Q 2019,PLN,69415,52067,37272,31833,842,52909,4275009,1502679,"412690,582","0,077","3,641",N
II Q 2019,PLN,61386,52728,52358,36071,680,53408,4414410,1534368,"412690,582","0,087","3,718",N
III Q 2019,PLN,250821,88031,70774,49099,5633,93664,4543624,1377229,"412690,582","0,119","3,337",N
IV Q 2017,PLN,312427,64106,91598,71155,-82,64024,3852960,1590010,"412690,582","0,172","3,853",N
I Q 2018,PLN,64386,81270,66002,50677,819,82089,3989064,1677895,"412690,582","0,123","4,066",N
II Q 2018,PLN,126378,50584,108200,75812,845,51429,3697782,1515179,"412690,582","0,184","3,671",N
III Q 2018,PLN,248667,69475,53321,31268,1080,70555,3793408,1555393,"412690,582","0,076","3,769",N
IV Q 2016,PLN,67705,118701,32064,37592,655,119356,3369792,1533894,"412690,582","0,091","3,717",N
I Q 2017,PLN,73278,89686,76060,62648,1162,90848,3316128,1593820,"412690,582","0,152","3,862",N
II Q 2017,PLN,101178,45091,132295,126698,800,45891,3511627,1496255,"412690,582","0,307","3,626",N
III Q 2017,PLN,154102,76946,64446,52515,949,77895,3704141,1602164,"412690,582","0,127","3,882",N
IV Q 2015,PLN,176477,766868,588931,441069,941,767809,8388951,3663596,"412690,582","1,069","8,877",N
I Q 2016,PLN,143207,168021,121952,188484,1020,169041,8211852,3264194,"412690,582","0,457","7,910",N
II Q 2016,PLN,137325,239635,-5613,113448,485,240120,5552832,1800557,"412690,582","0,275","4,363",N
III Q 2016,PLN,131838,85296,48187,53821,945,86241,4004391,1847462,"412690,582","0,130","4,477",N
IV Q 2014,PLN,206755,73293,-42393,-48145,1471,74764,6548652,3152634,"412690,582","-0,117","7,639",N
I Q 2015,PLN,142655,-80863,5672,7110,1230,-79633,6519510,3155593,"412690,582","0,017","7,646",N
II Q 2015,PLN,131097,112144,22528,15627,1255,113399,6728949,3168484,"412690,582","0,038","7,678",N
III Q 2015,PLN,135826,112910,60548,50285,1080,113990,6890168,3218730,"412690,582","0,122","7,799",N
IV Q 2013,PLN,118668,18392,7443,23660,2975,21367,6164022,2765438,"412690,582","0,057","6,701",N
I Q 2014,PLN,111843,490148,443492,408342,1223,491371,6551370,3160068,"412690,582","0,989","7,657",N
II Q 2014,PLN,111543,27110,9389,15108,1135,28245,6271366,3168327,"412690,582","0,037","7,677",N
III Q 2014,PLN,149124,69370,32945,29580,1143,70513,6298521,3197442,"412690,582","0,072","7,748",N
IV Q 2012,PLN,147309,157050,136166,333091,1394,158444,5453173,2431620,"0,000",,,N
I Q 2013,PLN,137885,245707,156883,156054,1049,246756,5566281,2593201,"0,000",,,N
II Q 2013,PLN,122754,248733,151694,146023,1651,250384,5740792,2746886,"0,000",,,N
III Q 2013,PLN,138064,-2346,6497,5366,-546,-2892,5908711,2745193,"0,000",,,N
IV Q 2011,PLN,115226,48584,30185,29190,3819,52403,5349481,2095577,"0,000",,,N
I Q 2012,PLN,153837,-31970,32786,30661,4668,-27302,5130236,2092383,"0,000",,,N
II Q 2012,PLN,122909,104900,37077,67341,-1708,103192,5211961,2166654,"0,000",,,N
III Q 2012,PLN,158710,-40529,-22131,-19451,1307,-39222,5247937,2100709,"0,000",,,N
IV Q 2010,PLN,99914,35490,31486,31832,2252,37742,4490959,1875575,"0,000",,,N
I Q 2011,PLN,86045,127129,69388,55243,1169,128298,4882325,1941054,"0,000",,,N
II Q 2011,PLN,96218,40074,22363,19864,-148,39926,4875863,1956805,"0,000",,,N
III Q 2011,PLN,109446,323578,78420,72196,3033,326611,0,0,"0,000",,,N
IV Q 2009,PLN,102856,-20994,19334,19054,1160,-19834,4272284,1733686,"0,000",,,N
I Q 2010,PLN,114132,-62601,35717,29765,897,-61704,4260906,1757548,"0,000",,,N
II Q 2010,PLN,117734,202258,35544,27307,960,203218,4469388,1788529,"0,000",,,N
III Q 2010,PLN,94616,-6456,34423,58834,-98,-6554,0,0,"0,000",,,N
IV Q 2008,PLN,165124,548910,49777,29947,1039,549949,4197976,1640600,"0,000",,,N
I Q 2009,PLN,134381,402016,65039,52777,1196,403212,4556028,1701492,"0,000",,,N
II Q 2009,PLN,96017,-90026,22667,18353,983,-89043,4365598,1718912,"0,000",,,N
III Q 2009,PLN,98172,-94856,22606,13512,1050,-93806,0,0,"0,000",,,N
IV Q 2007,PLN,95028,51340,65454,50897,2781,54121,3443292,1519065,"0,000",,,N
I Q 2008,PLN,89659,41227,32871,26232,1466,42693,3406727,1540731,"0,000",,,N
II Q 2008,PLN,91213,10719,39214,27867,1225,11944,3343378,1568704,"0,000",,,N
III Q 2008,PLN,96061,70824,24465,17682,1116,71940,0,0,"0,000",,,N
IV Q 2006,PLN,72752,35918,47046,38584,1224,37142,2739514,1195243,"420000,000","0,092","2,846",N
I Q 2007,PLN,65393,89503,74695,60694,1023,90526,2912498,1255931,"420000,000","0,145","2,990",N
II Q 2007,PLN,125598,176767,187971,150205,793,177560,3242174,1409326,"420000,000","0,358","3,356",N
III Q 2007,PLN,87706,76862,65376,57454,1112,77974,0,0,"420000,000","0,137","0,000",N
IV Q 2005,PLN,58918,29951,44326,16813,156,30107,2149700,917103,"420000,000","0,040","2,184",N
I Q 2006,PLN,90919,87491,72143,56784,3070,90561,2261703,973887,"420000,000","0,135","2,319",N
II Q 2006,PLN,93443,81648,54990,45400,-307,81341,2392222,1019287,"420000,000","0,108","2,427",N
III Q 2006,PLN,76135,175968,171875,137364,993,176961,0,0,"420000,000","0,327","0,000",N
IV Q 2004,PLN,86411,-52753,-13795,-9918,6298,-46455,1889329,722119,"420000,000","-0,024","1,719",N
I Q 2005,PLN,57179,93400,75121,59007,1455,94855,1997881,781696,"420000,000","0,140","1,861",N
II Q 2005,PLN,55048,57951,46637,37509,1875,59826,1957810,819205,"420000,000","0,089","1,950",N
III Q 2005,PLN,86794,110690,100722,81085,1301,111991,0,0,"420000,000","0,193","0,000",N
