kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2022,PLN,7752,192,2762,4238,1513,1705,64954,49559,"13149,562","0,322","3,769",N
III Q 2022,PLN,15547,1882,3937,4068,1189,3071,68909,56098,"13149,562","0,309","4,266",N
IV Q 2022,PLN,4137,-41010,-44299,-27195,1343,-39667,23225,25480,"13149,562","-2,068","1,938",N
I Q 2023,PLN,1145,-1192,226,-585,1065,-127,23988,24573,"13149,562","-0,044","1,869",N
II Q 2021,PLN,9939,121,-852,-78,1118,1239,70834,53639,"13149,562","-0,006","4,079",N
III Q 2021,PLN,10991,163,702,878,1123,1286,72895,55733,"13149,562","0,067","4,238",N
IV Q 2021,PLN,6518,-5831,-6873,-4327,845,-4986,66132,50746,"13149,562","-0,329","3,859",N
I Q 2022,PLN,6908,-2379,-5701,-5227,661,-1718,69110,51311,"13149,562","-0,398","3,902",N
II Q 2020,PLN,7463,-1258,-7027,-2309,1137,-121,78312,54413,"13149,562","-0,176","4,138",N
III Q 2020,PLN,9787,-1932,-363,4175,1188,-744,78486,54932,"13149,562","0,318","4,177",N
IV Q 2020,PLN,9822,-2278,-11644,-9923,1424,-854,75032,52684,"13149,562","-0,755","4,007",N
I Q 2021,PLN,10102,114,-310,468,1152,1266,73210,54720,"13149,562","0,036","4,161",N
II Q 2019,PLN,9374,-546,570,-463,508,-38,76103,51859,"13149,562","-0,035","3,944",N
III Q 2019,PLN,12502,1243,2962,2585,445,1688,76579,53908,"13149,562","0,197","4,100",N
IV Q 2019,PLN,9331,-1802,-3544,-1837,578,-1224,77639,52372,"13149,562","-0,140","3,983",N
I Q 2020,PLN,8788,-817,2537,2723,1168,351,78615,54052,"13149,562","0,207","4,111",N
II Q 2018,PLN,8313,-1652,-627,39,450,-1202,94451,69102,"12177,062","0,003","5,675",N
III Q 2018,PLN,8194,-1709,-2617,-1515,1088,-621,93875,68069,"12177,062","-0,124","5,590",N
IV Q 2018,PLN,9097,-1470,-19559,-17698,-273,-1743,73086,49674,"12177,062","-1,453","4,079",N
I Q 2019,PLN,9874,757,-394,465,459,1216,78392,56693,"13149,562","0,035","4,311",N
II Q 2017,PLN,5095,-770,-2815,-2793,807,37,94979,62196,"11327,500","-0,247","5,491",N
III Q 2017,PLN,7543,-506,-1237,-1472,1352,846,93918,67970,"11973,370","-0,123","5,677",N
IV Q 2017,PLN,6733,-4021,-2711,-3184,-789,-4810,93826,68434,"12177,062","-0,261","5,620",N
I Q 2018,PLN,8092,-105,43,-200,442,337,93784,69265,"12177,062","-0,016","5,688",N
II Q 2016,PLN,0,0,0,0,0,0,93781,64423,"11327,500","0,000","5,687",N
III Q 2016,PLN,4978,740,-225,-844,453,1193,94536,64009,"11327,500","-0,075","5,651",N
IV Q 2016,PLN,3113,-1349,-1653,-1085,360,-989,96633,62595,"11327,500","-0,096","5,526",N
I Q 2017,PLN,6164,649,-283,12,279,928,95585,62422,"11327,500","0,001","5,511",N
