kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,233744,25264,21996,15628,1321,26585,268326,98051,"9983,009","1,565","9,822",N
I Q 2023,PLN,97453,7542,7873,5757,1098,8640,220521,103808,"9983,009","0,577","10,398",N
II Q 2023,PLN,128332,14774,14203,11184,1123,15897,253908,100016,"9983,009","1,120","10,019",N
III Q 2023,PLN,183222,14790,14098,9740,1049,15839,276035,109756,"9983,009","0,976","10,994",N
IV Q 2021,PLN,90528,3030,2173,3113,1408,4438,180820,76184,"9983,009","0,312","7,631",N
I Q 2022,PLN,52361,-4417,-4755,-5407,1347,-3070,142871,70777,"9983,009","-0,542","7,090",N
II Q 2022,PLN,76501,-575,-296,681,1331,756,189588,71458,"9983,009","0,068","7,158",N
III Q 2022,PLN,142993,12919,13469,11082,930,13849,222727,82540,"9983,009","1,110","8,268",N
IV Q 2020,PLN,103693,10387,9653,7734,1372,11759,182535,69501,"9983,009","0,775","6,962",N
I Q 2021,PLN,52227,-637,-1003,-1491,1377,740,152842,68010,"9983,009","-0,149","6,813",N
II Q 2021,PLN,77711,4130,3959,3094,1362,5492,156655,71104,"9983,009","0,310","7,123",N
III Q 2021,PLN,56707,2733,2481,1877,1349,4082,157247,72981,"9983,009","0,188","7,311",N
IV Q 2019,PLN,82800,-2285,-3024,14,1243,-1042,157125,52983,"9983,009","0,001","5,307",N
I Q 2020,PLN,52627,5544,5367,4206,1198,6742,136011,57126,"9983,009","0,421","5,722",N
II Q 2020,PLN,49948,3659,3454,2677,1373,5032,136999,59803,"9983,009","0,268","5,990",N
III Q 2020,PLN,70565,3623,3077,1976,1439,5062,139838,61779,"9983,009","0,198","6,188",N
IV Q 2018,PLN,117775,3140,2775,2341,817,3957,178599,70109,"9983,009","0,234","7,023",N
I Q 2019,PLN,57148,-4429,-4762,-4316,1070,-3359,155764,65794,"9983,009","-0,432","6,591",N
II Q 2019,PLN,65330,-8878,-9291,-9111,1246,-7632,155011,54155,"9983,009","-0,913","5,425",N
III Q 2019,PLN,53324,-506,-995,-1128,1218,712,138465,53027,"9983,009","-0,113","5,312",N
IV Q 2017,PLN,109381,97,-478,-2528,846,943,175942,74683,"9983,009","-0,253","7,481",N
I Q 2018,PLN,49078,-3348,-3632,-4429,683,-2665,121714,70252,"9983,009","-0,444","7,037",N
II Q 2018,PLN,63875,-2799,-2894,-2230,808,-1991,141359,67913,"9983,009","-0,223","6,803",N
III Q 2018,PLN,79744,1708,1144,410,800,2508,147693,68324,"9983,009","0,041","6,844",N
IV Q 2016,PLN,96997,3794,4144,2703,865,4659,166150,82765,"9983,009","0,271","8,291",N
I Q 2017,PLN,41970,-3275,-3673,-3221,840,-2435,126540,79539,"9983,009","-0,323","7,967",N
II Q 2017,PLN,57558,-2568,-2938,-2813,860,-1708,124714,73234,"9983,009","-0,282","7,336",N
III Q 2017,PLN,84178,4769,4516,4080,806,5575,147923,77315,"9983,009","0,409","7,745",N
IV Q 2015,PLN,141803,16228,16492,12969,782,17010,200243,95432,"9983,009","1,299","9,559",N
I Q 2016,PLN,47805,-2143,-2113,-2973,799,-1344,139018,92459,"9983,009","-0,298","9,262",N
II Q 2016,PLN,52234,-1155,-741,-1304,828,-327,122470,78776,"9983,009","-0,131","7,891",N
III Q 2016,PLN,60917,1067,690,1018,930,1997,124958,80079,"9983,009","0,102","8,022",N
IV Q 2014,PLN,73187,4749,4926,3504,687,5436,158367,80030,"9983,009","0,351","8,017",N
I Q 2015,PLN,48399,-1710,-1951,-1542,693,-1017,136158,78488,"9983,009","-0,154","7,862",N
II Q 2015,PLN,66220,3725,4250,3298,703,4428,137602,75795,"9983,009","0,330","7,592",N
III Q 2015,PLN,97022,6756,6808,5556,711,7467,149829,81351,"9983,009","0,557","8,149",N
IV Q 2013,PLN,72812,4699,4540,5064,768,5467,149083,86190,"9983,009","0,507","8,634",N
I Q 2014,PLN,38585,-2293,-2615,-2485,760,-1533,126734,83705,"9983,009","-0,249","8,385",N
II Q 2014,PLN,40645,-250,-11,-146,738,488,116455,76326,"9983,009","-0,015","7,646",N
III Q 2014,PLN,45249,341,591,200,669,1010,116499,76526,"9983,009","0,020","7,666",N
IV Q 2012,PLN,83391,3621,3851,2794,894,4515,146723,84281,"9959,159","0,281","8,463",N
I Q 2013,PLN,34766,-591,-449,-658,790,199,123731,83624,"9959,159","-0,066","8,397",N
II Q 2013,PLN,50403,2702,985,751,746,3448,128912,78411,"9983,009","0,075","7,854",N
III Q 2013,PLN,63631,2890,2991,2379,730,3620,134842,80790,"9983,009","0,238","8,093",N
IV Q 2011,PLN,65855,6196,6885,5388,712,6908,139426,87609,"9959,159","0,541","8,797",N
I Q 2012,PLN,32793,128,299,236,727,855,121944,87845,"9959,159","0,024","8,821",N
II Q 2012,PLN,42050,389,644,798,759,1148,113943,78396,"9959,159","0,080","7,872",N
III Q 2012,PLN,53145,5212,4816,2784,900,6112,0,0,"9959,159","0,280","0,000",N
IV Q 2010,PLN,46571,3531,1985,1131,689,4220,121902,84666,"9848,159","0,115","8,597",N
I Q 2011,PLN,26160,-1073,-813,-839,656,-417,116191,83964,"9959,159","-0,084","8,431",N
II Q 2011,PLN,49009,3302,3510,2731,834,4136,126366,79746,"9959,159","0,274","8,007",N
III Q 2011,PLN,48685,3017,3208,2434,679,3696,0,0,"9959,159","0,244","0,000",N
IV Q 2009,PLN,34256,3550,4218,3279,554,4104,120336,94170,"9774,009","0,335","9,635",N
I Q 2010,PLN,13516,-1670,-1069,-1104,497,-1173,108268,93226,"9848,159","-0,112","9,466",N
II Q 2010,PLN,27648,1099,1846,1627,510,1609,100369,81172,"9848,159","0,165","8,242",N
III Q 2010,PLN,28714,2414,2709,2131,503,2917,0,0,"9848,159","0,216","0,000",N
IV Q 2008,PLN,46635,5498,6175,4849,503,6001,124228,90167,"9700,000","0,500","9,296",N
I Q 2009,PLN,16805,34,545,286,537,571,109184,90525,"9791,000","0,029","9,246",N
II Q 2009,PLN,31427,3379,4113,3201,635,4014,115450,88064,"9791,000","0,327","8,994",N
III Q 2009,PLN,26528,2440,2965,2268,532,2972,0,0,"9791,000","0,232","0,000",N
IV Q 2007,PLN,33527,3620,4200,3311,508,4128,117761,89296,"9700,000","0,341","9,206",N
I Q 2008,PLN,20068,893,1770,1060,515,1408,111806,90651,"9700,000","0,109","9,345",N
II Q 2008,PLN,24589,1434,2051,1893,772,2206,114127,82988,"9700,000","0,195","8,555",N
III Q 2008,PLN,29552,1124,1984,1447,733,1857,0,0,"9700,000","0,149","0,000",N
IV Q 2006,PLN,33337,3197,3214,2522,437,3634,40660,13885,"0,000",,,N
I Q 2007,PLN,22229,2402,2383,1877,380,2782,35847,15927,"6000,000","0,313","2,655",N
II Q 2007,PLN,24858,3167,3668,2870,439,3606,106536,83542,"9700,000","0,296","8,613",N
III Q 2007,PLN,19222,1632,2182,2014,538,2170,0,0,"9700,000","0,208","0,000",N
II Q 2006,PLN,11649,842,787,606,0,842,21640,9450,"0,000",,,N
III Q 2006,PLN,18954,1437,1352,1119,350,1787,0,0,"0,000",,,N
