kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,151347,-350,1132,497,6338,5988,431222,180525,"41446,646","0,012","4,356",N
I Q 2023,PLN,158976,4770,3315,985,7390,12160,428844,182142,"41446,646","0,024","4,395",N
II Q 2023,PLN,165841,5271,7624,6928,7334,12605,442969,190494,"41446,646","0,167","4,596",N
III Q 2023,PLN,181945,10436,6022,3541,8283,18719,461141,194936,"41446,646","0,085","4,703",N
IV Q 2021,PLN,127772,7109,6435,4006,6626,13735,387242,181108,"22188,646","0,181","8,162",N
I Q 2022,PLN,133637,-3042,-4537,-3617,6783,3741,387994,177491,"22188,646","-0,163","7,999",N
II Q 2022,PLN,138372,3143,1689,716,6911,10054,394436,178863,"22188,646","0,032","8,061",N
III Q 2022,PLN,151699,5609,1473,746,7083,12692,413561,179609,"22188,646","0,034","8,095",N
IV Q 2020,PLN,122606,174,-1489,-1764,5399,5573,382435,178641,"22188,646","-0,080","8,051",N
I Q 2021,PLN,129909,771,-267,-920,5651,6422,377632,177721,"22188,646","-0,041","8,010",N
II Q 2021,PLN,130252,-530,-83,131,6477,5947,372719,177997,"22188,646","0,006","8,022",N
III Q 2021,PLN,126837,1809,357,-588,6561,8370,398500,177409,"22188,646","-0,027","7,995",N
IV Q 2019,PLN,104352,-1968,-3182,-2706,6199,4231,368570,109311,"22188,646","-0,122","4,926",N
I Q 2020,PLN,105728,39,-3831,-5081,5144,5183,362880,104230,"22188,646","-0,229","4,697",N
II Q 2020,PLN,100414,2050,1137,717,5082,7132,376467,104947,"22188,646","0,032","4,730",N
III Q 2020,PLN,112612,943,-973,-1574,5137,6080,385972,180405,"22188,646","-0,071","8,131",N
IV Q 2018,PLN,124380,-5684,-8083,-7149,4912,-772,295450,90007,"13285,346","-0,538","6,775",N
