kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,5420000,-817000,-805000,-586000,293000,-524000,27248000,10981000,"414067,114","-1,415","26,520",N
I Q 2023,PLN,7423000,2041000,1926000,1557000,291000,2332000,29371000,12538000,"414067,114","3,760","30,280",N
II Q 2023,PLN,797000,-19000,-170000,-133000,295000,276000,30068000,12359000,"414067,114","-0,321","29,848",N
III Q 2023,PLN,989000,462000,295000,206000,289000,751000,30210000,12536000,"414067,114","0,498","30,275",N
IV Q 2021,PLN,3805000,41000,27000,-8000,274000,315000,21238000,10008000,"414067,114","-0,019","24,170",N
I Q 2022,PLN,4938000,806000,769000,602000,277000,1083000,22457000,10668000,"414067,114","1,454","25,764",N
II Q 2022,PLN,4579000,577000,514000,437000,285000,862000,23075000,11185000,"414067,114","1,055","27,013",N
III Q 2022,PLN,5507000,801000,699000,514000,279000,1080000,25673000,11646000,"414067,114","1,241","28,126",N
IV Q 2020,PLN,3350000,365000,314000,235000,259000,624000,19668000,8779000,"414067,114","0,568","21,202",N
I Q 2021,PLN,3441000,484000,472000,382000,264000,748000,20112000,9155000,"414067,114","0,923","22,110",N
II Q 2021,PLN,3228000,323000,392000,294000,274000,597000,20343000,9462000,"414067,114","0,710","22,851",N
III Q 2021,PLN,3317000,430000,378000,300000,267000,697000,20492000,9786000,"414067,114","0,725","23,634",N
IV Q 2019,PLN,3107000,-216000,-1212000,-1331000,283000,67000,20967000,9253000,"414067,114","-3,214","22,347",N
I Q 2020,PLN,3289000,307000,189000,113000,264000,571000,21543000,9291000,"414067,114","0,273","22,438",N
II Q 2020,PLN,2842000,-244000,-855000,-827000,258000,14000,19275000,8442000,"414067,114","-1,997","20,388",N
III Q 2020,PLN,3013000,236000,133000,86000,263000,499000,19596000,8540000,"414067,114","0,208","20,625",N
IV Q 2018,PLN,2736000,188000,114000,61000,249000,437000,21599000,10295000,"414067,114","0,147","24,863",N
I Q 2019,PLN,2971000,291000,221000,186000,264000,555000,21870000,10438000,"414067,114","0,449","25,208",N
II Q 2019,PLN,3059000,163000,92000,89000,271000,434000,21982000,10547000,"414067,114","0,215","25,472",N
III Q 2019,PLN,3035000,221000,140000,104000,261000,482000,21798000,10627000,"414067,114","0,251","25,665",N
IV Q 2017,PLN,2817000,384000,308000,221000,242000,626000,21056000,9409000,"414067,114","0,534","22,723",N
I Q 2018,PLN,2642000,388000,342000,275000,238000,626000,21005000,9858000,"414067,114","0,664","23,808",N
II Q 2018,PLN,2392000,415000,350000,281000,239000,654000,21000000,10158000,"414067,114","0,679","24,532",N
III Q 2018,PLN,2567000,185000,147000,122000,241000,426000,21187000,10263000,"414067,114","0,295","24,786",N
IV Q 2016,PLN,2808000,103000,56000,80000,253000,356000,18731000,8777000,"414067,114","0,193","21,197",N
I Q 2017,PLN,2710000,355000,381000,310000,246000,601000,20001000,9077000,"414067,114","0,749","21,922",N
II Q 2017,PLN,2487000,300000,218000,174000,242000,542000,19809000,9129000,"414067,114","0,420","22,047",N
III Q 2017,PLN,2520000,171000,95000,68000,243000,414000,20501000,9194000,"414067,114","0,164","22,204",N
IV Q 2015,PLN,2847000,243000,182000,136000,238000,481000,18456000,8770000,"414067,114","0,328","21,180",N
I Q 2016,PLN,2621000,106000,44000,8000,234000,340000,18185000,8799000,"414067,114","0,019","21,250",N
II Q 2016,PLN,2316000,-35000,-138000,-127000,233000,198000,17951000,8487000,"414067,114","-0,307","20,497",N
III Q 2016,PLN,2436000,313000,243000,190000,237000,550000,17656000,8685000,"414067,114","0,459","20,975",N
IV Q 2014,PLN,2797718,254183,208174,173587,220335,474518,18118000,8516000,"414067,114","0,419","20,567",N
I Q 2015,PLN,2913000,467000,418000,352000,224000,691000,18561712,8854321,"414067,114","0,850","21,384",N
II Q 2015,PLN,2512000,298000,239000,178000,227000,525000,18127581,8490726,"414067,114","0,430","20,506",N
III Q 2015,PLN,2532000,272000,213000,166000,227000,499000,18296932,8656397,"414067,114","0,401","20,906",N
IV Q 2013,PLN,2891763,282533,227789,168567,202389,484922,17084556,8034479,"414067,114","0,407","19,404",N
I Q 2014,PLN,2747979,435118,393842,311871,208074,643192,17025011,8373040,"414067,114","0,753","20,221",N
II Q 2014,PLN,2538527,422556,364045,283532,215561,638117,17483118,8173920,"414067,114","0,685","19,741",N
III Q 2014,PLN,2505776,334143,281939,213010,217030,551173,17498949,8354388,"414067,114","0,514","20,176",N
IV Q 2012,PLN,2935630,107390,-66773,-72539,189476,296866,14912773,7671226,"414067,114","-0,175","18,527",N
I Q 2013,PLN,2933814,282486,243605,192362,189550,472036,17074757,7857886,"414067,114","0,465","18,977",N
II Q 2013,PLN,2855730,462552,453152,348951,187545,650097,16720399,7767222,"414067,114","0,843","18,758",N
III Q 2013,PLN,2747942,174874,106013,59500,191151,366025,16560547,7839005,"414067,114","0,144","18,932",N
IV Q 2011,PLN,0,0,0,0,0,0,13685283,7825784,"414067,114","0,000","18,900",N
I Q 2012,PLN,2905500,356720,352630,284274,174515,531235,0,0,"414067,114","0,687","0,000",N
II Q 2012,PLN,2709729,358183,283202,225199,177865,536048,0,0,"414067,114","0,544","0,000",N
III Q 2012,PLN,2625940,83714,57060,20100,181383,265097,0,0,"414067,114","0,049","0,000",N
IV Q 2010,PLN,0,0,0,0,0,0,12640143,7026122,"414067,114","0,000","16,969",N
