kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,15634,-16688,-18373,-16485,2290,-14398,125081,42985,"18000,000","-0,916","2,388",N
I Q 2023,PLN,24913,1477,856,790,1641,3118,126316,43834,"18000,000","0,044","2,435",N
II Q 2023,PLN,32859,2196,1144,757,1502,3698,134696,44524,"18000,000","0,042","2,474",N
III Q 2023,PLN,27519,1895,1233,1199,1612,3507,137454,45770,"18000,000","0,067","2,543",N
IV Q 2021,PLN,22912,-11599,-12202,-12015,1140,-10459,149244,67420,"18000,000","-0,668","3,746",N
I Q 2022,PLN,23395,-1594,-2016,-3144,1385,-209,153670,66942,"18000,000","-0,175","3,719",N
II Q 2022,PLN,19038,-3291,-4003,-3109,1559,-1732,154926,63967,"18000,000","-0,173","3,554",N
III Q 2022,PLN,17111,-5021,-5882,-6292,1372,-3649,146076,57352,"18000,000","-0,350","3,186",N
IV Q 2020,PLN,32182,280,-261,-281,1001,1281,95268,45399,"18000,000","-0,016","2,522",N
I Q 2021,PLN,25821,1601,1334,780,1086,2687,100825,47799,"18000,000","0,043","2,656",N
II Q 2021,PLN,24123,-4433,-4647,-4540,1141,-3292,97409,41603,"18000,000","-0,252","2,311",N
III Q 2021,PLN,34840,2031,1677,1849,1117,3148,113739,43260,"18000,000","0,103","2,403",N
IV Q 2019,PLN,18775,-46,-487,-288,1275,1229,97775,50451,"18000,000","-0,016","2,803",N
I Q 2020,PLN,12300,-3981,-3612,-3637,1209,-2772,98561,46761,"18000,000","-0,202","2,598",N
II Q 2020,PLN,16783,-1226,-1661,-1839,1214,-12,97580,41970,"18000,000","-0,102","2,332",N
III Q 2020,PLN,32803,6873,6464,5072,1275,8148,102811,49678,"18000,000","0,282","2,760",N
IV Q 2018,PLN,28168,-1834,-439,-584,1170,-664,104151,49399,"18000,000","-0,032","2,744",N
I Q 2019,PLN,20940,1342,854,727,1162,2504,95770,50126,"18000,000","0,040","2,785",N
II Q 2019,PLN,17046,401,-349,-517,1198,1599,96185,49477,"18000,000","-0,029","2,749",N
III Q 2019,PLN,26294,2870,2570,1448,1223,4093,99623,50819,"18000,000","0,080","2,823",N
IV Q 2017,PLN,185702,-12732,-14213,-25560,1363,-11369,198868,54844,"18000,000","-1,420","3,047",N
I Q 2018,PLN,37213,-814,-5177,-4719,1370,556,125298,50127,"18000,000","-0,262","2,785",N
II Q 2018,PLN,34715,-1071,-1473,-1765,1318,247,125568,48355,"18000,000","-0,098","2,686",N
