kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,15080,1521,1301,2071,793,2314,60876,33813,"2467,655","0,839","13,702",N
I Q 2023,PLN,16082,1611,1568,1486,659,2270,60523,35299,"2467,655","0,602","14,305",N
II Q 2023,PLN,15438,906,577,798,585,1491,58135,26263,"2467,655","0,323","10,643",N
III Q 2023,PLN,17804,1904,12322,9342,544,2448,71172,35605,"2458,522","3,800","14,482",N
IV Q 2021,PLN,-34359,-1156,-1121,990,1555,399,59639,28607,"2317,655","0,427","12,343",N
I Q 2022,PLN,11756,1178,1315,989,1621,2799,61045,29737,"2317,655","0,427","12,831",N
II Q 2022,PLN,13228,1722,23152,20694,1641,3363,76104,50380,"2317,655","8,929","21,737",N
III Q 2022,PLN,13344,545,1333,1159,734,1279,59472,31822,"2317,655","0,500","13,730",N
IV Q 2020,PLN,20748,2858,2882,786,1689,4547,62471,26119,"2319,005","0,339","11,263",N
I Q 2021,PLN,28212,2015,1749,670,1691,3706,64637,27083,"2319,005","0,289","11,679",N
II Q 2021,PLN,24705,1880,1884,961,1721,3601,60676,25904,"2319,005","0,414","11,170",N
III Q 2021,PLN,22486,1868,1775,1125,1619,3487,57944,27323,"2317,655","0,485","11,789",N
IV Q 2019,PLN,33281,740,794,364,1931,2671,61052,21945,"2485,032","0,146","8,831",N
I Q 2020,PLN,27016,1486,840,534,1697,3183,58905,22192,"2485,032","0,215","8,930",N
II Q 2020,PLN,27195,1892,1906,1356,1676,3568,59650,23393,"2485,032","0,546","9,414",N
III Q 2020,PLN,28958,2450,2227,1357,1669,4119,60963,24570,"2319,005","0,585","10,595",N
IV Q 2018,PLN,33093,1521,1484,1284,1333,2854,56389,25982,"2485,032","0,517","10,455",N
I Q 2019,PLN,27705,-290,-431,-257,1816,1526,60701,25138,"2485,032","-0,103","10,116",N
II Q 2019,PLN,22661,-1582,-1631,-1313,1950,368,58316,22556,"2485,032","-0,528","9,077",N
III Q 2019,PLN,26046,-287,-622,-624,1952,1665,57756,21910,"2485,032","-0,251","8,817",N
IV Q 2017,PLN,34291,2651,2479,2439,1347,3998,57864,26746,"2485,032","0,981","10,763",N
I Q 2018,PLN,26116,326,186,105,1199,1525,53736,26850,"2485,032","0,042","10,805",N
II Q 2018,PLN,24517,524,517,407,1179,1703,52595,24577,"2485,032","0,164","9,890",N
III Q 2018,PLN,25066,677,568,529,1212,1889,55871,24765,"2485,032","0,213","9,966",N
IV Q 2016,PLN,30769,2141,2041,1727,1283,3424,56665,25443,"2485,032","0,695","10,238",N
I Q 2017,PLN,24794,240,127,-55,1333,1573,56139,25388,"2485,032","-0,022","10,216",N
II Q 2017,PLN,23386,587,461,100,1296,1883,51964,23003,"2485,032","0,040","9,257",N
III Q 2017,PLN,27851,1579,1582,1303,1329,2908,55602,24306,"2485,032","0,524","9,781",N
IV Q 2015,PLN,25794,1886,1891,1471,992,2878,52510,27511,"2485,032","0,592","11,071",N
I Q 2016,PLN,19061,-1235,-1255,-1047,1107,-128,50734,26464,"2485,032","-0,421","10,649",N
II Q 2016,PLN,21618,-33,-90,-182,1132,1099,53291,23797,"2485,032","-0,073","9,576",N
III Q 2016,PLN,22925,-138,-112,-81,1226,1088,53403,23716,"2485,032","-0,033","9,544",N
IV Q 2014,PLN,25322,683,616,426,798,1481,53898,28424,"2485,032","0,171","11,438",N
I Q 2015,PLN,17984,-1277,-1302,-1205,993,-284,50186,27219,"2485,032","-0,485","10,953",N
II Q 2015,PLN,21883,300,492,487,1105,1405,48759,25221,"2485,032","0,196","10,149",N
III Q 2015,PLN,21940,1081,1054,819,1096,2177,50543,26040,"2485,032","0,330","10,479",N
IV Q 2013,PLN,19825,874,696,475,952,1826,47831,23623,"2485,032","0,191","9,506",N
I Q 2014,PLN,14317,-510,-875,-824,984,474,46072,22799,"2485,032","-0,332","9,175",N
II Q 2014,PLN,20395,88,-401,-296,921,1009,46675,22503,"2485,032","-0,119","9,055",N
III Q 2014,PLN,19260,187,7126,5495,739,926,50784,27998,"2485,032","2,211","11,267",N
IV Q 2012,PLN,13485,-953,-944,-727,794,-159,49461,25009,"2485,032","-0,293","10,064",N
I Q 2013,PLN,12297,-1431,-1582,-1209,860,-571,41502,23800,"2485,032","-0,487","9,577",N
II Q 2013,PLN,12090,-669,-608,-456,940,271,43881,23344,"2485,032","-0,183","9,394",N
III Q 2013,PLN,15394,32,-186,21,924,956,46934,23365,"2485,032","0,008","9,402",N
IV Q 2011,PLN,18802,2164,2539,1925,464,2628,36914,19121,"2026,000","0,950","9,438",N
I Q 2012,PLN,14517,35,96,137,470,505,34427,19258,"2026,000","0,068","9,505",N
II Q 2012,PLN,14738,-1370,1424,1026,691,-679,37613,20539,"2026,000","0,506","10,138",N
III Q 2012,PLN,12103,-457,-915,-264,688,231,37903,25737,"2485,032","-0,106","10,357",N
IV Q 2010,PLN,16444,2642,2900,1784,112,2754,32768,18680,"2026,000","0,881","9,220",N
I Q 2011,PLN,15148,1581,1619,1127,352,1933,28911,19487,"2026,000","0,556","9,618",N
II Q 2011,PLN,13472,977,1030,783,289,1266,0,0,"2026,000","0,386","0,000",N
III Q 2011,PLN,15358,1245,1250,977,336,1581,0,0,"2026,000","0,482","0,000",N
IV Q 2009,PLN,15003,2008,1959,1496,392,2400,29356,15134,"2030,000","0,737","7,455",N
I Q 2010,PLN,12608,148,210,146,393,541,24109,15407,"2030,000","0,072","7,590",N
II Q 2010,PLN,12894,341,408,416,368,709,23375,15696,"2030,000","0,205","7,732",N
III Q 2010,PLN,13838,1838,1631,1734,275,2113,0,0,"2026,000","0,856","0,000",N
IV Q 2008,PLN,14788,3190,3273,2447,391,3581,25330,15248,"2030,000","1,205","7,511",N
I Q 2009,PLN,8211,-564,-550,-532,336,-228,22031,14717,"2030,000","-0,262","7,250",N
II Q 2009,PLN,9826,-697,-691,-474,448,-249,21606,14202,"2030,000","-0,233","6,996",N
III Q 2009,PLN,10121,-602,-589,-468,385,-217,0,0,"2030,000","-0,231","0,000",N
IV Q 2007,PLN,8581,715,691,463,243,958,12912,5031,"1700,000","0,272","2,959",N
I Q 2008,PLN,7770,483,481,310,233,716,11388,5272,"1700,000","0,182","3,101",N
II Q 2008,PLN,8240,389,349,318,251,640,18416,13282,"2030,000","0,157","6,543",N
