kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
II Q 2013,PLN,36,-2597,-10659,-9684,37,-2560,170969,115877,"1008035,131","-0,010","0,115",N
III Q 2013,PLN,4865,-293,19322,11331,320,27,166875,136242,"1008035,131","0,011","0,135",N
II Q 2014,PLN,0,0,0,0,0,0,177980,159751,"1008100,000","0,000","0,158",N
III Q 2014,PLN,483,99,408,-36331,97,196,138399,123420,"1008100,000","-0,036","0,122",N
II Q 2012,PLN,84,4116,1250,2554,151,4267,247482,69116,"336000,000","0,008","0,206",N
III Q 2012,PLN,70,-406,-3803,-92,39,-367,211810,65289,"336000,000","0,000","0,194",N
IV Q 2012,PLN,45,-169,6539,6800,35,-134,88712,62611,"337750,000","0,020","0,185",N
I Q 2013,PLN,65,-240,-5242,-2487,38,-202,179954,127152,"1008035,131","-0,002","0,126",N
II Q 2011,PLN,90,-166,-1580,-1870,40,-126,111482,97816,"112000,000","-0,017","0,873",N
III Q 2011,PLN,101,-288,10675,8560,45,-243,0,0,"336000,000","0,025","0,000",N
IV Q 2011,PLN,71,-76,9576,9464,50,-26,88671,69304,"336000,000","0,028","0,206",N
I Q 2012,PLN,2681,-1180,-7224,-8971,50,-1130,92129,66563,"336000,000","-0,027","0,198",N
II Q 2010,PLN,86,-163,-2421,-1293,39,-124,16272,6151,"36010,807","-0,036","0,171",N
III Q 2010,PLN,68,-213,1446,1282,43,-170,0,0,"36010,807","0,036","0,000",N
IV Q 2010,PLN,130,-138,6272,3206,41,-97,28186,17535,"108031,807","0,030","0,162",N
I Q 2011,PLN,116,-185,-2510,-735,42,-143,63221,18953,"112000,000","-0,007","0,169",N
II Q 2009,PLN,123,-775,-1166,-1166,27,-748,5421,3985,"163704,035","-0,007","0,024",N
III Q 2009,PLN,50,-19,-23,-23,40,21,0,0,"32740,807","-0,001","0,000",N
IV Q 2009,PLN,450,-615,-222,-222,40,-575,4925,3740,"32740,807","-0,007","0,114",N
I Q 2010,PLN,625,-181,4488,1798,40,-141,18837,7381,"36010,807","0,050","0,205",N
I Q 2008,PLN,1515,-159,-169,-169,44,-115,7204,4693,"0,000",,,N
III Q 2008,PLN,1311,-395,-423,-423,44,-351,0,0,"0,000",,,N
IV Q 2008,PLN,845,-303,-402,-402,140,-163,7882,4992,"163704,035","-0,002","0,030",N
I Q 2009,PLN,535,-308,-285,-285,43,-265,7610,4707,"163704,035","-0,002","0,029",N
III Q 2005,PLN,29,-128,952,952,2,-126,1117,78,"148436,050","0,006","0,001",N
IV Q 2005,PLN,2807,-1489,-1546,-692,74,-1415,1824,-1715,"148436,050","-0,005","-0,012",N
III Q 2007,PLN,846,-58,-71,-71,49,-9,0,0,"149304,035","0,000","0,000",N
IV Q 2007,PLN,1157,-1121,-1189,-1189,43,-1078,7213,4772,"149304,035","-0,008","0,032",N
III Q 2004,PLN,650,-113,-298,-298,3,-110,12131,8752,"55483,220","-0,005","0,158",N
IV Q 2004,PLN,2287,-2230,-2237,-2026,66,-2164,2447,-928,"148436,050","-0,014","-0,006",N
I Q 2005,PLN,601,-989,-1018,-647,38,-951,2811,-1956,"148436,050","-0,004","-0,013",N
II Q 2005,PLN,13,-155,-183,-183,-33,-188,2373,-1125,"148436,050","-0,001","-0,008",N
III Q 2003,PLN,0,352,445,445,0,352,6168,6021,"55483,220","0,008","0,109",N
IV Q 2003,PLN,0,-590,786,785,1,-589,6944,6806,"55483,220","0,014","0,123",N
I Q 2004,PLN,178,110,-1924,-1966,2032,2142,12291,91,"55483,220","-0,035","0,002",N
II Q 2004,PLN,0,74,-584,-564,46,120,11129,-232,"55483,220","-0,010","-0,004",N
III Q 2002,PLN,1064,-685,226,315,-166,-851,11058,5266,"55483,220","0,006","0,095",N
IV Q 2002,PLN,823,-590,-1085,-998,178,-412,9341,2622,"55483,220","-0,018","0,047",N
I Q 2003,PLN,0,-123,-88,-73,42,-81,7420,6140,"55483,220","-0,001","0,111",N
II Q 2003,PLN,0,74,-584,-564,38,112,6794,5576,"55483,220","-0,010","0,100",N
III Q 2001,PLN,198,-929,-971,-781,281,-648,16451,11201,"55483,220","-0,014","0,202",N
IV Q 2001,PLN,470,-2054,-8224,-7498,2261,207,13390,3703,"55483,220","-0,135","0,067",N
I Q 2002,PLN,367,-994,-967,-742,206,-788,12475,4723,"55483,220","-0,013","0,085",N
II Q 2002,PLN,476,-1168,-1180,-901,213,-955,13122,6069,"55483,220","-0,016","0,109",N
II Q 2000,PLN,0,0,0,0,0,0,34437,9990,"0,000",,,N
IV Q 2000,PLN,0,0,0,0,0,0,40504,13494,"55483,220","0,000","0,243",N
I Q 2001,PLN,11804,70,-243,-52,508,578,40014,13257,"55483,220","-0,001","0,239",N
II Q 2001,PLN,13847,-2255,-2803,-1719,593,-1662,19729,11982,"55483,220","-0,031","0,216",N
IV Q 1999,PLN,0,0,0,0,0,0,30234,10319,"0,000",,,N
