kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,155331,45161,29762,15619,-1760,43401,1022673,315381,"68265,026","0,229","4,620",N
I Q 2023,PLN,185370,76421,67053,51724,5489,81910,1132171,367201,"68265,026","0,758","5,379",N
II Q 2023,PLN,184348,78477,71888,58357,11769,90246,1116399,292874,"68265,026","0,855","4,290",N
III Q 2023,PLN,181155,72017,63416,49590,8688,80705,1079840,370254,"68265,026","0,726","5,424",N
IV Q 2021,PLN,131265,51758,51713,43954,3199,54957,499705,249145,"68104,250","0,645","3,658",N
I Q 2022,PLN,142096,68706,70423,55146,3089,71795,585662,313059,"68104,250","0,810","4,597",N
II Q 2022,PLN,138195,67356,62356,49360,3143,70499,1150474,228187,"68104,250","0,725","3,351",N
III Q 2022,PLN,172927,71331,64704,50915,11340,82671,1030265,307431,"68265,026","0,746","4,503",N
IV Q 2020,PLN,84630,37787,38712,31681,2833,40620,306055,103191,"66973,370","0,473","1,541",N
I Q 2021,PLN,100888,43531,44834,35412,2872,46403,0,0,"66973,370","0,529","0,000",N
II Q 2021,PLN,116706,65330,153739,121896,3048,68378,0,0,"66973,370","1,820","0,000",N
III Q 2021,PLN,126254,66889,69261,53431,2918,69807,427815,204804,"66973,370","0,798","3,058",N
IV Q 2018,PLN,0,0,0,0,0,0,263277,-23499,"66973,370","0,000","-0,351",N
IV Q 2019,PLN,0,0,0,0,0,0,273576,55606,"66973,370","0,000","0,830",N
