kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
III Q 2017,PLN,68224,475,-1402,-751,2778,3253,250874,78024,"6367,000","-0,118","12,254",N
IV Q 2017,PLN,68678,-1250,-1520,-2076,2544,1294,248643,75985,"6367,000","-0,326","11,934",N
I Q 2018,PLN,68996,-2270,-3785,-3647,2553,283,251706,72313,"6367,000","-0,573","11,357",N
II Q 2018,PLN,57391,-2956,-5707,-5384,2434,-522,243938,66952,"6367,000","-0,846","10,515",N
III Q 2016,PLN,49563,-996,-1909,-1691,3188,2192,236872,84473,"6367,000","-0,266","13,267",N
IV Q 2016,PLN,48203,-1594,-3226,-2640,2936,1342,235268,82383,"6367,000","-0,415","12,939",N
I Q 2017,PLN,45331,-5408,-6222,-6235,3039,-2369,234506,76337,"6367,000","-0,979","11,989",N
II Q 2017,PLN,61270,290,1739,2377,3280,3570,247723,78771,"6367,000","0,373","12,372",N
III Q 2015,PLN,52192,1160,-268,-100,2487,3647,252697,84974,"6367,000","-0,016","13,346",N
IV Q 2015,PLN,55589,3124,1924,1231,2674,5798,248971,86155,"6367,000","0,193","13,531",N
I Q 2016,PLN,49096,465,-334,33,3536,4001,247368,86155,"6367,000","0,005","13,532",N
II Q 2016,PLN,56012,934,-728,-735,2961,3895,238442,85682,"6367,000","-0,115","13,457",N
III Q 2014,PLN,58443,4981,3585,3930,2460,7441,252849,82497,"6367,000","0,617","12,957",N
IV Q 2014,PLN,61945,4773,3776,6713,2329,7102,258489,87881,"6367,000","1,054","13,803",N
I Q 2015,PLN,42169,-54,-624,-1354,2398,2344,252017,86507,"6367,000","-0,213","13,587",N
II Q 2015,PLN,49340,642,-763,-1183,2496,3138,253878,85913,"6367,000","-0,186","13,493",N
III Q 2013,PLN,60588,4488,2587,2240,1943,6431,202272,55706,"6367,000","0,352","8,749",N
IV Q 2013,PLN,57156,4605,4092,3180,2070,6675,218913,59698,"6367,000","0,499","9,376",N
I Q 2014,PLN,50464,2115,1443,16348,2154,4269,260235,75964,"6367,000","2,568","11,931",N
II Q 2014,PLN,52742,2585,2127,2305,2327,4912,255779,78848,"6367,000","0,362","12,384",N
III Q 2012,PLN,59974,4339,2466,2286,1802,6141,176537,45595,"6367,000","0,359","7,161",N
IV Q 2012,PLN,61146,4657,3064,2622,1816,6473,180635,47878,"6367,000","0,412","7,520",N
I Q 2013,PLN,52951,3133,2044,1666,1823,4956,172280,49415,"6367,000","0,262","7,761",N
II Q 2013,PLN,58521,4744,3163,3292,1796,6540,189246,53091,"6367,000","0,517","8,338",N
III Q 2011,PLN,66784,6525,2831,2362,1664,8189,0,0,"5117,000","0,462","0,000",N
IV Q 2011,PLN,57211,5247,2995,3120,1699,6946,149185,17202,"5117,000","0,610","3,362",N
I Q 2012,PLN,53018,1547,160,414,1692,3239,148547,17743,"5117,000","0,081","3,467",N
II Q 2012,PLN,59454,5741,3108,2933,1771,7512,172080,43351,"6367,000","0,461","6,809",N
III Q 2010,PLN,53350,4599,1682,2153,1426,6025,0,0,"5117,000","0,421","0,000",N
IV Q 2010,PLN,50005,4303,2193,2691,1550,5853,145251,17726,"5117,000","0,526","3,464",N
I Q 2011,PLN,44488,-2981,-4912,-3600,1580,-1401,154776,14369,"5117,000","-0,704","2,808",N
II Q 2011,PLN,60232,299,-2419,-1823,1552,1851,154154,13020,"5117,000","-0,356","2,544",N
III Q 2009,PLN,50240,9480,9031,7229,1307,10787,0,0,"5117,000","1,413","0,000",N
IV Q 2009,PLN,44687,5366,5029,3888,1306,6672,179613,21651,"5117,000","0,760","4,231",N
I Q 2010,PLN,45172,4074,4015,3589,1391,5465,162712,6475,"5117,000","0,701","1,265",N
II Q 2010,PLN,52351,8401,6812,5008,1417,9818,171864,10975,"5117,000","0,979","2,145",N
IV Q 2007,PLN,0,0,0,0,0,0,110495,29917,"5117,000","0,000","5,847",N
IV Q 2008,PLN,0,0,0,0,0,0,110486,37215,"5117,000","0,000","7,273",N
II Q 2009,PLN,0,0,0,0,0,0,117635,9741,"5117,000","0,000","1,904",N
