kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,USD,71746,24512,26019,22394,2488,27000,311083,263753,"84246,500","0,266","3,131",N
II Q 2023,USD,69188,24390,26450,21710,2199,26589,326745,286035,"84246,500","0,258","3,395",N
III Q 2023,USD,71177,22539,22944,18658,2129,24668,194041,153747,"67125,000","0,278","2,290",N
IV Q 2023,USD,71333,22632,23352,19416,2242,24874,217428,177060,"67125,000","0,289","2,638",N
I Q 2022,USD,84001,10673,10743,8926,2630,13303,291241,236309,"84246,500","0,106","2,805",N
II Q 2022,USD,79426,11186,9972,8637,2584,13770,276429,227361,"84246,500","0,103","2,699",N
III Q 2022,USD,77521,18516,18585,15299,2892,21408,278496,237979,"84246,500","0,182","2,825",N
IV Q 2022,USD,77674,-1767,-246,-854,2974,1207,286317,240727,"84246,500","-0,010","2,857",N
I Q 2021,USD,95691,6503,-36959,-37539,1135,7638,238938,188588,"84246,500","-0,446","2,239",N
II Q 2021,USD,97543,11241,11650,9104,2009,13250,272370,200305,"84246,500","0,108","2,378",N
III Q 2021,USD,91998,11277,9766,7376,2345,13622,279388,211781,"84246,500","0,088","2,514",N
IV Q 2021,USD,88507,15556,14542,11378,2531,18087,299946,226099,"84246,500","0,135","2,684",N
IV Q 2019,USD,72101,8099,7259,4963,542,8641,53115,-19826,"72946,500","0,068","-0,272",N
I Q 2020,USD,76049,17489,14556,12802,566,18055,0,0,"72946,500","0,175","0,000",N
III Q 2020,USD,78536,6775,-325,-2233,643,7418,126400,9150,"72946,500","-0,031","0,125",N
IV Q 2020,USD,89192,66,-108173,-107359,1468,1534,141832,-96008,"72946,500","-1,472","-1,316",N
IV Q 2017,USD,0,0,0,0,0,0,50836,-20265,"72946,500","0,000","-0,278",N
IV Q 2018,USD,0,0,0,0,0,0,53615,-9473,"72946,500","0,000","-0,130",N
