kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,USD,55982,-4858,-5758,-5697,4210,-648,326499,150911,"35500,464","-0,160","4,251",N
I Q 2023,USD,43777,-2852,-4108,-4009,4198,1346,321964,146926,"35500,464","-0,113","4,139",N
II Q 2023,USD,51289,11501,10299,10450,4188,15689,331956,157626,"35500,464","0,294","4,440",N
III Q 2023,USD,27225,-7244,-8539,-8474,4034,-3210,337107,149171,"35500,464","-0,239","4,202",N
IV Q 2021,USD,93704,-1560,-4391,-3988,6402,4842,413899,191521,"33178,000","-0,120","5,773",N
I Q 2022,USD,39748,-5673,-10104,-10651,5548,-125,387425,168576,"33178,000","-0,321","5,081",N
II Q 2022,USD,35109,23676,21995,22039,5412,29088,411735,190238,"33178,000","0,664","5,734",N
III Q 2022,USD,29328,3535,-6702,-6648,4359,7894,337271,155565,"35500,464","-0,187","4,382",N
IV Q 2020,USD,60364,1234,-1329,-1681,4919,6153,280088,138237,"33178,000","-0,051","4,167",N
I Q 2021,USD,62583,3180,2449,1470,5677,8857,324785,141573,"33178,000","0,044","4,267",N
II Q 2021,USD,99898,76913,75965,76082,6099,83012,411685,197225,"33178,000","2,293","5,944",N
III Q 2021,USD,38692,7026,5801,5948,6360,13386,436979,206977,"33178,000","0,179","6,238",N
IV Q 2019,USD,63216,-7585,-11008,-11181,6996,-589,298408,132872,"33178,000","-0,337","4,005",N
I Q 2020,USD,52558,-5162,-14829,-14724,5329,167,268222,98312,"33178,000","-0,444","2,963",N
II Q 2020,USD,73523,42172,41820,41722,5210,47382,319097,143374,"33178,000","1,258","4,321",N
