kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,19280,2669,2427,1910,1737,4406,74225,30349,"32294,086","0,059","0,940",N
I Q 2023,PLN,13625,2286,1840,1577,1749,4035,71288,32394,"32294,086","0,049","1,003",N
II Q 2023,PLN,17198,3669,3215,2438,2028,5697,75041,28822,"33253,586","0,073","0,867",N
III Q 2023,PLN,15932,3448,2980,2084,1439,4887,74786,31143,"33894,086","0,061","0,919",N
IV Q 2021,PLN,14660,2958,3042,2318,1610,4568,59744,25695,"31099,086","0,075","0,826",N
I Q 2022,PLN,11445,1890,1833,1531,1664,3554,60717,27226,"31099,086","0,049","0,875",N
II Q 2022,PLN,14069,2666,2566,2080,1571,4237,65094,23928,"31099,086","0,067","0,769",N
III Q 2022,PLN,13725,2239,1831,1595,1573,3812,68333,26100,"32294,086","0,049","0,808",N
IV Q 2020,PLN,10837,995,617,456,1435,2430,45952,19963,"31424,086","0,015","0,635",N
I Q 2021,PLN,7172,110,-16,-45,1636,1746,44445,20538,"31424,086","-0,001","0,654",N
II Q 2021,PLN,9018,3831,3756,3651,1714,5545,56387,21081,"31099,086","0,117","0,678",N
III Q 2021,PLN,11010,1641,1544,1269,1713,3354,57489,22350,"31099,086","0,041","0,719",N
IV Q 2019,PLN,17802,4501,4329,3757,1788,6289,52532,19945,"32373,331","0,116","0,616",N
I Q 2020,PLN,10524,1378,1140,935,1403,2781,48387,19452,"31424,086","0,030","0,619",N
II Q 2020,PLN,6488,770,688,482,1522,2292,48542,19934,"31424,086","0,015","0,634",N
III Q 2020,PLN,8935,1464,1377,1228,1475,2939,44852,19508,"31424,086","0,039","0,621",N
IV Q 2018,PLN,16997,4297,4118,3259,1254,5551,48495,18254,"33499,899","0,097","0,545",N
I Q 2019,PLN,13615,2210,2084,1704,1273,3483,46462,19522,"31872,831","0,053","0,612",N
II Q 2019,PLN,14589,2786,2689,2148,1313,4099,47369,17308,"32373,331","0,066","0,535",N
III Q 2019,PLN,13484,2376,2222,1792,1729,4105,45368,18987,"32373,331","0,055","0,587",N
IV Q 2017,PLN,16476,4289,4270,3436,903,5192,37826,20731,"33499,899","0,103","0,619",N
I Q 2018,PLN,11431,2868,2793,2261,1042,3910,40297,23097,"33499,899","0,067","0,689",N
II Q 2018,PLN,12416,2705,2586,2053,1063,3768,31974,14856,"33499,899","0,061","0,443",N
III Q 2018,PLN,12403,2203,2116,1716,1120,3323,33854,15338,"33499,899","0,051","0,458",N
IV Q 2016,PLN,12711,3543,3166,2497,916,4459,33361,18883,"33499,899","0,075","0,564",N
I Q 2017,PLN,9374,1313,1285,1025,890,2203,33188,19908,"33499,899","0,031","0,594",N
II Q 2017,PLN,11397,2378,2377,1913,884,3262,30841,17801,"33499,899","0,057","0,531",N
III Q 2017,PLN,10832,1910,1842,1483,890,2800,30824,17842,"33499,899","0,044","0,533",N
IV Q 2015,PLN,14816,3218,3041,2319,805,4023,30288,16587,"33665,963","0,069","0,493",N
I Q 2016,PLN,9432,1544,1545,1233,785,2329,28526,16128,"33665,963","0,037","0,479",N
II Q 2016,PLN,11722,1025,1062,890,813,1838,35292,15284,"33499,899","0,027","0,456",N
