kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,2982100,651600,2454200,1208800,908700,73100,227656600,11239200,"130100,000","86,389","6,985",N
II Q 2023,PLN,3134000,676300,2630800,1424300,1099400,72900,227735800,12962600,"130100,000","99,636","8,450",N
III Q 2023,PLN,3176900,695300,2660800,1492200,1162000,73200,232840200,15182400,"130100,000","116,698","8,932",N
IV Q 2023,PLN,3116000,699100,2919900,1594700,1270800,108200,245361400,16736000,"130100,000","128,640","9,768",N
I Q 2022,PLN,1851700,656200,2297400,1069300,792800,68500,210069000,11155800,"130100,000","85,748","6,094",N
II Q 2022,PLN,2379500,650100,2369700,830000,573000,68200,212395000,7716900,"130100,000","59,315","4,404",N
III Q 2022,PLN,1018200,670200,718300,-470000,-317300,71100,213012200,7422900,"130100,000","57,055","-2,439",N
IV Q 2022,PLN,2862500,660200,2317800,973800,665900,71500,217266100,9344300,"130100,000","71,824","5,118",N
I Q 2021,PLN,1267600,531700,1593300,526200,385600,71400,194821300,17560300,"130100,000","134,975","2,964",N
II Q 2021,PLN,1297100,560200,1651100,817500,615300,71500,197282300,17857600,"130100,000","137,261","4,729",N
III Q 2021,PLN,1352300,602500,1742400,839100,638400,70900,200543300,17440800,"130100,000","134,057","4,907",N
IV Q 2021,PLN,1515400,630600,1880700,832500,669000,72500,201654200,13531400,"130100,000","104,008","5,142",N
I Q 2020,PLN,1386600,460600,1557900,377000,267300,71500,171241600,17341000,"130100,000","133,290","2,055",N
II Q 2020,PLN,1304000,448600,1511200,440100,316200,72100,180639300,18235500,"130100,000","140,165","2,430",N
III Q 2020,PLN,1277300,506400,1545600,618100,440200,72200,184859500,18595800,"130100,000","142,935","3,384",N
IV Q 2020,PLN,1279000,547900,1608900,476500,313900,78400,186595700,18618300,"130100,000","143,108","2,413",N
I Q 2019,PLN,1263100,399600,1384000,438000,324500,71300,145717400,13413300,"130100,000","103,100","2,494",N
II Q 2019,PLN,1314100,443800,1447500,625800,469100,67800,150909100,14219800,"130100,000","109,299","3,606",N
III Q 2019,PLN,1367500,432800,1483900,576000,414800,67300,156013800,15262700,"130100,000","117,315","3,188",N
IV Q 2019,PLN,1358400,450700,1480500,618000,450300,70400,158610700,15223300,"130100,000","117,012","3,461",N
I Q 2018,PLN,1098100,385000,1254600,446300,322200,43700,127310300,12058900,"130100,000","92,689","2,477",N
