kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,4354219,276962,244688,202394,45425,322387,8005541,3815725,"14168,100","14,285","269,318",N
I Q 2023,PLN,4188675,293603,253165,201890,44456,338059,9002486,4015149,"14168,100","14,250","283,394",N
II Q 2023,PLN,4556177,229529,196278,154937,44463,273992,9239216,4123789,"14168,100","10,936","291,062",N
III Q 2023,PLN,4556840,325736,275662,224597,45060,370796,9632075,4379728,"14168,100","15,852","309,126",N
IV Q 2021,PLN,3489665,293885,285643,225719,34800,328685,6282666,3089684,"14168,100","15,931","218,073",N
I Q 2022,PLN,3243309,160481,145747,115762,35699,196180,7371635,3212498,"14168,100","8,171","226,742",N
II Q 2022,PLN,3751250,283880,261133,209139,35309,319189,7916060,3402458,"14168,100","14,761","240,149",N
III Q 2022,PLN,3936323,320909,274232,218403,38543,359452,8630351,3640818,"14168,100","15,415","256,973",N
IV Q 2020,PLN,2596148,178931,161461,110923,33730,212661,4932810,2395496,"14168,100","7,829","169,077",N
I Q 2021,PLN,2556518,153112,145481,116107,32214,185326,5626160,2521394,"14168,100","8,195","177,963",N
II Q 2021,PLN,3025548,206356,202084,161994,32248,238604,5833929,2646663,"14168,100","11,434","186,804",N
III Q 2021,PLN,3170316,255360,244034,195760,30749,286109,6578577,2866100,"14168,100","13,817","202,292",N
IV Q 2019,PLN,2273435,68728,61864,45836,12149,80877,4423893,2046687,"14168,100","3,235","144,457",N
I Q 2020,PLN,1955068,50560,32431,26361,33230,83790,4896862,2082247,"14168,100","1,861","146,967",N
II Q 2020,PLN,2116171,138942,132094,107731,31728,170670,4724801,2191320,"14168,100","7,604","154,666",N
III Q 2020,PLN,2491779,138643,118488,88305,32462,171105,4991189,2279396,"14168,100","6,233","160,882",N
IV Q 2018,PLN,2120931,64141,52299,42696,21041,85182,3943261,1829173,"14168,100","3,014","129,105",N
I Q 2019,PLN,1998064,75858,61425,50479,38711,114569,4508048,1876175,"14168,100","3,563","132,422",N
II Q 2019,PLN,2243537,91917,77950,64981,40044,131961,4533382,1929315,"14168,100","4,586","136,173",N
III Q 2019,PLN,2241225,95440,78290,65800,39296,134736,4686749,2008150,"14168,100","4,644","141,737",N
IV Q 2017,PLN,1890981,65518,60119,48077,16360,81878,3402978,1616028,"14168,100","3,393","114,061",N
I Q 2018,PLN,1650014,63564,52253,43289,17566,81130,3760554,1657402,"14168,100","3,055","116,981",N
II Q 2018,PLN,2136652,104571,88177,73259,18386,122957,3937888,1729828,"14168,100","5,171","122,093",N
III Q 2018,PLN,2035656,81106,76055,63841,19770,100876,4139260,1785933,"14168,100","4,506","126,053",N
IV Q 2016,PLN,1619765,81625,67863,48607,15727,97352,3040077,1424008,"14168,100","3,431","100,508",N
I Q 2017,PLN,1546092,66763,63642,53027,15606,82369,3385283,1474442,"14168,100","3,743","104,068",N
II Q 2017,PLN,1672895,79156,68651,55312,16302,95458,3515790,1516635,"14168,100","3,904","107,046",N
III Q 2017,PLN,1768015,83027,70044,60012,17252,100279,3766175,1578397,"14168,100","4,236","111,405",N
IV Q 2015,PLN,1356168,15653,9328,9107,10827,26480,2506364,1205878,"14168,100","0,643","85,112",N
I Q 2016,PLN,1303498,67719,60822,50920,12484,80203,2800831,1256335,"14168,100","3,594","88,673",N
II Q 2016,PLN,1558135,80671,75056,63020,12801,93472,2868275,1312922,"14168,100","4,448","92,667",N
III Q 2016,PLN,1492061,85653,81039,67517,13166,98819,3060802,1375323,"14168,100","4,765","97,072",N
IV Q 2014,PLN,1107614,48206,40401,35805,11055,59261,2056682,1069048,"14168,100","2,527","75,455",N
I Q 2015,PLN,982555,44468,41886,35811,12361,56829,2263200,1099070,"14168,100","2,528","77,574",N
II Q 2015,PLN,1197491,70210,61399,52385,12940,83150,2476229,1142742,"14168,100","3,697","80,656",N
III Q 2015,PLN,1260225,74243,69176,60069,13648,87891,2586823,1204290,"14168,100","4,240","85,000",N
IV Q 2013,PLN,940077,41981,40501,36258,10195,52176,1696612,903766,"14168,100","2,559","63,789",N
I Q 2014,PLN,873955,44058,39312,33473,10881,54939,1896292,936103,"14168,100","2,363","66,071",N
II Q 2014,PLN,980534,66880,61129,52228,9600,76480,1949741,974892,"14168,100","3,686","68,809",N
III Q 2014,PLN,997127,67956,65150,56191,11026,78982,2052217,1031575,"14168,100","3,966","72,810",N
IV Q 2012,PLN,785759,38246,35386,28054,10547,48793,1548391,757247,"14168,100","1,980","53,447",N
I Q 2013,PLN,684016,32796,25161,21513,8571,41367,1655855,779861,"14168,100","1,518","55,043",N
II Q 2013,PLN,943821,53704,47002,40040,11267,64971,1752818,821062,"14168,100","2,826","57,951",N
III Q 2013,PLN,944733,64801,58441,50026,9064,73865,1856053,869336,"14168,100","3,531","61,359",N
IV Q 2011,PLN,729109,37994,29686,24284,9214,47208,1547470,668804,"14168,100","1,714","47,205",N
I Q 2012,PLN,669949,37741,29783,24705,10692,48433,1613203,695991,"14168,100","1,744","49,124",N
II Q 2012,PLN,751909,37278,28984,24126,7686,44964,1595994,712092,"14168,100","1,703","50,260",N
III Q 2012,PLN,795489,36666,25491,23290,6994,43660,1621488,736428,"14168,100","1,644","51,978",N
IV Q 2010,PLN,650483,30208,19343,14526,8692,38900,1322301,558535,"14168,100","1,025","39,422",N
I Q 2011,PLN,590871,36820,29527,22465,10335,47155,1501642,580884,"14168,100","1,586","40,999",N
II Q 2011,PLN,716298,37019,29614,27179,6285,43304,1549994,609613,"14168,100","1,918","43,027",N
III Q 2011,PLN,728236,49165,41438,34301,8554,57719,0,0,"14168,100","2,421","0,000",N
IV Q 2009,PLN,543220,17883,9565,7535,7134,25017,1272993,498891,"13736,100","0,549","36,320",N
I Q 2010,PLN,493501,17743,9282,7643,8977,26720,1334925,503565,"13736,100","0,556","36,660",N
II Q 2010,PLN,611598,33739,24208,21621,8920,42659,1343481,523592,"13736,100","1,574","38,118",N
III Q 2010,PLN,657426,33565,24661,19541,8674,42239,0,0,"13736,100","1,423","0,000",N
IV Q 2008,PLN,444993,12182,-6634,-4965,8509,20691,1227722,418125,"13736,100","-0,361","30,440",N
I Q 2009,PLN,437363,45670,22379,17480,7197,52867,1259758,438031,"13736,100","1,273","31,889",N
II Q 2009,PLN,545147,24826,30049,24698,7882,32708,1282865,460227,"13736,100","1,798","33,505",N
III Q 2009,PLN,539904,31493,22315,18039,8212,39705,0,0,"13736,100","1,313","0,000",N
IV Q 2007,PLN,371976,24573,16330,12896,3826,28399,815710,166912,"11821,100","1,091","14,120",N
I Q 2008,PLN,394030,34934,27887,22671,5140,40074,1212084,415262,"13696,100","1,655","30,320",N
II Q 2008,PLN,453168,16612,9009,6885,7362,23974,1212312,425259,"13696,100","0,503","31,050",N
III Q 2008,PLN,476840,14028,4477,4949,6698,20726,0,0,"13696,100","0,361","0,000",N
