kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,196890,8218,5031,3901,2310,10528,693232,243809,"32744,000","0,119","7,446",N
I Q 2023,PLN,303710,9509,5143,4115,2648,12157,646969,247924,"32744,000","0,126","7,572",N
II Q 2023,PLN,145888,10301,3348,2874,2651,12952,523601,246869,"32744,000","0,088","7,539",N
III Q 2023,PLN,180590,4621,3885,3103,2575,7196,512602,249972,"32744,000","0,095","7,634",N
IV Q 2021,PLN,222446,2831,4386,3171,2165,4996,720184,225206,"32744,000","0,097","6,878",N
I Q 2022,PLN,342798,6787,5305,4163,2216,9003,704843,229369,"32744,000","0,127","7,005",N
II Q 2022,PLN,321649,5587,7394,5969,2219,7806,693072,231409,"32744,000","0,182","7,067",N
III Q 2022,PLN,310295,11879,10518,8451,2436,14315,650189,239860,"32744,000","0,258","7,325",N
IV Q 2020,PLN,216092,2954,4289,3416,2177,5131,540329,210541,"32744,000","0,104","6,430",N
I Q 2021,PLN,255724,7762,6699,5413,2222,9984,501586,215954,"32744,000","0,165","6,595",N
II Q 2021,PLN,158450,3390,6968,5618,2164,5554,488258,217643,"32744,000","0,172","6,647",N
III Q 2021,PLN,159269,4776,5447,4349,2281,7057,537625,221992,"32744,000","0,133","6,780",N
IV Q 2019,PLN,214543,1434,3562,3023,1952,3386,537853,198996,"32744,000","0,092","6,077",N
I Q 2020,PLN,205719,8788,4992,3913,2038,10826,625618,202909,"32744,000","0,120","6,197",N
II Q 2020,PLN,212526,4737,5604,4581,2326,7063,521516,203888,"32744,000","0,140","6,227",N
III Q 2020,PLN,225714,4626,4253,3267,2135,6761,556626,207155,"32744,000","0,100","6,327",N
IV Q 2018,PLN,229824,1635,4140,3345,1840,3475,564281,190271,"32744,000","0,102","5,811",N
I Q 2019,PLN,218702,5119,5196,4158,1860,6979,511764,194441,"32744,000","0,127","5,938",N
II Q 2019,PLN,171152,4588,4048,3261,1891,6479,468792,193433,"32744,000","0,100","5,907",N
III Q 2019,PLN,165934,4935,3155,2589,1962,6897,578339,196022,"32744,000","0,079","5,987",N
IV Q 2017,PLN,143119,8154,3522,2837,1307,9461,456261,177350,"32744,000","0,087","5,416",N
I Q 2018,PLN,210451,5548,4539,3587,1732,7280,462949,180934,"32744,000","0,110","5,526",N
II Q 2018,PLN,186153,4588,4259,3419,1725,6313,443058,181406,"32744,000","0,104","5,540",N
III Q 2018,PLN,239909,6204,6857,5535,1802,8006,568281,186941,"32744,000","0,169","5,709",N
I Q 2017,PLN,171948,2293,1908,1568,1300,3593,347898,172095,"32744,000","0,048","5,256",N
II Q 2017,PLN,155481,3984,2644,2055,1289,5273,360697,171858,"32744,000","0,063","5,249",N
III Q 2017,PLN,93448,4064,3338,2676,1265,5329,415157,174534,"32744,000","0,082","5,330",N
