kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,27829,-78763,-78776,-23801,1410,-77353,469094,336324,"68582,150","-0,347","4,904",N
I Q 2023,PLN,21707,324,3533,1997,1268,1592,474467,338939,"68582,150","0,029","4,942",N
II Q 2023,PLN,24897,2045,2796,-271,1333,3378,485286,342434,"68582,150","-0,004","4,993",N
III Q 2023,PLN,328,-84,7316,20124,0,-84,370804,353151,"68582,150","0,293","5,149",N
IV Q 2021,PLN,29367,-115345,-114163,-54696,1056,-114289,487122,326241,"68582,150","-0,798","4,757",N
I Q 2022,PLN,20858,164,2718,3595,1064,1228,536759,343380,"68582,150","0,052","5,007",N
II Q 2022,PLN,25410,2416,5145,2426,1042,3458,539410,348483,"68582,150","0,035","5,081",N
III Q 2022,PLN,23797,808,5717,3868,1037,1845,538498,352359,"68582,150","0,056","5,138",N
IV Q 2020,PLN,26754,132233,133283,79512,858,133091,545854,380389,"68582,150","1,159","5,546",N
I Q 2021,PLN,21818,2186,3782,2427,854,3040,549927,382816,"68582,150","0,035","5,582",N
II Q 2021,PLN,25091,4652,6006,3790,926,5578,555057,384585,"68582,150","0,055","5,608",N
III Q 2021,PLN,24329,3177,4808,3225,956,4133,561980,387810,"68582,150","0,047","5,655",N
IV Q 2019,PLN,29613,3684,5555,3731,1401,5085,401845,292973,"68582,150","0,054","4,272",N
I Q 2020,PLN,23544,3140,6349,4508,905,4045,410919,298966,"68582,150","0,066","4,359",N
II Q 2020,PLN,22750,5469,-105,-630,840,6309,408099,298619,"68582,150","-0,009","4,354",N
III Q 2020,PLN,23200,3340,4199,2638,916,4256,410470,301195,"68582,150","0,038","4,392",N
IV Q 2018,PLN,27397,1567,-2702,-3514,898,2465,394699,270268,"68582,150","-0,051","3,941",N
I Q 2019,PLN,24589,2539,3409,2852,1210,3749,385077,273115,"68582,150","0,042","3,982",N
II Q 2019,PLN,27962,4365,6502,7479,1200,5565,396329,283203,"68582,150","0,109","4,129",N
III Q 2019,PLN,25893,3565,5498,3926,1055,4620,396791,288110,"68582,150","0,057","4,201",N
IV Q 2017,PLN,27799,-2066,-135627,-88503,882,-1184,403737,274166,"68582,150","-1,290","3,998",N
I Q 2018,PLN,22948,-479,467,72,1300,821,401309,274021,"68582,150","0,001","3,996",N
II Q 2018,PLN,27301,2246,3411,2959,1275,3521,397804,273615,"68582,150","0,043","3,990",N
III Q 2018,PLN,24279,1526,2658,1581,1281,2807,387736,272466,"68582,150","0,023","3,973",N
IV Q 2016,PLN,33552,-1144,2406,4883,515,-629,501041,366489,"68582,150","0,071","5,344",N
I Q 2017,PLN,27840,1202,667,-641,427,1629,512096,365863,"68582,150","-0,009","5,335",N
II Q 2017,PLN,26029,-1470,-460,-306,466,-1004,495858,364911,"68582,150","-0,004","5,321",N
III Q 2017,PLN,23532,-771,930,456,532,-239,541036,363434,"68582,150","0,007","5,299",N
IV Q 2015,PLN,34655,1281,715,1976,891,2172,572827,326863,"62571,826","0,032","5,224",N
I Q 2016,PLN,26826,-108,-319,-844,834,726,574512,326830,"62571,826","-0,013","5,223",N
II Q 2016,PLN,27192,471,-420,-627,500,971,524670,362909,"68582,151","-0,009","5,292",N
III Q 2016,PLN,24582,-181,-2081,-2870,532,351,500412,361619,"68582,150","-0,042","5,273",N
IV Q 2014,PLN,3059,-3925,704,-2155,1,-3924,390712,257773,"21662,500","-0,099","11,900",N
I Q 2015,PLN,5661,1023,2590,3583,45,1068,390050,260983,"21662,500","0,165","12,048",N
II Q 2015,PLN,11428,-2652,30555,31286,187,-2465,653418,359095,"62571,826","0,500","5,739",N
