kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,USD,825071,151402,97636,68964,23540,174942,4040547,1875370,"84031,230","0,821","22,318",N
II Q 2023,USD,740266,-89717,-116188,-137888,22550,-67167,3885169,1741857,"84031,230","-1,641","20,729",N
III Q 2023,USD,546263,-1382,-31468,-30729,20016,18634,3813709,1759794,"300031,230","-0,102","5,865",N
IV Q 2023,USD,1043597,175308,144436,133025,29529,204837,3293411,1870825,"300031,230","0,443","6,235",N
I Q 2022,USD,1698637,-312,-87791,-103344,29348,29036,4756417,1981261,"84031,230","-1,230","23,578",N
II Q 2022,USD,416168,-403941,-389034,-361548,24909,-379032,4185612,1683188,"84031,230","-4,303","20,031",N
III Q 2022,USD,654557,142467,166579,161535,25909,168376,3901663,1602791,"84031,230","1,922","19,074",N
IV Q 2022,USD,1235227,244359,219797,206581,32787,277146,4029217,1800852,"84031,230","2,458","21,431",N
I Q 2021,USD,1729191,83929,54514,15831,27490,111419,3941552,1730261,"84031,230","0,188","20,591",N
II Q 2021,USD,1598603,102488,62459,164949,33301,135789,3996579,1946150,"84031,230","1,963","23,160",N
III Q 2021,USD,1339507,247813,212773,210784,33439,281252,4353863,2137107,"84031,230","2,508","25,432",N
IV Q 2021,USD,1877233,250199,220571,213006,41980,292179,4952584,2226930,"84031,230","2,535","26,501",N
I Q 2020,USD,1041450,78993,-34539,-24875,24924,103917,3346975,1418979,"84031,230","-0,296","16,886",N
II Q 2020,USD,1182923,96377,65935,42316,26894,123271,3164703,1492667,"84031,230","0,504","17,763",N
III Q 2020,USD,940261,265977,236171,204052,23978,289955,3500188,1635885,"84031,230","2,428","19,468",N
IV Q 2020,USD,1326745,236899,184830,127876,31717,268616,3827081,1713206,"84031,230","1,522","20,388",N
I Q 2019,USD,802522,35987,21207,25891,19329,55316,2561480,1296290,"81941,230","0,316","15,820",N
II Q 2019,USD,902546,39842,-1425,-426,20497,60339,2463600,1350946,"81941,230","-0,005","16,487",N
III Q 2019,USD,849996,82490,61685,59443,24049,106539,3096952,1482883,"81941,230","0,725","18,097",N
IV Q 2019,USD,1032411,79416,51744,40981,29875,109291,3631085,1501456,"84031,230","0,488","17,868",N
I Q 2018,USD,541436,52635,-20666,-39078,20483,73118,2339499,1157244,"81941,230","-0,477","14,123",N
II Q 2018,USD,789402,6267,-11889,1405,20096,26363,2210514,1170733,"81941,230","0,017","14,287",N
III Q 2018,USD,1140304,82091,75277,75493,18440,100531,2345469,1176882,"81941,230","0,921","14,363",N
IV Q 2018,USD,1114859,111287,95347,88506,18037,129324,2555648,1253687,"81941,230","1,080","15,300",N
I Q 2017,USD,615009,67308,40893,32932,13403,80711,1917498,1129353,"80701,230","0,408","13,994",N
II Q 2017,USD,510578,23106,-11458,-16191,13127,36233,2009083,1153028,"81941,230","-0,198","14,071",N
III Q 2017,USD,536094,24783,17662,22818,21188,45971,1991188,1151460,"81941,230","0,278","14,052",N
IV Q 2017,USD,536071,55880,64947,66998,21208,77088,2210414,1134935,"81941,230","0,818","13,851",N
I Q 2016,USD,607179,85205,105339,92257,14388,99593,1589730,952731,"79683,410","1,158","11,956",N
II Q 2016,USD,382792,30737,-12762,-7468,14828,45565,1509355,995329,"79683,410","-0,094","12,491",N
III Q 2016,USD,384063,58543,67941,64138,13859,72402,1652447,1028510,"79683,410","0,805","12,907",N
IV Q 2016,USD,659281,116082,100063,95364,13751,129833,1920548,1088766,"80701,230","1,182","13,491",N
I Q 2015,USD,606993,99514,-3604,7194,15650,115164,1565622,859145,"79683,410","0,090","10,782",N
II Q 2015,USD,490820,51881,52949,21465,13955,65836,1465618,889554,"79683,410","0,269","11,164",N
III Q 2015,USD,377722,40902,30971,23902,15547,56449,1488269,894369,"79683,410","0,300","11,224",N
IV Q 2015,USD,620827,130346,124241,116459,15239,145585,1647976,921004,"79683,410","1,462","11,558",N
I Q 2014,USD,675010,54459,-37022,-25065,20377,74836,2265820,1081641,"79683,410","-0,315","13,574",N
II Q 2014,USD,579848,65666,-11275,-30718,21960,87626,1919022,1029661,"79683,410","-0,386","12,922",N
III Q 2014,USD,579162,60369,25134,23422,20091,80460,1866534,1022534,"79683,410","0,294","12,832",N
IV Q 2014,USD,652532,123793,45850,54849,18591,142384,1934026,981898,"79683,410","0,688","12,322",N
I Q 2013,USD,597491,25827,10,-3440,19248,45075,2557786,1261819,"79683,410","-0,043","15,835",N
II Q 2013,USD,730808,56029,48252,45294,31778,87807,2361632,1335485,"79683,410","0,568","16,760",N
III Q 2013,USD,412903,-22774,-34011,-33426,25749,2975,2359696,1301462,"79683,410","-0,419","16,333",N
IV Q 2013,USD,725490,31366,-8115,-9097,26222,57588,2573830,1292994,"79683,410","-0,114","16,227",N
I Q 2012,USD,598927,44776,33617,37193,17761,62537,2256102,1122572,"79683,410","0,467","14,088",N
II Q 2012,USD,584417,94620,68577,74720,18816,113436,2116393,1179683,"79683,410","0,938","14,805",N
III Q 2012,USD,515867,55591,40774,36789,19257,74848,2540408,1221480,"79683,410","0,462","15,329",N
IV Q 2012,USD,952586,63444,32013,32948,19493,82937,2693343,1263925,"79683,410","0,413","15,862",N
I Q 2011,USD,515416,81814,66182,77862,8326,90140,1403085,772767,"73674,410","1,057","10,489",N
II Q 2011,USD,471269,70199,56749,62171,7962,78161,1572609,971574,"73674,410","0,844","13,187",N
III Q 2011,USD,391506,30961,26729,32891,14170,45131,2065247,1010356,"79683,410","0,413","12,680",N
IV Q 2011,USD,594396,85416,65454,69001,17372,102788,2208829,1081441,"79683,410","0,866","13,572",N
I Q 2010,USD,269449,45394,39981,40007,4852,50246,849581,490792,"68741,000","0,582","7,140",N
II Q 2010,USD,238498,40179,29426,29550,7787,47966,1124773,601862,"73191,000","0,404","8,223",N
III Q 2010,USD,345357,59731,32638,34211,7745,67476,1310525,636694,"73191,000","0,467","8,699",N
IV Q 2010,USD,567076,65524,52849,52028,8328,73852,1521922,687123,"73191,000","0,711","9,388",N
I Q 2009,USD,203391,48762,46249,47216,5302,54064,639902,312360,"68741,000","0,687","4,544",N
II Q 2009,USD,181217,24367,22155,21700,5221,29588,699706,355834,"68741,000","0,316","5,176",N
III Q 2009,USD,240255,30674,38808,39152,5090,35764,796587,400224,"68741,000","0,570","5,822",N
IV Q 2009,USD,272269,51237,43378,43296,4811,56048,907756,448374,"68741,000","0,630","6,523",N
I Q 2008,USD,243158,29256,22119,19529,3188,32444,589169,257521,"63341,000","0,308","4,066",N
II Q 2008,USD,169562,42760,45154,43061,3667,46427,755608,396807,"68741,000","0,626","5,772",N
III Q 2008,USD,371303,45313,22403,22003,6855,52168,949399,406220,"68741,000","0,320","5,909",N
IV Q 2008,USD,291202,48206,36056,44629,6030,54236,600800,260431,"68741,000","0,649","3,789",N
I Q 2007,USD,99271,13769,6476,7613,2387,16156,305523,55276,"63341,000","0,120","0,873",N
II Q 2007,USD,121854,14665,7910,8721,2397,17062,275080,64610,"63341,000","0,138","1,020",N
III Q 2007,USD,94014,15704,10107,8422,2424,18128,381404,73032,"63341,000","0,133","1,153",N
IV Q 2007,USD,156406,23857,13841,12215,2362,26219,562632,238055,"63341,000","0,193","3,758",N
II Q 2004,USD,0,0,0,0,0,0,79233,29192,"63341,000","0,000","0,461",N
