kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,630599,81635,91982,72988,51235,132870,3530838,1882736,"14900,000","4,899","126,358",N
I Q 2023,PLN,1112491,259530,266100,213589,54015,313545,4173599,2096325,"14900,000","14,335","140,693",N
II Q 2023,PLN,609117,12523,18277,13867,53106,65629,3695281,2110241,"14900,000","0,931","141,627",N
III Q 2023,PLN,446002,-14039,-6877,-6523,51215,37176,3688345,2103718,"14900,000","-0,438","141,189",N
IV Q 2021,PLN,468323,-22130,-14673,-12242,58823,36693,3206857,1739633,"14900,000","-0,822","116,754",N
I Q 2022,PLN,589202,92022,94139,74989,48191,140213,3092886,1815118,"14900,000","5,033","121,820",N
II Q 2022,PLN,320440,-4458,2984,1794,52681,48223,2979410,1812996,"14900,000","0,120","121,678",N
III Q 2022,PLN,271960,-8430,434,-237,50886,42456,3091235,1814125,"14900,000","-0,016","121,753",N
IV Q 2020,PLN,339767,19300,17696,13721,40767,60067,2854831,1679542,"14900,000","0,921","112,721",N
I Q 2021,PLN,470275,87713,87160,69635,43346,131059,3109464,1752468,"14900,000","4,673","117,615",N
II Q 2021,PLN,275306,16734,16658,12641,41575,58309,2720679,1763086,"14900,000","0,848","118,328",N
III Q 2021,PLN,220602,-15513,-16371,-13780,42190,26677,2711332,1751744,"14900,000","-0,925","117,567",N
IV Q 2019,PLN,353774,57794,58103,46791,38010,95804,2586605,1556868,"14900,000","3,140","104,488",N
I Q 2020,PLN,398430,164241,165345,132320,38593,202834,2838119,1689022,"14900,000","8,881","113,357",N
II Q 2020,PLN,245117,1690,3124,1678,41558,43248,2642358,1690372,"14900,000","0,113","113,448",N
III Q 2020,PLN,200127,-28140,-28397,-23784,40823,12683,2629867,1666588,"14900,000","-1,596","111,852",N
IV Q 2018,PLN,306819,23366,23696,18318,37311,60677,2396444,1474441,"14900,000","1,229","98,956",N
I Q 2019,PLN,372205,88554,88484,71102,38103,126657,2603820,1545543,"14900,000","4,772","103,728",N
II Q 2019,PLN,212968,-24282,-23156,-19530,31448,7166,2496011,1525756,"14900,000","-1,311","102,400",N
III Q 2019,PLN,168544,-18052,-16981,-15446,35877,17825,2493053,1510311,"14900,000","-1,037","101,363",N
IV Q 2017,PLN,297455,69151,69232,54957,36990,106141,2317112,1492425,"14900,000","3,688","100,163",N
I Q 2018,PLN,377186,135351,134993,108131,35807,171158,2412158,1600556,"14900,000","7,257","107,420",N
II Q 2018,PLN,142809,-115755,-113473,-93039,35286,-80469,2343836,1482626,"14900,000","-6,244","99,505",N
III Q 2018,PLN,139034,-30620,-30106,-25833,35455,4835,2325571,1456793,"14900,000","-1,734","97,771",N
IV Q 2016,PLN,325728,79454,83958,67998,38587,118041,2246127,1469180,"14900,000","4,564","98,603",N
I Q 2017,PLN,373997,125519,124570,99955,37764,163283,2371450,1569135,"14900,000","6,708","105,311",N
II Q 2017,PLN,189478,-17053,-15833,-12577,31711,14658,2303556,1458516,"14900,000","-0,844","97,887",N
III Q 2017,PLN,153274,-12503,-13425,-11110,36485,23982,2206136,1447407,"14900,000","-0,746","97,141",N
IV Q 2015,PLN,308041,66230,63227,49907,33665,99895,2256509,1366905,"14900,000","3,349","91,739",N
I Q 2016,PLN,369781,126948,123928,100073,34442,161390,2324396,1466978,"14900,000","6,716","98,455",N
II Q 2016,PLN,207938,16953,14163,11208,35520,52473,2226650,1385061,"14900,000","0,752","92,957",N
III Q 2016,PLN,128241,-32788,-35808,-29659,37903,5115,2149047,1355402,"14900,000","-1,991","90,967",N
