kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,459454,-1170,-4762,-6254,6440,5270,482890,258024,"9793,974","-0,639","26,345",N
II Q 2023,PLN,375005,-2274,-3917,-3027,4782,2508,446522,254856,"9793,974","-0,309","26,022",N
III Q 2023,PLN,388657,-5844,-5698,-4318,4778,-1066,468260,250565,"9793,974","-0,441","25,584",N
IV Q 2023,PLN,457216,8001,4990,3157,4768,12769,480800,253576,"9793,974","0,322","25,891",N
I Q 2022,PLN,435674,6210,5437,4146,4444,10654,461956,105654,"9793,974","0,423","10,788",N
II Q 2022,PLN,393208,2140,2463,1877,4505,6645,460167,108427,"9793,974","0,192","11,071",N
III Q 2022,PLN,486794,5929,17303,15312,4472,10401,499899,123838,"9793,974","1,563","12,644",N
IV Q 2022,PLN,517214,113906,141187,139759,4938,118844,502645,263609,"9793,974","14,270","26,915",N
I Q 2021,PLN,391557,7826,657,1153,4668,12494,446913,91019,"9793,974","0,118","9,293",N
II Q 2021,PLN,394252,6103,3625,2064,4527,10630,447654,93067,"9793,974","0,211","9,502",N
III Q 2021,PLN,404276,4441,-337,-801,4352,8793,452119,92288,"9793,974","-0,082","9,423",N
IV Q 2021,PLN,538738,13200,11875,9206,7042,20242,454505,101543,"9793,974","0,940","10,368",N
I Q 2020,PLN,321165,-46199,-77394,-69751,13763,-32436,444031,80580,"9793,974","-7,122","8,228",N
II Q 2020,PLN,291797,3906,3169,1529,4460,8366,429376,82169,"9793,974","0,156","8,390",N
III Q 2020,PLN,318546,1522,1045,1596,5304,6826,454455,83765,"9793,974","0,163","8,553",N
IV Q 2020,PLN,477288,9036,7161,4568,6820,15856,446091,88344,"9793,974","0,466","9,020",N
I Q 2019,PLN,437569,-599,-1684,-763,2856,2257,532160,164355,"9793,974","-0,078","16,781",N
II Q 2019,PLN,382211,-6509,-7034,-6258,6192,-317,530642,158099,"9793,974","-0,639","16,142",N
III Q 2019,PLN,437460,-3327,-9784,-8283,6065,2738,522824,149927,"9793,974","-0,846","15,308",N
IV Q 2019,PLN,508334,5652,2595,753,6390,12042,512014,150748,"9793,974","0,077","15,392",N
I Q 2018,PLN,451114,-5136,-46611,-46775,3314,-1822,537111,157501,"9793,974","-4,776","16,081",N
II Q 2018,PLN,465228,1115,-350,-854,3238,4353,543386,160064,"9793,974","-0,087","16,343",N
III Q 2018,PLN,503366,6450,4896,3747,3234,9684,560017,163077,"9793,974","0,383","16,651",N
IV Q 2018,PLN,591554,9657,7849,5786,3364,13021,570763,168678,"9793,974","0,591","17,223",N
I Q 2017,PLN,459809,3775,5669,4273,3355,7130,604451,200231,"9572,349","0,446","20,918",N
II Q 2017,PLN,473358,3020,1885,1288,3105,6125,645527,185814,"9572,349","0,135","19,412",N
III Q 2017,PLN,481200,5229,3804,3307,3110,8339,603432,188949,"9572,349","0,345","19,739",N
IV Q 2017,PLN,639153,6442,5014,4572,3139,9581,640350,193518,"9572,349","0,478","20,216",N
I Q 2016,PLN,459670,3987,5736,4486,3179,7166,551355,171118,"9572,349","0,469","17,876",N
II Q 2016,PLN,474010,3877,2897,2007,3192,7069,569631,173457,"9572,349","0,210","18,121",N
III Q 2016,PLN,510522,3837,3123,3256,3336,7173,586987,176403,"9572,349","0,340","18,428",N
IV Q 2016,PLN,568369,8797,4873,4176,3080,11877,604751,180930,"9572,349","0,436","18,901",N
I Q 2015,PLN,575069,1678,3888,2076,2569,4247,562796,163963,"9572,349","0,217","17,129",N
II Q 2015,PLN,576668,5413,4376,3413,2735,8148,560620,167920,"9572,349","0,357","17,542",N
III Q 2015,PLN,457600,1590,1028,582,2776,4366,583700,163795,"9572,349","0,061","17,111",N
IV Q 2015,PLN,615919,4964,4059,3462,2926,7890,583633,166614,"9572,349","0,362","17,406",N
I Q 2014,PLN,466944,5186,3895,3221,2434,7620,461467,146921,"9572,349","0,336","15,348",N
II Q 2014,PLN,477377,5111,3738,2859,2423,7534,458865,149777,"9572,349","0,299","15,647",N
III Q 2014,PLN,530776,8769,6651,5255,2511,11280,505679,152440,"9572,349","0,549","15,925",N
IV Q 2014,PLN,663177,15405,11192,9993,2569,17974,518550,161909,"9572,349","1,044","16,914",N
I Q 2013,PLN,380866,1810,1222,1166,2042,3852,387932,127220,"9572,349","0,122","13,290",N
II Q 2013,PLN,358301,3519,2104,1395,2265,5784,406145,128558,"9572,349","0,146","13,430",N
III Q 2013,PLN,424858,4382,652,4639,2356,6738,454736,132858,"9572,349","0,485","13,879",N
IV Q 2013,PLN,465458,8061,6365,14611,2351,10412,471038,143380,"9572,349","1,526","14,979",N
I Q 2012,PLN,256289,-3988,-4375,-5256,-1699,-5687,354398,127874,"9572,349","-0,549","13,359",N
II Q 2012,PLN,220841,-2997,-5372,-4332,2725,-272,344979,127118,"9572,349","-0,453","13,280",N
III Q 2012,PLN,242528,2024,1081,328,1420,3444,356440,120967,"9572,349","0,034","12,637",N
IV Q 2012,PLN,400734,7965,6623,5186,2222,10187,402648,125665,"9572,349","0,542","13,128",N
I Q 2011,PLN,213532,8254,5731,5094,1909,10163,328204,121339,"9572,349","0,532","12,676",N
II Q 2011,PLN,214537,241,-6262,-5696,2401,2642,314535,115865,"9572,349","-0,595","12,104",N
III Q 2011,PLN,233132,7064,9691,7398,2411,9475,345480,122072,"9572,349","0,773","12,753",N
IV Q 2011,PLN,317936,15671,14325,12382,2450,18121,0,0,"9572,349","1,294","0,000",N
I Q 2010,PLN,172006,-2431,-2765,-1656,1998,-433,297523,112210,"8194,999","-0,202","13,692",N
II Q 2010,PLN,178500,-1515,-2723,-2004,2442,927,304685,110598,"8194,999","-0,245","13,496",N
III Q 2010,PLN,194835,-4351,3711,4084,2609,-1742,353471,115279,"8194,999","0,498","14,067",N
IV Q 2010,PLN,291319,10663,1931,1149,2260,12923,319534,116599,"9572,349","0,120","12,181",N
I Q 2009,PLN,182477,4838,4419,3453,1180,6018,276126,118286,"8194,999","0,421","14,434",N
II Q 2009,PLN,171815,-1493,-3878,-1885,1833,340,290023,113513,"8194,999","-0,230","13,851",N
III Q 2009,PLN,187100,-3402,-3178,-1818,2412,-990,322840,111494,"8194,999","-0,222","13,605",N
IV Q 2009,PLN,264677,2465,2270,1865,1093,3558,0,0,"8194,999","0,228","0,000",N
I Q 2008,PLN,146504,2689,2637,2008,631,3320,201884,82493,"7450,000","0,270","11,073",N
II Q 2008,PLN,160047,3037,1548,694,1407,4444,287985,109207,"8194,999","0,085","13,326",N
III Q 2008,PLN,167243,-1584,-2214,-1202,1353,-231,304488,108635,"8194,999","-0,147","13,256",N
IV Q 2008,PLN,281407,5896,4114,4298,1769,7665,328249,112462,"8194,999","0,524","13,723",N
I Q 2007,PLN,102048,1044,1020,688,305,1349,73739,17467,"0,000",,,N
II Q 2007,PLN,89079,449,60,37,339,788,0,0,"6000,000","0,006","0,000",N
III Q 2007,PLN,123368,1763,2130,1718,514,2277,0,0,"7450,000","0,231","0,000",N
IV Q 2007,PLN,204850,10227,9850,7879,588,10815,183514,80193,"7450,000","1,058","10,764",N
II Q 2006,PLN,62872,305,315,201,222,527,0,0,"0,000",,,N
III Q 2006,PLN,78232,2110,2005,1607,216,2326,65496,11357,"0,000",,,N
IV Q 2006,PLN,131061,7798,7407,6021,266,8064,82827,17378,"0,000",,,N
