kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,EUR,458184,120094,106520,89016,26098,146192,2762764,2189996,"32793,448","2,714","66,782",N
II Q 2023,EUR,462246,116139,100336,80940,26228,142367,2766951,2246235,"32793,448","2,468","68,496",N
III Q 2023,EUR,420106,84041,79754,65276,25635,109676,2651991,2095795,"32793,448","1,991","63,909",N
IV Q 2023,EUR,465855,79347,80516,78714,26633,105980,2764291,2162055,"32793,448","2,400","65,929",N
I Q 2022,EUR,432468,107299,105623,90394,26283,133582,2640789,1980537,"32793,448","2,756","60,394",N
II Q 2022,EUR,424975,31951,171436,145288,26840,58791,2823660,2238355,"32793,448","4,430","68,256",N
III Q 2022,EUR,384760,94534,79130,65263,27285,121819,2723607,2105706,"32793,448","1,990","64,211",N
IV Q 2022,EUR,475250,147427,76884,62351,27276,174703,2687500,2118616,"32793,448","1,901","64,605",N
I Q 2021,EUR,395797,96260,101147,86526,27320,123580,2325687,1832988,"32793,448","2,639","55,895",N
II Q 2021,EUR,412788,104245,106104,91508,27205,131450,2427384,1924836,"32793,448","2,790","58,696",N
III Q 2021,EUR,367967,70764,72856,62720,26896,97660,2342643,1835779,"32793,448","1,913","55,980",N
IV Q 2021,EUR,389250,83519,82310,68460,27416,110935,2536988,1905205,"32793,448","2,088","58,097",N
I Q 2020,EUR,462852,133926,101187,85635,28113,162039,2269613,1711051,"32793,448","2,611","52,177",N
II Q 2020,EUR,340901,82762,89088,75489,28124,110886,2312193,1786137,"32793,448","2,302","54,466",N
III Q 2020,EUR,356426,84067,59966,50389,27563,111630,2176025,1678668,"32793,448","1,537","51,189",N
IV Q 2020,EUR,374762,89989,88751,79482,27888,117877,2235542,1743333,"32793,448","2,424","53,161",N
I Q 2019,EUR,378473,72232,81512,70419,27681,99913,2122861,1615685,"32793,448","2,147","49,269",N
