kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,33831,1165,4410,3206,2379,3544,112436,40089,"3812,000","0,841","10,517",N
I Q 2023,PLN,35412,1627,1829,1392,2325,3952,113168,41472,"3812,000","0,365","10,879",N
II Q 2023,PLN,43357,6590,8667,6450,2324,8914,115948,46924,"3812,000","1,692","12,310",N
III Q 2023,PLN,38979,3164,864,653,2462,5626,110830,47721,"3812,000","0,171","12,519",N
IV Q 2021,PLN,29000,173,-113,319,2083,2256,90105,31153,"3812,000","0,084","8,172",N
I Q 2022,PLN,32933,904,933,908,2189,3093,94158,32078,"3812,000","0,238","8,415",N
II Q 2022,PLN,45127,6405,6012,4499,2181,8586,103155,35829,"3812,000","1,180","9,399",N
III Q 2022,PLN,41571,4009,2574,2017,2214,6223,105139,36982,"3812,000","0,529","9,701",N
IV Q 2020,PLN,22263,923,1,-296,1797,2720,63624,23747,"3617,600","-0,082","6,564",N
I Q 2021,PLN,21915,328,-587,-641,1821,2149,70286,22998,"3617,600","-0,177","6,357",N
II Q 2021,PLN,30371,3620,7269,5357,2004,5624,81488,28985,"3617,600","1,481","8,012",N
III Q 2021,PLN,31545,2410,989,715,1949,4359,86695,29894,"3812,000","0,188","7,842",N
IV Q 2019,PLN,19167,-597,1593,1279,1812,1215,61851,20166,"3617,600","0,354","5,574",N
I Q 2020,PLN,19869,980,-2815,-2334,1703,2683,64942,17863,"3617,600","-0,645","4,938",N
II Q 2020,PLN,27244,4729,6111,4965,1747,6476,66147,22559,"3617,600","1,372","6,236",N
III Q 2020,PLN,22191,3691,2403,1995,1838,5529,65841,24038,"3617,600","0,551","6,645",N
IV Q 2018,PLN,16569,-1014,-1109,-1087,1388,374,52318,11120,"3617,600","-0,300","3,074",N
I Q 2019,PLN,17913,293,352,269,1447,1740,57847,16763,"3617,600","0,074","4,634",N
II Q 2019,PLN,22448,2486,2818,2111,1508,3994,58923,18187,"3617,600","0,584","5,027",N
III Q 2019,PLN,21286,2572,1046,697,1668,4240,60759,18762,"3617,600","0,193","5,186",N
III Q 2018,PLN,18322,1620,2112,1717,1520,3140,58370,17240,"3617,600","0,475","4,766",N
