kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,223569,71891,68231,52748,794,72685,804630,430049,"18000,000","2,930","23,892",N
I Q 2023,PLN,57720,15085,11958,9104,662,15747,790383,439727,"18000,000","0,506","24,429",N
II Q 2023,PLN,78069,22043,18302,15129,646,22689,819491,425021,"18000,000","0,841","23,612",N
III Q 2023,PLN,79939,22407,23370,18874,624,23031,837455,444479,"18000,000","1,049","24,693",N
IV Q 2021,PLN,111709,32197,25481,19990,778,32975,845331,406272,"18000,000","1,111","22,571",N
I Q 2022,PLN,39707,8996,-6313,-6747,753,9749,854827,399525,"18000,000","-0,375","22,196",N
II Q 2022,PLN,16816,-2123,-10042,-8057,778,-1345,871922,358004,"18000,000","-0,448","19,889",N
III Q 2022,PLN,86646,31040,25047,19341,783,31823,975981,376715,"18000,000","1,075","20,929",N
IV Q 2020,PLN,55973,4386,-840,-1772,650,5036,741527,359946,"18000,000","-0,098","19,997",N
I Q 2021,PLN,12968,-2172,-4895,-3944,753,-1419,793340,356002,"18000,000","-0,219","19,778",N
II Q 2021,PLN,145713,49270,46981,35376,757,50027,769475,382142,"18000,000","1,965","21,230",N
III Q 2021,PLN,39457,8381,5812,3826,793,9174,797503,386307,"18000,000","0,213","21,462",N
IV Q 2019,PLN,74946,17672,16472,13120,564,18236,688357,366793,"18000,000","0,729","20,377",N
I Q 2020,PLN,97741,29520,27998,20597,474,29994,647183,387390,"18000,000","1,144","21,522",N
II Q 2020,PLN,10337,-1489,-2572,-2266,766,-723,626012,385124,"18000,000","-0,126","21,396",N
III Q 2020,PLN,26942,2897,1044,714,556,3453,693627,383322,"18000,000","0,040","21,296",N
IV Q 2018,PLN,97860,26152,24177,17897,373,26525,726578,348055,"18000,000","0,994","19,336",N
I Q 2019,PLN,71162,26426,24164,17932,355,26781,679471,365987,"18000,000","0,996","20,333",N
II Q 2019,PLN,122067,35818,35033,25681,706,36524,595903,355668,"18000,000","1,427","19,759",N
III Q 2019,PLN,17684,1036,54,-1995,598,1634,635802,353673,"18000,000","-0,111","19,649",N
IV Q 2017,PLN,156261,56737,55143,64965,320,57057,570623,298855,"18000,000","3,609","16,603",N
I Q 2018,PLN,9351,-1875,-3722,-3011,334,-1541,605893,295844,"18000,000","-0,167","16,436",N
II Q 2018,PLN,4175,-2951,-4836,-4246,343,-2608,699341,276478,"18000,000","-0,236","15,360",N
III Q 2018,PLN,211049,74842,72972,53680,354,75196,713657,330158,"18000,000","2,982","18,342",N
IV Q 2016,PLN,82692,10017,8583,22402,268,10285,385409,241485,"18000,000","1,245","13,416",N
I Q 2017,PLN,6539,-1331,-2521,-2126,285,-1046,404836,239358,"18000,000","-0,118","13,298",N
II Q 2017,PLN,4138,-3504,-5565,-4770,295,-3209,506830,220549,"18000,000","-0,265","12,253",N
III Q 2017,PLN,54294,17526,15647,13341,308,17834,542277,233890,"18000,000","0,741","12,994",N
IV Q 2015,PLN,65517,21628,21203,19546,271,21899,313823,209825,"18000,000","1,086","11,657",N
I Q 2016,PLN,36311,8402,7582,7097,264,8666,322684,216922,"18000,000","0,394","12,051",N
II Q 2016,PLN,34649,8041,7406,6900,269,8310,323212,212662,"18000,000","0,383","11,815",N
III Q 2016,PLN,35675,7793,6761,6422,272,8065,394297,219084,"18000,000","0,357","12,171",N
IV Q 2014,PLN,14723,721,527,508,123,844,199459,145279,"15000,000","0,034","9,685",N
I Q 2015,PLN,13415,3256,3107,2957,202,3458,230399,143735,"15000,000","0,197","9,582",N
II Q 2015,PLN,22458,7424,7233,6658,204,7628,226804,151600,"15000,000","0,444","10,107",N
III Q 2015,PLN,24110,4812,4425,4076,207,5019,237042,155673,"15000,000","0,272","10,378",N
IV Q 2012,PLN,0,0,0,0,0,0,157647,101333,"15000,000","0,000","6,756",N
IV Q 2013,PLN,0,0,0,0,0,0,173447,121473,"15000,000","0,000","8,098",N
II Q 2014,PLN,0,0,0,0,0,0,204096,131331,"15000,000","0,000","8,755",N
III Q 2014,PLN,65174,14553,14413,13181,185,14738,167398,145655,"15000,000","0,879","9,710",N
