kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,3638653,737784,2566499,469455,142815,125332,217529172,13262758,"42433,495","312,554","3,366",N
II Q 2023,PLN,3657108,747963,2677276,75846,-15478,125648,212927857,13467680,"42464,892","317,149","-0,364",N
III Q 2023,PLN,3836928,760632,2754383,462339,-83016,132575,225389156,13687742,"42465,167","322,329","-1,955",N
IV Q 2023,PLN,3694076,769533,2916525,-37052,-20267,149583,226980516,13735187,"42465,167","323,446","-0,477",N
I Q 2022,PLN,1723544,785666,2164855,713590,512329,123171,204914421,13588127,"42384,884","320,589","12,088",N
II Q 2022,PLN,2339685,759831,2152808,598250,229708,127136,204397148,13375630,"42413,932","315,359","5,416",N
III Q 2022,PLN,1878203,737870,1240600,-2424284,-2279244,124901,207580972,11476938,"42422,727","270,537","-53,727",N
IV Q 2022,PLN,3324374,742729,2445770,1004425,834516,123493,209892113,12713001,"42433,495","299,598","19,666",N
I Q 2021,PLN,1019381,645938,1556224,504322,317125,120529,194217052,16747030,"42365,431","395,299","7,485",N
II Q 2021,PLN,1035175,646334,1468750,238505,108683,122302,198470892,16691714,"42365,431","393,994","2,565",N
III Q 2021,PLN,1085433,698923,1510821,101402,26555,111586,208151800,16534286,"42368,696","390,248","0,627",N
IV Q 2021,PLN,1291748,723701,1658503,-1435260,-1631116,114167,198373374,13716050,"42384,884","323,607","-38,483",N
I Q 2020,PLN,1334977,544426,1409758,143940,90917,108121,173823261,16583303,"42348,437","391,592","2,147",N
II Q 2020,PLN,1210616,535487,1435311,218430,86983,126446,182942801,16910784,"42348,437","399,325","2,054",N
III Q 2020,PLN,1079525,553516,1400608,254959,100613,114508,182146757,16967701,"42365,259","400,510","2,375",N
IV Q 2020,PLN,1063235,611132,1570685,-7598,-174682,117649,178871617,16673133,"42365,431","393,555","-4,123",N
I Q 2019,PLN,1200843,465392,1265033,290002,163173,100593,150818659,15311027,"42332,466","361,685","3,855",N
II Q 2019,PLN,1263592,487680,1330806,459173,372413,101542,152433213,15679158,"42332,466","370,381","8,797",N
III Q 2019,PLN,1331082,516020,1505341,519982,358512,104339,158774045,16088688,"42348,437","379,912","8,466",N
IV Q 2019,PLN,1120546,423508,1285055,269279,106440,116989,158720583,16151303,"42348,437","381,391","2,513",N
I Q 2018,PLN,1053643,419295,1135895,561566,412583,77091,133640216,14484158,"42312,122","342,317","9,751",N
II Q 2018,PLN,1102561,409920,1174987,391718,293295,69626,140017793,14518448,"42312,122","343,127","6,932",N
III Q 2018,PLN,1168823,401357,1191818,397418,291069,73722,146656317,14800400,"42332,466","349,623","6,876",N
IV Q 2018,PLN,1193163,412873,1186944,465951,332737,78887,145780558,15169107,"42332,466","358,333","7,860",N
I Q 2017,PLN,982544,407105,1077248,329861,218778,63219,130488381,13310733,"42280,127","314,822","5,174",N
II Q 2017,PLN,990285,415311,1063131,382365,269700,63373,129417491,13654947,"42285,676","322,921","6,378",N
