kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,3995,91728,85532,83899,153,91881,2225177,1916225,"52461,033","1,599","36,527",N
I Q 2023,PLN,4357,14749,9059,10260,150,14899,2245382,1926567,"52461,033","0,196","36,724",N
II Q 2023,PLN,4424,111380,103079,97304,128,111508,2403042,2023953,"52461,033","1,855","38,580",N
III Q 2023,PLN,6421,89061,78385,81132,152,89213,2442689,2105166,"52461,033","1,547","40,128",N
IV Q 2021,PLN,3607,-41227,-43695,-41111,51,-41176,2064233,1808247,"51432,385","-0,799","35,158",N
I Q 2022,PLN,3474,-90208,-95735,-81403,150,-90058,1988872,1726844,"51432,385","-1,583","33,575",N
II Q 2022,PLN,3250,69378,64632,80326,133,69511,2065267,1771483,"51432,385","1,562","34,443",N
III Q 2022,PLN,5991,65728,58512,60439,182,65910,2137137,1832125,"52461,033","1,152","34,924",N
IV Q 2020,PLN,31575,136216,133616,105762,269,136485,1792817,1355872,"49953,560","2,117","27,143",N
I Q 2021,PLN,11204,48136,45163,36297,454,48590,1813840,1382031,"49953,560","0,727","27,666",N
II Q 2021,PLN,8618,304869,302037,430625,424,305293,2118628,1784887,"51432,385","8,373","34,704",N
III Q 2021,PLN,7891,46487,43318,39979,314,46801,2087823,1824866,"51432,385","0,777","35,481",N
III Q 2014,PLN,0,26399,26860,26362,0,26399,1194018,1007904,"62446,627","0,422","16,140",N
IV Q 2014,PLN,0,27271,26202,24295,0,27271,1223455,1032404,"62446,627","0,389","16,533",N
II Q 2020,PLN,7383,11990,8905,7573,0,11990,1606548,1231594,"49953,560","0,152","24,655",N
III Q 2020,PLN,7418,26201,23458,19068,646,26847,1633705,1250110,"49953,560","0,382","25,025",N
III Q 2013,PLN,5825,74687,73318,73784,0,74687,898834,741608,"62346,627","1,183","11,895",N
IV Q 2013,PLN,63576,18829,18117,21231,0,18829,946517,763476,"62446,627","0,340","12,226",N
I Q 2014,PLN,5903,113749,111138,108545,0,113749,1310717,872922,"62446,627","1,738","13,979",N
II Q 2014,PLN,19474,102270,108093,105592,0,102270,1168308,979707,"62446,627","1,691","15,689",N
III Q 2012,PLN,7811,-18970,-9066,-6097,0,-18970,764214,561731,"62346,627","-0,098","9,010",N
IV Q 2012,PLN,5613,24039,10158,9781,71,24110,779603,572146,"62346,627","0,157","9,177",N
I Q 2013,PLN,3679,11093,9619,9939,0,11093,786575,582083,"62346,627","0,159","9,336",N
II Q 2013,PLN,5099,84264,81109,81230,0,84264,843861,666978,"62346,627","1,303","10,698",N
III Q 2011,PLN,5247,-34086,-35829,-38273,85,-34001,0,0,"62346,627","-0,614","0,000",N
IV Q 2011,PLN,20800,14164,12167,15805,0,14164,640629,525886,"62346,627","0,254","8,435",N
I Q 2012,PLN,9563,11782,9601,9534,84,11866,650180,535125,"62346,627","0,153","8,583",N
