kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,18563,1562,9252,9227,1268,2830,122018,94674,"9952,769","0,927","9,512",N
I Q 2023,PLN,11290,1899,2072,1519,867,2766,121384,85224,"9952,769","0,153","8,563",N
II Q 2023,PLN,9705,-552,-1227,-1242,474,-78,118845,93874,"9952,769","-0,125","9,432",N
III Q 2023,PLN,9566,-474,446,-178,701,227,121594,93930,"9952,769","-0,018","9,438",N
IV Q 2021,PLN,14618,-18281,-17719,-176420,4749,-13532,114410,47385,"4976,385","-35,451","9,522",N
I Q 2022,PLN,12917,1617,3283,-55434,4747,6364,57842,-8398,"4976,385","-11,139","-1,688",N
II Q 2022,PLN,13811,7304,6293,6934,1696,9000,58763,-7122,"4976,385","1,393","-1,431",N
III Q 2022,PLN,17428,6730,6434,27411,-3488,3242,35608,15160,"4976,385","5,508","3,046",N
IV Q 2020,PLN,27477,-12270,-13431,-5018,3997,-8273,283404,207355,"4327,829","-1,159","47,912",N
I Q 2021,PLN,31366,-5094,-3294,-1012,4247,-847,311818,213823,"4327,829","-0,234","49,407",N
II Q 2021,PLN,27666,-3526,-5324,-1851,4154,628,287878,206148,"4327,829","-0,428","47,633",N
III Q 2021,PLN,11618,1801,4050,-1356,4383,6184,293857,211385,"4327,829","-0,313","48,843",N
IV Q 2019,PLN,37616,-5361,-5981,-1671,4968,-393,283262,195840,"3606,526","-0,463","54,302",N
I Q 2020,PLN,36072,-8618,-8082,-3265,4048,-4570,299205,206738,"3606,526","-0,905","57,323",N
II Q 2020,PLN,23098,-6140,-7177,-1193,4050,-2090,320531,211725,"4327,829","-0,276","48,922",N
III Q 2020,PLN,25088,-10480,-11260,-3444,3801,-6679,305737,203583,"4327,829","-0,796","47,040",N
IV Q 2018,PLN,56925,10397,9388,6034,3182,13579,316082,189864,"3606,526","1,673","52,645",N
I Q 2019,PLN,48696,6259,5399,4467,4187,10446,351679,197949,"3606,526","1,239","54,886",N
II Q 2019,PLN,45401,1356,412,1402,4413,5769,292960,194485,"3606,526","0,389","53,926",N
III Q 2019,PLN,42156,-2338,-2485,80,5149,2811,303724,206190,"3606,526","0,022","57,171",N
IV Q 2017,PLN,50510,9963,8670,7346,2834,12797,289281,168913,"3606,526","2,037","46,835",N
I Q 2018,PLN,44491,7073,6236,4100,2650,9723,282431,170790,"3606,526","1,137","47,356",N
II Q 2018,PLN,49218,3772,3481,2435,2839,6611,309674,183731,"3606,526","0,675","50,944",N
III Q 2018,PLN,48770,3482,2468,1847,2908,6390,303827,183157,"3606,526","0,512","50,785",N
IV Q 2016,PLN,34707,31473,31701,30887,2578,34051,369891,176970,"3606,526","8,564","49,069",N
I Q 2017,PLN,41446,1294,9,1962,3426,4720,313797,171788,"3606,526","0,544","47,633",N
II Q 2017,PLN,61096,16470,14899,7777,3213,19683,297058,163198,"3606,526","2,156","45,251",N
III Q 2017,PLN,50302,14093,13014,8454,2997,17090,301563,169243,"3606,526","2,344","46,927",N
IV Q 2015,PLN,13804,6479,1100,857,481,6960,102266,99188,"3455,526","0,248","28,704",N
I Q 2016,PLN,14739,-6129,-6714,-5984,486,-5643,225521,125763,"3455,526","-1,732","36,395",N
II Q 2016,PLN,38083,12306,13787,10700,753,13059,232635,127277,"3606,526","2,967","35,291",N
III Q 2016,PLN,40392,8880,6296,4505,777,9657,235357,134306,"3606,526","1,249","37,240",N
II Q 2015,PLN,12309,6202,6482,5240,0,6202,106770,95569,"3455,526","1,516","27,657",N
III Q 2015,PLN,12286,3776,3423,2761,472,4248,104772,98330,"3455,526","0,799","28,456",N
