kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,159082,13811,12962,9215,5271,19082,447658,213695,"15658,535","0,588","13,647",N
II Q 2023,PLN,152206,15523,15565,11733,4966,20489,450046,216215,"15569,277","0,754","13,887",N
III Q 2023,PLN,148653,16755,18175,18294,4464,21219,445793,218527,"15569,277","1,175","14,036",N
IV Q 2023,PLN,145412,15804,17560,13088,4904,20708,432035,224166,"15569,277","0,841","14,398",N
I Q 2022,PLN,136919,10801,9356,6739,3561,14362,430713,184676,"15658,535","0,430","11,794",N
II Q 2022,PLN,135010,16923,14728,10740,4454,21377,465837,198302,"15658,535","0,686","12,664",N
III Q 2022,PLN,166980,18102,15296,10154,4423,22525,491963,199142,"15658,535","0,648","12,718",N
IV Q 2022,PLN,167286,19915,17453,11586,4725,24640,453506,204409,"15658,535","0,740","13,054",N
I Q 2021,PLN,92862,3357,2628,2331,4275,7632,346806,164740,"15658,535","0,149","10,521",N
II Q 2021,PLN,104847,11139,10232,7732,3508,14647,370555,170646,"15658,535","0,494","10,898",N
III Q 2021,PLN,125647,11889,11545,8697,3459,15348,398085,174792,"15658,535","0,555","11,163",N
IV Q 2021,PLN,128616,10205,9655,6621,3815,14020,408504,180338,"15658,535","0,423","11,517",N
I Q 2020,PLN,101623,6441,4610,4197,4881,11322,321890,141562,"15658,535","0,268","9,041",N
II Q 2020,PLN,92106,10726,10504,7896,3442,14168,362584,173175,"15658,535","0,504","11,059",N
III Q 2020,PLN,104356,12975,11717,8782,3236,16211,338465,151411,"15658,535","0,561","9,670",N
IV Q 2020,PLN,96862,10909,10202,7844,3041,13950,330841,161248,"15658,535","0,501","10,298",N
I Q 2019,PLN,92544,858,-204,-201,2718,3576,345750,144829,"15658,535","-0,013","9,249",N
II Q 2019,PLN,87305,7203,6611,4939,2719,9922,352477,149508,"15658,535","0,315","9,548",N
III Q 2019,PLN,103694,10100,9218,5995,3725,13825,361046,154087,"15658,535","0,383","9,840",N
IV Q 2019,PLN,103444,9817,8963,6434,2487,12304,355913,161066,"15658,535","0,411","10,286",N
I Q 2018,PLN,69117,699,-620,96,2434,3133,316274,126232,"15658,535","0,006","8,062",N
II Q 2018,PLN,82535,6948,6090,4659,2297,9245,332594,134272,"15658,535","0,298","8,575",N
III Q 2018,PLN,92484,5450,4516,3018,2573,8023,340607,135124,"15658,535","0,193","8,629",N
