kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,112708,7677,5814,4904,7496,15173,431190,146407,"6484,243","0,756","22,579",N
I Q 2023,PLN,46090,138,-1693,-2262,7303,7441,392733,144137,"6484,243","-0,349","22,229",N
II Q 2023,PLN,48419,-6436,-8906,-8392,6222,-214,540283,191890,"7381,091","-1,137","25,998",N
III Q 2023,PLN,39722,1842,-104,-103,4534,6376,533203,191797,"7381,091","-0,014","25,985",N
IV Q 2021,PLN,67367,1892,1264,360,6570,8462,390215,146200,"6484,243","0,056","22,547",N
I Q 2022,PLN,54931,-1701,-2713,-2750,7025,5324,375609,143450,"6484,243","-0,424","22,123",N
II Q 2022,PLN,50332,400,-859,-1009,7392,7792,382549,142440,"6484,243","-0,156","21,967",N
III Q 2022,PLN,63693,717,-1352,-930,7499,8216,386695,141500,"6484,243","-0,143","21,822",N
IV Q 2020,PLN,38747,1775,1252,1181,2751,4526,303528,144350,"6379,999","0,185","22,625",N
I Q 2021,PLN,26276,-358,-432,-459,2882,2524,311585,143891,"6379,999","-0,072","22,553",N
II Q 2021,PLN,46133,4068,3751,3675,4385,8453,357947,147566,"6379,999","0,576","23,129",N
III Q 2021,PLN,49029,-1190,-1409,-1830,6124,4934,374699,145736,"6484,243","-0,282","22,475",N
IV Q 2019,PLN,27454,264,-322,-371,2580,2844,216190,77376,"5650,000","-0,066","13,695",N
I Q 2020,PLN,19685,1659,1392,1405,2509,4168,233184,78904,"5650,000","0,249","13,965",N
II Q 2020,PLN,37698,6967,6698,6683,2640,9607,247016,85936,"5650,000","1,183","15,210",N
III Q 2020,PLN,31144,1141,917,906,2704,3845,305864,142481,"6379,999","0,142","22,332",N
IV Q 2018,PLN,36858,1689,1371,1384,1712,3401,179346,74837,"5650,000","0,245","13,245",N
I Q 2019,PLN,15632,1324,936,936,1828,3152,184367,75840,"5650,000","0,166","13,423",N
II Q 2019,PLN,26436,1474,1218,1218,2103,3577,219744,76172,"5650,000","0,216","13,482",N
III Q 2019,PLN,23856,2054,1682,1682,2412,4466,227144,77905,"5650,000","0,298","13,788",N
IV Q 2017,PLN,28894,4388,3965,3964,2544,6932,135477,35702,"4368,132","0,907","8,173",N
I Q 2018,PLN,12187,1526,1135,1135,1947,3473,0,0,"4368,132","0,260","0,000",N
II Q 2018,PLN,29094,702,372,328,1730,2432,178708,70045,"5650,000","0,058","12,397",N
III Q 2018,PLN,45148,3284,2808,2805,1973,5257,187720,73172,"5650,000","0,496","12,951",N
IV Q 2014,PLN,0,0,0,0,0,0,39476,8437,"4368,132","0,000","1,931",N
IV Q 2015,PLN,0,0,0,0,0,0,80990,22290,"4368,132","0,000","5,103",N
IV Q 2016,PLN,0,0,0,0,0,0,92276,24464,"4368,132","0,000","5,601",N
