kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,HUF,2046546000,175277000,196330000,167189000,97167000,272444000,2147483647,2147483647,"819429,461","204,031","4488,563",N
II Q 2023,HUF,1960818000,70585000,91087000,78459000,90229000,160814000,2147483647,2147483647,"819429,461","95,748","4206,827",N
III Q 2023,HUF,2147483647,262625000,234051000,177230000,108415000,371040000,2147483647,2147483647,"819429,461","216,285","4645,239",N
IV Q 2023,HUF,2147483647,169088000,169950000,107040000,175873000,344961000,2147483647,2147483647,"819429,461","130,627","4682,509",N
I Q 2022,HUF,1903643000,228588000,231496000,192034000,46394000,274982000,2147483647,2147483647,"819429,461","234,351","3634,089",N
II Q 2022,HUF,2147483647,364717000,345778000,297540000,108405000,473122000,2147483647,2147483647,"819429,461","363,106","3968,658",N
III Q 2022,HUF,2147483647,443733000,384238000,290095000,127199000,570932000,2147483647,2147483647,"819429,461","354,021","4620,056",N
IV Q 2022,HUF,2147483647,222074000,193782000,71921000,176244000,398318000,2147483647,2147483647,"819429,461","87,770","4434,019",N
I Q 2021,HUF,1082257000,101519000,93756000,90794000,121922000,223441000,2147483647,2147483647,"819429,461","110,801","2839,516",N
II Q 2021,HUF,1412572000,140595000,167354000,185855000,122720000,263315000,2147483647,2147483647,"819429,461","226,810","2906,719",N
III Q 2021,HUF,1618069000,178584000,150424000,139226000,112390000,290974000,2147483647,2147483647,"819429,461","169,906","3166,984",N
IV Q 2021,HUF,1713767000,149981000,143618000,111485000,153210000,303191000,2147483647,2147483647,"819429,461","136,052","3389,126",N
I Q 2020,HUF,1119510000,26020000,-63507000,-48424000,98070000,124090000,2147483647,2147483647,"819429,461","-59,095","2734,301",N
II Q 2020,HUF,823889000,-8066000,-21532000,-41532000,130913000,122847000,2147483647,2147483647,"819429,461","-50,684","2659,214",N
III Q 2020,HUF,1049854000,70375000,60768000,56761000,138543000,208918000,2147483647,2147483647,"819429,461","69,269","2734,083",N
IV Q 2020,HUF,1017769000,-23335000,-19565000,14872000,146869000,123534000,2147483647,2147483647,"819429,461","18,149","2700,750",N
I Q 2019,HUF,1142381000,57290000,54026000,48641000,85287000,142577000,2147483647,2045318000,"819429,461","59,360","2496,027",N
II Q 2019,HUF,1341046000,89378000,90809000,77795000,93392000,182770000,2147483647,2038264000,"819429,461","94,938","2487,418",N
III Q 2019,HUF,1399968000,102620000,85353000,59757000,87700000,190320000,2147483647,2137180000,"819429,461","72,925","2608,132",N
IV Q 2019,HUF,1383340000,44771000,45511000,37021000,124636000,169407000,2147483647,2147483647,"819429,461","45,179","2625,467",N
I Q 2018,HUF,1001968000,68648000,67916000,60262000,85946000,154594000,2147483647,1811347000,"819429,461","73,541","2210,498",N
II Q 2018,HUF,1333718000,119395000,100462000,72935000,90180000,209575000,2147483647,1854450000,"819429,461","89,007","2263,099",N
III Q 2018,HUF,1449018000,121404000,122022000,89955000,92378000,213782000,2147483647,1923540000,"819429,461","109,778","2347,414",N
IV Q 2018,HUF,1383964000,43430000,40951000,78044000,143019000,186449000,2147483647,1994455000,"819429,461","95,242","2433,956",N
I Q 2017,HUF,955299000,120004000,110339000,93876000,71145000,191149000,2147483647,1583521000,"819429,461","114,563","1932,468",N
II Q 2017,HUF,1008365000,106412000,118153000,88793000,71789000,178201000,2147483647,1618612000,"819429,461","108,360","1975,291",N
III Q 2017,HUF,1045980000,66104000,67016000,47675000,72541000,138645000,2147483647,1668751000,"819429,461","58,181","2036,479",N
IV Q 2017,HUF,1120676000,61846000,70129000,76607000,102834000,164680000,2147483647,1740954000,"819429,461","93,488","2124,593",N
I Q 2016,HUF,697234000,56540000,56525000,73564000,70813000,127353000,2147483647,1382217000,"836152,509","87,979","1653,068",N
II Q 2016,HUF,910341000,101089000,92504000,79133000,79169000,180258000,2147483647,1427092000,"836152,509","94,639","1706,736",N
III Q 2016,HUF,962350000,92401000,86145000,67337000,74319000,166720000,2147483647,1472766000,"819429,461","82,175","1797,307",N
IV Q 2016,HUF,983080000,57875000,37369000,43463000,91182000,149057000,2147483647,1492072000,"819429,461","53,041","1820,867",N
I Q 2015,HUF,921840000,66551000,31361000,29170000,74177000,140728000,2147483647,1764956000,"836152,509","34,886","2110,806",N
II Q 2015,HUF,1128996000,109773000,98197000,57454000,84787000,194560000,2147483647,1860950000,"836152,509","68,712","2225,611",N
III Q 2015,HUF,1122142000,79059000,71298000,90731000,81023000,160082000,2147483647,1912827000,"836152,509","108,510","2287,653",N
IV Q 2015,HUF,926834000,-467604000,-505422000,-435298000,619252000,151648000,2147483647,1452219000,"836152,509","-520,596","1736,787",N
I Q 2014,HUF,1120881000,46390000,26232000,20836000,67805000,114195000,2147483647,1754375000,"836152,509","24,919","2098,152",N
II Q 2014,HUF,1232168000,32741000,21373000,24043000,66375000,99116000,2147483647,1752056000,"836152,509","28,754","2095,379",N
III Q 2014,HUF,1341856000,90856000,50006000,28535000,66289000,157145000,2147483647,1812844000,"836152,509","34,127","2168,078",N
IV Q 2014,HUF,1171702000,-129907000,-161995000,-69336000,167815000,37908000,2147483647,1749745000,"836152,509","-82,923","2092,615",N
I Q 2013,HUF,1293242000,67425000,56267000,27810000,76909000,144334000,2147483647,1770122000,"836152,509","33,259","2116,985",N
II Q 2013,HUF,1319993000,12662000,5674000,18930000,78295000,90957000,2147483647,1719034000,"836152,509","22,639","2055,886",N
III Q 2013,HUF,1428927000,-56972000,-72428000,-29991000,214651000,157679000,2147483647,1694438000,"836152,509","-35,868","2026,470",N
IV Q 2013,HUF,1358255000,-41743000,-55521000,5152000,169831000,128088000,2147483647,1706003000,"836152,509","6,162","2040,301",N
I Q 2012,HUF,1348171000,83388000,90110000,73862000,74006000,157394000,2147483647,1681232000,"836152,509","88,336","2010,676",N
II Q 2012,HUF,1318798000,661000,-10741000,498000,74433000,75094000,2147483647,1618656000,"836152,509","0,596","1935,838",N
III Q 2012,HUF,1431911000,103010000,106563000,67627000,70576000,173586000,2147483647,1669105000,"836152,509","80,879","1996,173",N
IV Q 2012,HUF,1422444000,29637000,19814000,9497000,100360000,129997000,2147483647,1699116000,"836152,509","11,358","2032,065",N
I Q 2011,HUF,1177493000,109355000,140719000,92663000,67914000,177269000,2147483647,1467401000,"836152,509","110,821","1754,944",N
II Q 2011,HUF,1298640000,79630000,71048000,53968000,82667000,162297000,2147483647,1495882000,"836152,509","64,543","1789,006",N
III Q 2011,HUF,1377871000,52506000,37111000,36408000,77014000,129520000,0,0,"836152,509","43,542","0,000",N
IV Q 2011,HUF,1489230000,11691000,-30482000,-29114000,122245000,133936000,0,0,"836152,509","-34,819","0,000",N
I Q 2010,HUF,876140000,48112000,27172000,19011000,70686000,118798000,2147483647,1331077000,"836152,509","22,736","1591,907",N
II Q 2010,HUF,1053847000,46161000,-29669000,-52600000,64417000,110578000,2147483647,1361273000,"836152,509","-62,907","1628,020",N
III Q 2010,HUF,1189853000,83458000,129481000,111241000,67180000,150638000,0,0,"836152,509","133,039","0,000",N
IV Q 2010,HUF,1178869000,62845000,45030000,38525000,77154000,139999000,2147483647,1435070000,"836152,509","46,074","1716,278",N
I Q 2009,HUF,632575000,67409000,-92080000,-117722000,40223000,107632000,2147483647,1168928000,"836152,509","-140,790","1397,984",N
II Q 2009,HUF,698573000,78846000,201244000,181348000,45180000,124026000,2147483647,1271125000,"836152,509","216,884","1520,207",N
III Q 2009,HUF,921994000,40983000,61276000,12596000,57129000,98112000,0,0,"836152,509","15,064","0,000",N
IV Q 2009,HUF,991449000,53436000,8896000,14019000,64608000,118044000,2147483647,1294005000,"836152,509","16,766","1547,571",N
I Q 2008,HUF,786103000,67301000,73287000,65043000,34323000,101624000,2147483647,861592000,"874643,013","74,365","985,078",N
II Q 2008,HUF,920444000,89093000,128058000,114148000,34152000,123245000,2147483647,1039053000,"874643,013","130,508","1187,974",N
III Q 2008,HUF,976427000,36642000,-5058000,-187000,38513000,75155000,0,0,"874643,013","-0,214","0,000",N
IV Q 2008,HUF,852027000,6188000,-33420000,-32871000,44920000,51108000,2147483647,1112981000,"836152,509","-39,312","1331,074",N
I Q 2007,HUF,515836000,75100000,77759000,62587000,34078000,109178000,2147483647,1139141000,"874643,013","71,557","1302,407",N
II Q 2007,HUF,606556000,91538000,57474000,27595000,32036000,123574000,0,0,"874643,013","31,550","0,000",N
III Q 2007,HUF,685133000,95965000,103849000,74010000,38816000,134781000,0,0,"874643,013","84,617","0,000",N
IV Q 2007,HUF,786426000,92902000,105174000,98211000,35608000,128510000,2147483647,792164000,"874643,013","112,287","905,700",N
I Q 2006,HUF,798669000,155167000,129882000,121625000,31627000,186794000,2147483647,1137840000,"868950,213","139,968","1309,442",N
II Q 2006,HUF,702169000,102326000,92506000,88615000,32615000,134941000,0,0,"868950,213","101,979","0,000",N
III Q 2006,HUF,762307000,94754000,106863000,97456000,32369000,127123000,0,0,"874643,013","111,424","0,000",N
IV Q 2006,HUF,627916000,45887000,36460000,29830000,36237000,82124000,2147483647,1079666000,"874643,013","34,105","1234,408",N
I Q 2005,HUF,574370000,83457000,84547000,74352000,26887000,110344000,1649483000,838231000,"868950,213","85,565","964,648",N
II Q 2005,HUF,545054000,77425000,72043000,65498000,29196000,106621000,0,0,"868950,213","75,376","0,000",N
III Q 2005,HUF,585759000,69861000,64118000,54609000,26501000,96362000,0,0,"868950,213","62,845","0,000",N
IV Q 2005,HUF,753122000,64730000,56449000,53540000,40916000,105646000,2028835000,983279000,"868950,213","61,615","1131,571",N
I Q 2004,HUF,472757000,61821000,66209000,54134000,24583000,86404000,1435136000,568294000,"868950,213","62,298","654,001",N
II Q 2004,HUF,424077000,47684000,38961000,29218000,24582000,72266000,0,0,"868950,213","33,624","0,000",N
III Q 2004,HUF,452351000,81643000,88917000,74062000,24387000,106030000,0,0,"868950,213","85,232","0,000",N
IV Q 2004,HUF,606645000,57762000,67963000,54684000,33692000,91454000,1634880000,734170000,"868950,213","62,931","844,893",N
IV Q 2002,HUF,0,0,0,0,0,0,959484000,405441000,"868950,213","0,000","466,587",N
IV Q 2003,HUF,0,0,0,0,0,0,1532735000,523869000,"868950,213","0,000","602,876",N
