kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2023,PLN,347624,16387,16360,11212,3456,19843,735727,238174,"74565,269","0,150","3,194",N
II Q 2023,PLN,407314,20979,27390,21285,4704,25683,803195,260213,"74565,269","0,285","3,490",N
III Q 2023,PLN,365935,20250,20939,14435,3940,24190,783768,269153,"74565,269","0,194","3,610",N
IV Q 2023,PLN,230547,35398,35891,27316,4427,39825,709749,286613,"73975,269","0,369","3,874",N
I Q 2022,PLN,230549,10030,9314,5533,2951,12981,551989,196212,"74565,269","0,074","2,631",N
II Q 2022,PLN,276233,13083,11074,6883,3056,16139,630923,202675,"74565,269","0,092","2,718",N
III Q 2022,PLN,348977,14980,16856,10592,3385,18365,694565,210476,"74565,269","0,142","2,823",N
IV Q 2022,PLN,316501,20248,18375,8962,3246,23494,678126,226892,"74565,269","0,120","3,043",N
I Q 2021,PLN,160005,7106,4399,2448,3169,10275,475635,175305,"74565,269","0,033","2,351",N
II Q 2021,PLN,204575,8649,6937,5272,3107,11756,545137,183016,"74565,269","0,071","2,454",N
III Q 2021,PLN,203398,8182,6590,3941,3165,11347,555833,186384,"74565,269","0,053","2,500",N
IV Q 2021,PLN,200241,8151,5134,2996,2933,11084,494036,190812,"74565,269","0,040","2,559",N
I Q 2020,PLN,131754,5700,3176,2074,3184,8884,455943,161669,"74565,269","0,028","2,168",N
II Q 2020,PLN,146186,6634,4565,2132,3164,9798,446261,167951,"74565,269","0,029","2,252",N
III Q 2020,PLN,151228,5794,3322,2899,3170,8964,458899,169232,"74565,269","0,039","2,270",N
IV Q 2020,PLN,187746,8238,5688,3086,3217,11455,478304,172985,"74565,269","0,041","2,320",N
I Q 2019,PLN,146802,5167,4125,2053,3036,8203,418742,158025,"74565,269","0,028","2,119",N
II Q 2019,PLN,152904,3467,3330,2467,3433,6900,409151,160574,"74565,269","0,033","2,153",N
III Q 2019,PLN,148383,7409,3603,2191,3089,10498,430175,162792,"74565,269","0,029","2,183",N
IV Q 2019,PLN,153285,4374,5296,3381,3303,7677,451973,165091,"74565,269","0,045","2,214",N
I Q 2018,PLN,138860,6992,4850,3298,2863,9855,418945,151410,"74565,269","0,044","2,031",N
II Q 2018,PLN,137358,7397,4027,2270,3007,10404,450302,153784,"74565,269","0,030","2,062",N
III Q 2018,PLN,167050,3759,4498,3733,2766,6525,446932,157537,"74565,269","0,050","2,113",N
IV Q 2018,PLN,171687,4750,2189,1775,3573,8323,373362,156049,"74565,269","0,024","2,093",N
I Q 2017,PLN,159158,-800,-3561,-2188,3315,2515,527564,227852,"74565,269","-0,029","3,056",N
II Q 2017,PLN,178761,7995,5025,3597,3438,11433,541313,231326,"74565,269","0,048","3,102",N
III Q 2017,PLN,185379,3749,2033,2607,3289,7038,579247,233933,"74565,269","0,035","3,137",N
IV Q 2017,PLN,127065,-87294,-87208,-84403,3095,-84199,435406,147999,"74565,269","-1,132","1,985",N
I Q 2016,PLN,167155,3064,1631,923,3552,6616,524286,254601,"74565,269","0,012","3,414",N
II Q 2016,PLN,217086,-2437,-2294,-3538,3399,962,569000,250440,"74565,269","-0,047","3,359",N
III Q 2016,PLN,190358,5062,3994,4273,3402,8464,585894,254713,"74565,269","0,057","3,416",N
IV Q 2016,PLN,192223,-27483,-28097,-24461,3389,-24094,548572,229953,"74565,269","-0,328","3,084",N
I Q 2015,PLN,172063,5099,3389,1836,3521,8620,548062,263562,"74565,269","0,025","3,535",N
II Q 2015,PLN,174812,13471,13197,10240,3440,16911,545644,266011,"74565,269","0,137","3,567",N
III Q 2015,PLN,214307,4857,3284,3647,3462,8319,581412,269651,"74565,269","0,049","3,616",N
IV Q 2015,PLN,196899,3312,1677,593,3798,7110,541109,253662,"74565,269","0,008","3,402",N
I Q 2014,PLN,158182,7658,6405,4100,3304,10962,542735,254790,"74565,269","0,055","3,417",N
II Q 2014,PLN,215098,9157,8184,5489,3637,12794,594590,259970,"74565,269","0,074","3,486",N
III Q 2014,PLN,241011,10546,8483,6754,3630,14176,582533,266729,"74565,269","0,091","3,577",N
IV Q 2014,PLN,248359,5409,3938,2190,3775,9184,563287,261765,"74565,269","0,029","3,511",N
I Q 2013,PLN,118800,1887,2962,900,3309,5196,464467,232922,"74565,269","0,012","3,124",N
II Q 2013,PLN,120895,2363,3205,2606,3390,5753,481866,238015,"74565,269","0,035","3,192",N
III Q 2013,PLN,150714,6318,3806,1327,3329,9647,536936,239295,"74565,269","0,018","3,209",N
IV Q 2013,PLN,184708,4459,-670,2426,3630,8089,534566,250602,"74565,269","0,033","3,361",N
