kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,EUR,12825,5166,129354,55381,0,5166,6867624,1408219,"1314507,629","0,042","1,071",N
I Q 2023,EUR,13126,7042,85128,84381,0,7042,6978455,1520581,"1314507,629","0,064","1,157",N
II Q 2023,EUR,13583,5703,7481,8830,0,5703,7296775,1540451,"1314507,629","0,007","1,172",N
III Q 2023,EUR,10042,5869,16485,13187,0,5869,7293497,1515487,"1314507,629","0,010","1,153",N
IV Q 2021,EUR,17801,12336,154107,60794,0,12336,7383642,1238649,"1314507,629","0,046","0,942",N
I Q 2022,EUR,12276,4687,60146,60428,0,4687,7875300,1315851,"1314507,629","0,046","1,001",N
II Q 2022,EUR,11242,7103,8884,-4646,0,7103,8315153,1297485,"1314507,629","-0,004","0,987",N
III Q 2022,EUR,10089,5616,22153,36077,0,5616,8172313,1311692,"1314507,629","0,027","0,998",N
IV Q 2020,EUR,23440,7577,244205,179844,0,7577,6504366,899041,"1314507,629","0,137","0,684",N
I Q 2021,EUR,17311,10213,35595,33739,0,10213,6757293,929874,"1314507,629","0,026","0,707",N
II Q 2021,EUR,16433,10184,66923,69760,0,10184,6767133,1025763,"1314507,629","0,053","0,780",N
III Q 2021,EUR,16080,10187,167894,129760,0,10187,7120216,1116280,"1314507,629","0,099","0,849",N
IV Q 2019,EUR,1548,-5625,44348,10635,0,-5625,5244046,826356,"1314507,629","0,008","0,629",N
I Q 2020,EUR,16608,10044,-79894,-80657,0,10044,5707618,855700,"1314507,629","-0,061","0,651",N
II Q 2020,EUR,12643,8867,65321,38469,0,8867,5886787,736022,"1314507,629","0,029","0,560",N
III Q 2020,EUR,13920,4988,-30832,-25151,0,4988,6083334,689702,"1314507,629","-0,019","0,525",N
IV Q 2018,EUR,11315,-1253,25201,87737,0,-1253,3192868,702413,"1314507,629","0,067","0,534",N
I Q 2019,EUR,7583,3010,17650,14166,0,3010,3618336,882903,"1314507,629","0,011","0,672",N
II Q 2019,EUR,7770,8280,53940,56791,0,8280,4182411,948406,"1314507,629","0,043","0,721",N
III Q 2019,EUR,6809,3353,-12737,-14151,0,3353,4302187,932059,"1314507,629","-0,011","0,709",N
IV Q 2017,EUR,4962,1176,67922,73674,0,1176,1980303,628371,"1314507,629","0,056","0,478",N
