kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,225139,32591,36214,29123,2625,35216,600307,484834,"16650,649","1,749","29,118",N
I Q 2023,PLN,209969,36885,39855,33069,2586,39471,653423,522001,"16650,649","1,986","31,350",N
II Q 2023,PLN,178438,25739,29811,22215,2607,28346,645729,547672,"16650,649","1,334","32,892",N
III Q 2023,PLN,173912,29580,33579,27576,2644,32224,687067,562910,"16650,649","1,656","33,807",N
IV Q 2021,PLN,194639,28605,27611,19377,2393,30998,474900,386227,"16650,649","1,164","23,196",N
I Q 2022,PLN,207409,37257,37977,30921,2347,39604,537181,415199,"16650,649","1,857","24,936",N
II Q 2022,PLN,226770,23558,21869,13453,2415,25973,565334,449304,"16650,649","0,808","26,984",N
III Q 2022,PLN,226626,30999,32786,26878,2394,33393,583402,459532,"16650,649","1,614","27,598",N
IV Q 2020,PLN,144039,29659,29400,25951,2593,32252,414547,322598,"16650,649","1,559","19,375",N
I Q 2021,PLN,150366,18446,18413,14690,2247,20693,421048,337823,"16650,649","0,882","20,289",N
II Q 2021,PLN,161550,19467,19530,15624,2312,21779,438877,347069,"16650,649","0,938","20,844",N
III Q 2021,PLN,156131,17074,17124,13737,2425,19499,468787,372199,"16650,649","0,825","22,353",N
IV Q 2019,PLN,168379,11531,10127,8606,2585,14116,406153,282807,"16650,649","0,517","16,985",N
I Q 2020,PLN,157488,9947,11309,9006,2680,12627,375652,284917,"16650,649","0,541","17,111",N
II Q 2020,PLN,79783,3695,3554,2857,2591,6286,369616,286870,"16650,649","0,172","17,229",N
III Q 2020,PLN,131086,13551,13626,10825,2620,16171,387198,299560,"16650,649","0,650","17,991",N
IV Q 2018,PLN,177199,80,-336,-673,2352,2432,349502,255926,"16650,649","-0,040","15,370",N
I Q 2019,PLN,152880,3453,3072,2459,2216,5669,402557,260564,"16650,649","0,148","15,649",N
II Q 2019,PLN,152192,4475,3972,3385,2777,7252,364198,264226,"16650,649","0,203","15,869",N
III Q 2019,PLN,143383,6636,6535,4849,2538,9174,383678,262097,"16650,649","0,291","15,741",N
IV Q 2017,PLN,179044,5227,3894,2904,2489,7716,360940,261828,"16650,649","0,174","15,725",N
I Q 2018,PLN,163028,6062,6704,5449,2367,8429,368562,268108,"16650,649","0,327","16,102",N
II Q 2018,PLN,175075,10104,9275,6996,2247,12351,364406,249321,"16650,649","0,420","14,974",N
III Q 2018,PLN,149449,5632,3372,2861,2254,7886,348431,263080,"16650,649","0,172","15,800",N
IV Q 2016,PLN,171126,-1996,-3730,-11510,2389,393,380954,238671,"16650,649","-0,691","14,334",N
I Q 2017,PLN,162726,1510,-289,-801,2369,3879,387622,244856,"16650,649","-0,048","14,705",N
II Q 2017,PLN,162044,8537,9012,7074,2428,10965,389746,251315,"16650,649","0,425","15,093",N
III Q 2017,PLN,173247,8821,8713,6747,2527,11348,384699,253583,"16650,649","0,405","15,230",N
IV Q 2015,PLN,124731,12055,12114,11101,2204,14259,346237,246923,"16650,649","0,667","14,830",N
I Q 2016,PLN,114870,4028,2860,2571,2167,6195,364659,254973,"16650,649","0,154","15,313",N
II Q 2016,PLN,126265,4114,4396,3440,2290,6404,372721,252390,"16650,649","0,207","15,158",N
III Q 2016,PLN,125081,3555,3025,1185,2377,5932,389833,244807,"16650,649","0,071","14,703",N
IV Q 2014,PLN,125538,-4056,-2097,-2363,2417,-1639,373146,239399,"16650,649","-0,142","14,378",N
I Q 2015,PLN,121081,1341,-344,-365,2171,3512,392191,235482,"16650,649","-0,022","14,143",N
II Q 2015,PLN,125063,-3633,-1965,-1694,2281,-1352,415821,243336,"16650,649","-0,102","14,614",N
III Q 2015,PLN,137661,6750,5796,4127,2221,8971,348005,243008,"16650,649","0,248","14,595",N
IV Q 2013,PLN,115934,-27576,-31724,-18243,2508,-25068,355819,234482,"16650,649","-1,096","14,082",N
I Q 2014,PLN,100734,3101,3225,2591,1672,4773,356895,239496,"16650,649","0,156","14,384",N
II Q 2014,PLN,110297,93,261,678,1985,2078,365676,237909,"16650,649","0,041","14,288",N
III Q 2014,PLN,121993,823,-352,-481,1835,2658,377343,238146,"16650,649","-0,029","14,303",N
IV Q 2012,PLN,117878,1646,2282,1501,2858,4504,342439,251361,"16616,629","0,090","15,127",N
I Q 2013,PLN,101079,-1883,-1048,-718,2790,907,351007,259557,"16616,629","-0,043","15,620",N
II Q 2013,PLN,103766,1532,2887,2260,868,2400,352960,254420,"16616,629","0,136","15,311",N
III Q 2013,PLN,100036,164,-1054,-661,1591,1755,365096,254397,"16616,629","-0,040","15,310",N
IV Q 2011,PLN,104193,6881,7283,5677,2504,9385,329805,260988,"16616,629","0,342","15,706",N
I Q 2012,PLN,94398,9635,7356,5804,2664,12299,327016,269801,"16616,629","0,349","16,237",N
II Q 2012,PLN,102326,4549,6379,5128,2712,7261,326873,263640,"16616,629","0,309","15,866",N
III Q 2012,PLN,97483,473,-1472,-1351,2670,3143,328698,245184,"16616,629","-0,081","14,755",N
IV Q 2010,PLN,96888,9670,10349,7903,3359,13029,286726,209190,"16641,840","0,475","12,570",N
I Q 2011,PLN,89565,6321,6644,5348,2373,8694,291223,221888,"16641,840","0,321","13,333",N
II Q 2011,PLN,89074,10091,9666,7750,2397,12488,293344,227345,"16641,840","0,466","13,661",N
III Q 2011,PLN,100803,18538,21934,17386,2425,20963,340495,261180,"16641,840","1,045","15,694",N
IV Q 2009,PLN,67367,13648,13007,10356,1861,15509,242196,175813,"16641,840","0,622","10,565",N
I Q 2010,PLN,72359,10151,8873,7341,1837,11988,251295,202579,"16641,840","0,441","12,173",N
II Q 2010,PLN,73547,11372,13857,11204,1891,13263,287078,221366,"16641,840","0,673","13,302",N
III Q 2010,PLN,89451,16642,14999,12035,1893,18535,289431,214496,"16641,840","0,723","12,889",N
IV Q 2008,PLN,59058,10394,9210,7482,1951,12345,253356,190781,"16641,840","0,450","11,464",N
I Q 2009,PLN,45997,-3073,-3011,-2418,1809,-1264,216784,169319,"16641,840","-0,145","10,174",N
II Q 2009,PLN,37392,980,974,1020,1755,2735,222750,161759,"16641,840","0,061","9,720",N
III Q 2009,PLN,47765,7275,6248,5555,1824,9099,238594,157869,"16641,840","0,334","9,486",N
IV Q 2007,PLN,94364,35347,13031,11150,2220,37567,205166,156834,"16641,840","0,670","9,424",N
I Q 2008,PLN,81791,21849,20746,16860,1799,23648,206395,158724,"16641,840","1,013","9,538",N
II Q 2008,PLN,62993,6857,6577,0,1734,8591,233871,190422,"16641,840","0,000","11,442",N
III Q 2008,PLN,59520,5818,6728,5434,1711,7529,232557,180584,"16641,840","0,327","10,851",N
IV Q 2006,PLN,42235,11274,18181,18160,2203,13477,100930,52950,"0,000",,,N
I Q 2007,PLN,48125,14126,12455,10571,1512,15638,0,0,"0,000",,,N
II Q 2007,PLN,57992,20670,12939,0,1532,22202,0,0,"0,000",,,N
III Q 2007,PLN,82599,36070,13166,10600,1711,37781,184346,61572,"14841,840","0,714","4,149",N
IV Q 2004,PLN,0,0,0,0,0,0,76543,10194,"0,000",,,N
IV Q 2005,PLN,0,0,0,0,0,0,74944,21628,"0,000",,,N
III Q 2006,PLN,24390,13164,13486,13455,0,13164,0,0,"0,000",,,N
