kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,38766,5440,5008,4046,957,6397,73084,18329,"2052,750","1,971","8,929",N
I Q 2023,PLN,13472,-562,-646,-831,1227,665,47021,17498,"2052,750","-0,405","8,524",N
II Q 2023,PLN,13266,-1059,-1427,-881,1286,227,46705,16617,"2052,750","-0,429","8,095",N
III Q 2023,PLN,11770,-1890,-1539,-1527,1397,-493,48480,15090,"2052,750","-0,744","7,351",N
IV Q 2021,PLN,25936,957,771,-103,539,1496,59560,13835,"1916,000","-0,054","7,221",N
I Q 2022,PLN,10125,-494,-371,-71,518,24,44174,13629,"1916,000","-0,037","7,113",N
II Q 2022,PLN,16195,683,613,265,665,1348,43975,14040,"1916,000","0,138","7,328",N
III Q 2022,PLN,12375,296,403,83,770,1066,46032,14269,"1916,000","0,043","7,447",N
IV Q 2020,PLN,22571,2256,2077,1389,591,2847,29594,9963,"1916,000","0,725","5,200",N
I Q 2021,PLN,17012,4105,4037,3533,1485,5590,36733,11079,"1916,000","1,844","5,782",N
II Q 2021,PLN,7169,253,192,-644,341,594,35148,10450,"1916,000","-0,336","5,454",N
III Q 2021,PLN,12891,3599,3586,3192,314,3913,38216,13789,"1916,000","1,666","7,197",N
IV Q 2019,PLN,23733,4094,4152,2963,-10,4084,38325,8087,"1916,000","1,546","4,221",N
I Q 2020,PLN,5352,225,87,35,393,618,23295,8123,"1916,000","0,019","4,239",N
II Q 2020,PLN,8789,591,371,343,531,1122,25902,8370,"1916,000","0,179","4,369",N
III Q 2020,PLN,6242,425,248,204,548,973,24361,8574,"1916,000","0,106","4,475",N
IV Q 2018,PLN,10331,757,551,170,218,975,16706,7397,"1916,000","0,089","3,861",N
I Q 2019,PLN,1488,-2072,-2218,-1724,202,-1870,16114,5673,"1916,000","-0,900","2,961",N
II Q 2019,PLN,5045,-476,-657,-733,230,-246,15151,4848,"1916,000","-0,383","2,530",N
III Q 2019,PLN,8404,457,301,280,231,688,16648,5128,"1916,000","0,146","2,676",N
IV Q 2017,PLN,0,0,0,0,0,0,15626,7472,"1916,000","0,000","3,900",N
I Q 2018,PLN,4645,183,208,207,121,304,13814,7679,"1916,000","0,108","4,008",N
II Q 2018,PLN,3285,-822,-830,-824,125,-697,13197,6592,"1916,000","-0,430","3,441",N
III Q 2018,PLN,6279,706,697,709,117,823,17747,7301,"1916,000","0,370","3,811",N
