kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,14351,270,337,237,2485,2755,145681,106266,"29500,000","0,008","3,602",N
I Q 2023,PLN,25716,6018,6073,6051,2409,8427,168748,112317,"29500,000","0,205","3,807",N
II Q 2023,PLN,55101,12354,12280,11780,2238,14592,165158,123693,"29500,000","0,399","4,193",N
III Q 2023,PLN,26748,5806,5914,5508,2368,8174,185553,129201,"29500,000","0,187","4,380",N
IV Q 2021,PLN,6745,-2950,-3139,-3191,2282,-668,138627,101753,"29500,000","-0,108","3,449",N
I Q 2022,PLN,13214,-1900,-2070,-1230,2224,324,143570,100523,"29500,000","-0,042","3,408",N
II Q 2022,PLN,32859,4064,3829,3149,2140,6204,148374,102147,"29500,000","0,107","3,463",N
III Q 2022,PLN,28715,3168,2847,2853,2214,5382,144409,105056,"29500,000","0,097","3,561",N
IV Q 2020,PLN,7235,-3297,-2720,-2571,2101,-1196,151436,107553,"29500,000","-0,087","3,646",N
I Q 2021,PLN,6637,-3416,-3691,-2756,2307,-1109,142987,104797,"29500,000","-0,093","3,552",N
II Q 2021,PLN,9577,-293,-530,-477,2263,1970,137369,104216,"29500,000","-0,016","3,533",N
III Q 2021,PLN,15114,494,109,69,2394,2888,141430,104283,"29500,000","0,002","3,535",N
IV Q 2019,PLN,35223,3661,3199,2364,2094,5755,167829,108601,"29500,000","0,080","3,681",N
I Q 2020,PLN,24571,3218,2738,2473,2059,5277,159073,111075,"29500,000","0,084","3,765",N
II Q 2020,PLN,10392,-560,-404,-266,2395,1835,155097,111119,"29500,000","-0,009","3,767",N
III Q 2020,PLN,20521,-54,-137,583,2498,2444,157922,110201,"29500,000","0,020","3,736",N
IV Q 2018,PLN,42055,4885,3969,3799,2087,6972,179520,94036,"29500,000","0,129","3,188",N
I Q 2019,PLN,12521,1090,694,631,2149,3239,147777,94630,"29500,000","0,021","3,208",N
II Q 2019,PLN,20891,3302,3009,2845,2054,5356,172699,97452,"29500,000","0,096","3,303",N
III Q 2019,PLN,80183,11567,11205,8768,2141,13708,211778,106243,"29500,000","0,297","3,601",N
IV Q 2017,PLN,11343,819,-241,-302,2115,2934,153219,85379,"29500,000","-0,010","2,894",N
