kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,43,-75865,-73542,-78827,2,-75863,108992,-5577538,"818420,313","-0,096","-6,815",N
I Q 2023,PLN,14,-73820,-74419,-96714,1,-73819,100600,-5674252,"818420,313","-0,118","-6,933",N
II Q 2023,PLN,0,-77848,-77860,-100436,2,-77846,89887,-5774691,"818420,313","-0,123","-7,056",N
III Q 2023,PLN,0,-76175,-76186,-92023,24,-76151,86100,-5867180,"818420,313","-0,112","-7,169",N
IV Q 2021,PLN,47,-46623,-46744,-69773,-2,-46625,104993,-5271139,"818420,313","-0,085","-6,441",N
I Q 2022,PLN,39,-101861,-102174,-99467,0,-101861,116828,-5370606,"818420,313","-0,122","-6,562",N
II Q 2022,PLN,35,-17028,-17280,-31966,0,-17028,110054,-5402573,"818420,313","-0,039","-6,601",N
III Q 2022,PLN,28,-77619,-77220,-96140,1,-77618,104273,-5498713,"818420,313","-0,117","-6,719",N
IV Q 2020,PLN,88,-38904,-146064,-171115,-79,-38983,166939,-5078955,"818420,313","-0,209","-6,206",N
I Q 2021,PLN,22,-36486,-36475,-26707,46,-36440,182757,-5078916,"818420,313","-0,033","-6,206",N
II Q 2021,PLN,60,-36677,-37300,-34086,41,-36636,157335,-5139723,"818420,313","-0,042","-6,280",N
III Q 2021,PLN,30,-36828,-36825,-61643,11,-36817,121840,-5201366,"818420,313","-0,075","-6,355",N
IV Q 2019,PLN,-833037,-4023025,-4018389,-4368995,-12545,-4035570,1339999,-4686982,"818420,313","-5,338","-5,727",N
I Q 2020,PLN,568,-20288,-20273,-26558,117,-20171,1161461,-4713690,"818420,313","-0,032","-5,759",N
II Q 2020,PLN,-517,-60158,-60443,-169106,114,-60044,1052633,-4882898,"818420,313","-0,207","-5,966",N
III Q 2020,PLN,-6,-26454,-27086,-25406,266,-26188,1016296,-4908252,"818420,313","-0,031","-5,997",N
IV Q 2018,PLN,409638,-29282,-9578,4363,4297,-24985,1566608,-207918,"815093,642","0,005","-0,255",N
I Q 2019,PLN,315539,-3327,-4768,-4799,5009,1682,1555520,-212581,"815093,642","-0,006","-0,261",N
II Q 2019,PLN,204739,-203614,-206014,-61237,4725,-198889,1527900,-273789,"818420,313","-0,075","-0,335",N
III Q 2019,PLN,313009,-43018,-45470,-42643,4951,-38067,1475173,-316314,"818420,313","-0,052","-0,386",N
IV Q 2017,PLN,472777,-95768,-97115,-29189,-15129,-110897,1767796,-166733,"804050,591","-0,036","-0,207",N
I Q 2018,PLN,310462,13656,11466,-2788,3854,17510,1548593,-177767,"804330,222","-0,003","-0,221",N
II Q 2018,PLN,327541,-42029,-35794,-15332,3994,-38035,1546050,-189275,"804330,222","-0,019","-0,235",N
III Q 2018,PLN,270516,-3703,-5213,-9967,4284,581,1456476,-203405,"804330,222","-0,012","-0,253",N
IV Q 2016,PLN,671708,-29730,-37406,-36738,6181,-23549,1960916,-65941,"770705,820","-0,048","-0,086",N
I Q 2017,PLN,456181,25045,21885,6422,4044,29089,1767964,-68728,"777164,925","0,008","-0,088",N
II Q 2017,PLN,457819,-5329,-9751,-10742,4048,-1281,1545701,-81790,"804050,591","-0,013","-0,102",N
III Q 2017,PLN,482316,28078,24629,2069,3975,32053,1506445,-81117,"804050,591","0,003","-0,101",N
IV Q 2015,PLN,659773,-77630,-78056,-78582,31648,-45982,2193807,-1159154,"714750,000","-0,110","-1,622",N
I Q 2016,PLN,368047,7563,6028,1182,5068,12631,2099543,-1162627,"714750,000","0,002","-1,627",N
II Q 2016,PLN,420613,821138,815483,865860,6136,827274,1707485,-32720,"714750,000","1,211","-0,046",N
III Q 2016,PLN,526646,21420,19142,8427,4478,25898,1796985,-27744,"714750,000","0,012","-0,039",N
IV Q 2014,PLN,542275,113535,99100,81475,9402,122937,2189205,-944950,"714750,000","0,114","-1,322",N
I Q 2015,PLN,323355,-2202,-4045,-6090,4898,2696,2135844,-962950,"714750,000","-0,009","-1,347",N
