kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,40564,3206,-14281,-20008,4679,7885,350804,272306,"29950,226","-0,668","9,092",N
I Q 2023,PLN,34917,-1501,-3231,-4558,4507,3006,351949,267305,"30086,330","-0,151","8,885",N
II Q 2023,PLN,33749,-7386,-8130,-8877,4376,-3010,481857,389845,"33429,367","-0,266","11,662",N
III Q 2023,PLN,42583,-1236,803,-1917,5709,4473,579927,490213,"35940,271","-0,053","13,640",N
IV Q 2021,PLN,48496,15248,15237,14957,2998,18246,316692,257461,"29950,226","0,499","8,596",N
I Q 2022,PLN,50354,13244,15366,13721,3273,16517,344654,273704,"29950,226","0,458","9,139",N
II Q 2022,PLN,40238,8127,12409,9431,4331,12458,372200,278736,"29950,226","0,315","9,307",N
III Q 2022,PLN,40329,6501,16941,15528,4835,11336,384937,298216,"29950,226","0,518","9,957",N
IV Q 2020,PLN,24450,2584,2955,2751,1822,4406,95697,76519,"29562,512","0,093","2,588",N
I Q 2021,PLN,30871,6807,8488,7818,2520,9327,205722,181952,"0,000",,,N
II Q 2021,PLN,46452,16759,14424,13902,2720,19479,272752,190113,"0,000",,,N
III Q 2021,PLN,54474,22841,26292,24690,3301,26142,292787,241589,"29950,226","0,824","8,066",N
IV Q 2019,PLN,0,0,0,0,0,0,58730,51730,"27500,000","0,000","1,881",N
I Q 2020,PLN,25930,8386,9481,8683,1388,9774,0,0,"27500,000","0,316","0,000",N
II Q 2020,PLN,26695,9806,9576,8589,1650,11456,90941,69168,"27500,000","0,312","2,515",N
III Q 2020,PLN,26694,4813,4646,4556,1491,6304,0,0,"27500,000","0,166","0,000",N
IV Q 2017,PLN,0,0,0,0,0,0,41568,30042,"27500,000","0,000","1,092",N
IV Q 2018,PLN,0,0,0,0,0,0,61565,48622,"27500,000","0,000","1,768",N
