kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,119688,16547,17559,13726,2388,18935,344654,148472,"5982,716","2,294","24,817",N
I Q 2023,PLN,88835,1383,2388,1109,2056,3439,329476,149523,"5982,716","0,185","24,992",N
II Q 2023,PLN,101703,6388,7636,6916,2352,8740,360577,152410,"5982,716","1,156","25,475",N
III Q 2023,PLN,121472,6101,5037,3542,1984,8085,405313,156771,"5982,716","0,592","26,204",N
IV Q 2021,PLN,105424,3510,5131,3875,1771,5281,314546,119548,"5982,716","0,648","19,982",N
I Q 2022,PLN,106571,2985,2876,2224,1932,4917,335637,121970,"5982,716","0,372","20,387",N
II Q 2022,PLN,156331,3666,3644,3444,1804,5470,363801,125527,"5982,716","0,576","20,982",N
III Q 2022,PLN,149823,12050,11515,9156,1679,13729,376739,135373,"5982,716","1,530","22,627",N
IV Q 2020,PLN,89241,7143,7189,5377,1243,8386,243862,119796,"5982,716","0,899","20,024",N
I Q 2021,PLN,57088,-453,-383,-475,1198,745,0,0,"5982,716","-0,079","0,000",N
II Q 2021,PLN,65878,-1085,-508,-866,1259,174,272597,116100,"5982,716","-0,145","19,406",N
III Q 2021,PLN,83678,350,-693,-656,1419,1769,292039,115808,"5982,716","-0,110","19,357",N
IV Q 2019,PLN,97834,4221,5126,3612,1085,5306,236877,107737,"5982,716","0,604","18,008",N
I Q 2020,PLN,82920,4664,2983,1575,1080,5744,248996,109871,"5982,716","0,263","18,365",N
II Q 2020,PLN,90544,6661,7030,6233,1157,7818,255383,112266,"5982,716","1,042","18,765",N
III Q 2020,PLN,79176,3404,3035,1686,1228,4632,251103,114134,"5982,716","0,282","19,077",N
IV Q 2018,PLN,65786,2675,2286,1929,793,3468,188670,105507,"5982,716","0,322","17,635",N
I Q 2019,PLN,48362,517,512,280,951,1468,193777,105789,"5982,716","0,047","17,682",N
II Q 2019,PLN,53901,1075,1159,581,984,2059,198212,102660,"5982,716","0,097","17,159",N
III Q 2019,PLN,71898,2155,1567,1082,1015,3170,226113,104067,"5982,716","0,181","17,395",N
IV Q 2017,PLN,60809,7647,8083,7020,1263,8910,186874,100822,"5982,716","1,173","16,852",N
I Q 2018,PLN,55382,4122,3729,2391,1003,5125,187184,103286,"5982,716","0,400","17,264",N
II Q 2018,PLN,67508,4756,3675,2380,739,5495,202102,99415,"5982,716","0,398","16,617",N
III Q 2018,PLN,73215,5164,5254,4347,801,5965,199265,103572,"5982,716","0,727","17,312",N
IV Q 2016,PLN,35632,-5347,-5577,-6280,2282,-3065,129671,91031,"5982,716","-1,050","15,216",N
I Q 2017,PLN,31613,1503,902,-137,868,2371,176743,90620,"5982,716","-0,023","15,147",N
II Q 2017,PLN,50479,159,224,125,1126,1285,182685,90603,"5982,716","0,021","15,144",N
III Q 2017,PLN,56290,5254,5616,4080,827,6081,199848,94848,"5982,716","0,682","15,854",N
IV Q 2015,PLN,35259,-11657,-11979,-11470,849,-10808,128328,92682,"5982,716","-1,917","15,492",N
I Q 2016,PLN,23197,-295,-148,-242,833,538,122067,92478,"5982,716","-0,040","15,458",N
II Q 2016,PLN,31367,-511,-594,-877,833,322,126737,93705,"5982,716","-0,147","15,663",N
III Q 2016,PLN,32913,2669,2560,1756,822,3491,128472,94341,"5982,716","0,294","15,769",N
IV Q 2014,PLN,48016,2199,2225,2285,890,3089,148945,104898,"5982,716","0,382","17,534",N
I Q 2015,PLN,26634,72,144,146,837,909,141919,104841,"5982,716","0,024","17,524",N
II Q 2015,PLN,31993,840,436,247,873,1713,141873,101807,"5982,716","0,041","17,017",N
III Q 2015,PLN,36408,2805,2866,2261,850,3655,146884,104086,"5982,716","0,378","17,398",N
IV Q 2013,PLN,64930,4029,3794,3845,739,4768,159675,109963,"6024,000","0,638","18,254",N
I Q 2014,PLN,44657,-1361,-1407,-1373,797,-564,156418,107792,"6024,000","-0,228","17,894",N
II Q 2014,PLN,33123,-2655,-2603,-3113,800,-1855,137461,102294,"6024,000","-0,517","16,981",N
III Q 2014,PLN,38277,213,261,207,780,993,148408,102515,"6024,000","0,034","17,018",N
IV Q 2012,PLN,47335,5103,5133,3428,819,5922,143579,109014,"6024,000","0,569","18,097",N
I Q 2013,PLN,27802,-1167,-897,-928,721,-446,138464,108149,"6024,000","-0,154","17,953",N
II Q 2013,PLN,28076,-538,-394,-190,759,221,138344,105639,"6024,000","-0,032","17,536",N
III Q 2013,PLN,37810,1271,1622,1135,687,1958,147342,106579,"6024,000","0,188","17,692",N
IV Q 2011,PLN,50902,1995,2178,2059,801,2796,142897,101907,"6024,000","0,342","16,917",N
I Q 2012,PLN,27525,1952,1184,865,766,2718,137908,102679,"6024,000","0,144","17,045",N
II Q 2012,PLN,40244,1623,1681,1297,772,2395,140933,104018,"6024,000","0,215","17,267",N
III Q 2012,PLN,38500,2332,2047,1670,770,3102,143047,105613,"6024,000","0,277","17,532",N
IV Q 2010,PLN,45968,-647,-725,-420,915,268,143824,100736,"6024,000","-0,070","16,722",N
I Q 2011,PLN,36513,-1503,-1564,-1411,812,-691,140945,99330,"6024,000","-0,234","16,489",N
II Q 2011,PLN,37727,104,220,270,786,890,136164,99597,"6024,000","0,045","16,533",N
III Q 2011,PLN,32291,-381,117,145,782,401,0,0,"6024,000","0,024","0,000",N
IV Q 2009,PLN,33373,902,837,1161,1143,2045,145655,110847,"6024,000","0,193","18,401",N
I Q 2010,PLN,18199,-4704,-5320,-4645,967,-3737,137453,106248,"6024,000","-0,771","17,637",N
II Q 2010,PLN,25151,-3435,-3307,-2213,955,-2480,134457,104100,"6024,000","-0,367","17,281",N
III Q 2010,PLN,23223,-4561,-4394,-3691,961,-3600,0,0,"6024,000","-0,613","0,000",N
IV Q 2008,PLN,43809,2167,3697,2927,1041,3208,161362,115795,"6024,000","0,486","19,222",N
I Q 2009,PLN,25415,-600,-283,-715,1040,440,160696,115138,"6024,000","-0,119","19,113",N
II Q 2009,PLN,27579,-853,-489,-724,813,-40,152694,108511,"6024,000","-0,120","18,013",N
III Q 2009,PLN,32989,791,1053,505,988,1779,0,0,"6024,000","0,084","0,000",N
IV Q 2007,PLN,40317,7053,7531,6982,1144,8197,135610,107451,"6024,000","1,159","17,837",N
I Q 2008,PLN,46578,2524,2535,2052,933,3457,158051,109739,"6024,000","0,341","18,217",N
II Q 2008,PLN,58896,1796,1120,708,938,2734,173986,107678,"6024,000","0,118","17,875",N
III Q 2008,PLN,61240,4979,5929,4652,942,5921,0,0,"6024,000","0,772","0,000",N
IV Q 2006,PLN,34284,1044,1707,1303,450,1494,71383,45488,"4518,000","0,288","10,068",N
I Q 2007,PLN,30346,1566,1776,1422,451,2017,123663,98247,"6024,000","0,236","16,309",N
II Q 2007,PLN,32340,1870,2221,1749,522,2392,123229,97933,"6024,000","0,290","16,257",N
III Q 2007,PLN,35870,2694,2554,1926,593,3287,0,0,"6024,000","0,320","0,000",N
IV Q 2005,PLN,32357,773,879,773,419,1192,54674,30977,"4518,000","0,171","6,856",N
I Q 2006,PLN,22131,364,481,370,423,787,50675,31347,"4518,000","0,082","6,938",N
II Q 2006,PLN,35908,1915,2145,1737,414,2329,66264,30962,"4518,000","0,384","6,853",N
III Q 2006,PLN,59637,3916,3744,3005,438,4354,0,0,"4518,000","0,665","0,000",N
IV Q 2004,PLN,22394,441,-409,-362,189,630,43071,27866,"4518,000","-0,080","6,168",N
I Q 2005,PLN,21966,477,441,332,373,850,47334,28199,"4518,000","0,073","6,241",N
II Q 2005,PLN,35042,2201,1797,1419,405,2606,56628,28397,"4518,000","0,314","6,285",N
III Q 2005,PLN,31221,2808,2420,1807,476,3284,0,0,"4518,000","0,400","0,000",N
IV Q 2003,PLN,21949,-188,275,554,364,176,40252,25425,"4522,000","0,123","5,623",N
I Q 2004,PLN,18625,849,516,450,409,1258,41807,27770,"4522,000","0,100","6,141",N
II Q 2004,PLN,23006,1121,304,221,375,1496,40926,26348,"4518,000","0,049","5,832",N
III Q 2004,PLN,26143,1053,520,404,331,1384,41612,27004,"4518,000","0,089","5,977",N
IV Q 2002,PLN,18317,-136,25,83,335,199,34114,23441,"4596,000","0,018","5,100",N
I Q 2003,PLN,13239,-127,66,52,344,217,31826,23452,"4596,000","0,011","5,103",N
II Q 2003,PLN,14724,896,513,292,341,1237,35482,22828,"4522,000","0,065","5,048",N
III Q 2003,PLN,27412,2751,2361,1703,387,3138,39791,24518,"4522,000","0,377","5,422",N
IV Q 2001,PLN,17465,887,-218,-216,348,1235,32243,22229,"0,000",,,N
I Q 2002,PLN,15672,65,264,121,363,428,31513,22350,"0,000",,,N
II Q 2002,PLN,14585,601,992,743,374,975,32190,22998,"4596,000","0,162","5,004",N
III Q 2002,PLN,19984,787,1121,684,383,1170,36431,23621,"4596,000","0,149","5,139",N
IV Q 2000,PLN,0,0,0,0,0,0,33280,24250,"0,000",,,N
I Q 2001,PLN,17499,637,453,308,317,954,35244,24669,"0,000",,,N
II Q 2001,PLN,17882,431,-191,-138,333,764,36842,22609,"0,000",,,N
III Q 2001,PLN,17141,-390,211,80,331,-59,35326,23026,"0,000",,,N
IV Q 1998,PLN,0,0,0,0,0,0,23201,17825,"0,000",,,N
II Q 1999,PLN,0,0,0,0,0,0,27067,22366,"0,000",,,N
IV Q 1999,PLN,0,0,0,0,0,0,30541,24027,"0,000",,,N
II Q 2000,PLN,0,0,0,0,0,0,34707,25669,"0,000",,,N
 Q 0000,PLN,22394,483,-503,-439,1,484,38933,24872,"4518,000","-0,097","5,505",N
II Q 1998,,0,0,0,0,0,0,19624,14803,"0,000",,,N
