kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,876,-2393,-2494,-2686,173,-2220,75071,23744,"3680,000","-0,730","6,452",N
I Q 2023,PLN,774,392,333,347,159,551,66715,24051,"3680,000","0,094","6,536",N
II Q 2023,PLN,1654,-1321,-1032,-710,158,-1163,89400,22947,"3680,000","-0,193","6,236",N
III Q 2023,PLN,1024,-185,-203,-280,158,-27,88325,23214,"3680,000","-0,076","6,308",N
IV Q 2021,PLN,953,-1691,-167,-2695,190,-1501,39834,26002,"3680,000","-0,732","7,066",N
I Q 2022,PLN,930,-328,-455,-466,161,-167,46181,25535,"3680,000","-0,127","6,939",N
II Q 2022,PLN,2082,1333,1330,1359,162,1495,77272,26923,"3680,000","0,369","7,316",N
III Q 2022,PLN,846,-405,-459,-506,162,-243,76413,26460,"3680,000","-0,137","7,190",N
IV Q 2020,PLN,-18149,5522,-5223,-3276,-489,5033,160718,26103,"3680,000","-0,890","7,093",N
I Q 2021,PLN,525,-332,-1647,-1380,152,-180,52129,34937,"3680,000","-0,375","9,494",N
II Q 2021,PLN,2488,1398,1223,845,156,1554,49513,36203,"3680,000","0,230","9,838",N
III Q 2021,PLN,526,-416,-340,-341,155,-261,49610,29348,"3680,000","-0,093","7,975",N
IV Q 2019,PLN,10348,-806,-22202,-17381,402,-404,187304,41720,"3680,000","-4,723","11,337",N
I Q 2020,PLN,8136,1602,193,57,393,1995,181528,41832,"3680,000","0,015","11,367",N
II Q 2020,PLN,5536,-11670,-3256,-3276,355,-11315,165939,32646,"3680,000","-0,890","8,871",N
III Q 2020,PLN,7716,644,-314,-727,389,1033,161868,29912,"3680,000","-0,198","8,128",N
IV Q 2018,PLN,9993,-1988,-4287,-2380,399,-1589,257991,45019,"3680,000","-0,647","12,233",N
I Q 2019,PLN,8244,1852,11267,7635,358,2210,249894,55492,"3680,000","2,075","15,079",N
II Q 2019,PLN,11112,2179,-1526,-1820,498,2677,207278,52886,"3680,000","-0,495","14,371",N
III Q 2019,PLN,8797,3840,91,244,385,4225,190556,53210,"3680,000","0,066","14,459",N
IV Q 2017,PLN,13042,4545,3589,2642,255,4800,270025,55321,"3680,000","0,718","15,033",N
I Q 2018,PLN,11873,3790,1234,845,311,4101,272378,49907,"3680,000","0,230","13,562",N
II Q 2018,PLN,11130,3799,1249,538,327,4126,271969,49212,"3680,000","0,146","13,373",N
III Q 2018,PLN,11507,3740,1122,491,381,4121,261921,49174,"3680,000","0,133","13,363",N
IV Q 2016,PLN,9450,3124,79,-235,284,3408,228270,49745,"3680,000","-0,064","13,518",N
I Q 2017,PLN,9042,2157,-211,-391,212,2369,250898,49354,"3680,000","-0,106","13,411",N
II Q 2017,PLN,9076,2115,-393,-463,224,2339,243526,49706,"3680,000","-0,126","13,507",N
III Q 2017,PLN,10635,3982,2131,1457,228,4210,243717,50813,"3680,000","0,396","13,808",N
IV Q 2015,PLN,10777,3978,3167,1889,219,4197,186299,46670,"3680,000","0,513","12,682",N
I Q 2016,PLN,8675,4030,2416,1258,221,4251,192736,47928,"3680,000","0,342","13,024",N
II Q 2016,PLN,7848,1682,-177,465,244,1926,208967,48967,"3680,000","0,126","13,306",N
III Q 2016,PLN,9528,3954,1768,1106,257,4211,227402,50074,"3680,000","0,301","13,607",N
IV Q 2014,PLN,9486,1481,-380,-828,208,1689,175159,50578,"3680,000","-0,225","13,744",N
I Q 2015,PLN,8788,3497,1680,1063,216,3713,172659,51640,"3680,000","0,289","14,033",N
II Q 2015,PLN,8767,4162,2202,1516,220,4382,182886,49504,"3680,000","0,412","13,452",N
III Q 2015,PLN,8819,-2413,-4225,-3896,215,-2198,178169,45598,"3680,000","-1,059","12,391",N
IV Q 2013,PLN,8397,2252,169,-487,238,2490,188856,51560,"3680,000","-0,132","14,011",N
I Q 2014,PLN,8860,3977,1817,1344,224,4201,195707,52945,"3680,000","0,365","14,387",N
II Q 2014,PLN,10832,3490,1190,576,221,3711,186926,49815,"3680,000","0,157","13,537",N
III Q 2014,PLN,8506,3664,1911,1275,218,3882,175975,51767,"3680,000","0,346","14,067",N
IV Q 2012,PLN,10225,5795,3565,2578,237,6032,158949,52068,"3680,000","0,701","14,149",N
