kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,22846,-116,98,-766,1634,1518,98958,43675,"19144,600","-0,040","2,281",N
I Q 2023,PLN,27840,1879,1501,695,1670,3549,99053,43973,"19144,600","0,036","2,297",N
II Q 2023,PLN,24794,532,515,61,1685,2217,98260,42305,"19144,600","0,003","2,210",N
III Q 2023,PLN,23481,802,-510,-821,1702,2504,98688,43133,"19144,600","-0,043","2,253",N
IV Q 2021,PLN,20229,-3681,-813,242,1366,-2315,93560,44698,"19144,600","0,013","2,335",N
I Q 2022,PLN,27487,1781,1655,800,1616,3397,100017,45649,"19144,600","0,042","2,384",N
II Q 2022,PLN,25455,63,-601,-678,1603,1666,99146,45431,"19144,600","-0,035","2,373",N
III Q 2022,PLN,24573,1145,102,-584,1648,2793,104557,46710,"19144,600","-0,031","2,440",N
IV Q 2020,PLN,25580,251,241,1368,1672,1923,97043,48013,"19144,600","0,071","2,508",N
I Q 2021,PLN,25351,2543,2425,1250,1581,4124,100972,49590,"19144,600","0,065","2,590",N
II Q 2021,PLN,22446,1113,878,-95,1557,2670,103714,48198,"19144,600","-0,005","2,518",N
III Q 2021,PLN,25734,649,279,-715,1615,2264,105321,48550,"19144,600","-0,037","2,536",N
IV Q 2019,PLN,24316,-125,-68,-737,1099,974,93450,47059,"19144,600","-0,038","2,458",N
I Q 2020,PLN,24592,2667,2095,863,1283,3950,99108,49552,"19144,600","0,045","2,588",N
II Q 2020,PLN,15721,-2251,-2269,-2072,1324,-927,94924,47356,"19144,600","-0,108","2,474",N
III Q 2020,PLN,24866,1452,1414,574,1356,2808,96919,47947,"19144,600","0,030","2,504",N
IV Q 2018,PLN,24114,-2464,-1812,-2397,890,-1574,83900,49221,"19144,600","-0,125","2,571",N
I Q 2019,PLN,25534,2041,1857,811,950,2991,101882,49201,"19144,600","0,042","2,570",N
II Q 2019,PLN,24630,740,405,-262,1213,1953,102398,52112,"19144,600","-0,014","2,722",N
III Q 2019,PLN,25235,391,65,-303,1144,1535,101584,53282,"19144,600","-0,016","2,783",N
