kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,12474,1869,1420,1436,206,2075,26793,16546,"1364,870","1,052","12,123",N
I Q 2023,PLN,13792,1038,1202,948,205,1243,24434,17456,"1364,870","0,695","12,789",N
II Q 2023,PLN,10401,-422,-611,-609,199,-223,24198,16638,"1364,870","-0,446","12,190",N
III Q 2023,PLN,10433,-463,-174,-214,201,-262,24994,16423,"1364,870","-0,157","12,033",N
IV Q 2021,PLN,10402,195,468,609,191,386,26928,18873,"1314,870","0,463","14,354",N
I Q 2022,PLN,7632,-1302,-1539,-1529,190,-1112,24383,17300,"1364,870","-1,120","12,675",N
II Q 2022,PLN,13219,705,731,725,195,900,23704,13860,"1364,870","0,531","10,155",N
III Q 2022,PLN,11971,1482,1871,1498,193,1675,24106,15147,"1364,870","1,098","11,098",N
IV Q 2020,PLN,12201,2845,3004,2915,168,3013,28442,17210,"1314,870","2,217","13,089",N
I Q 2021,PLN,10077,2730,2882,2352,168,2898,27190,20187,"1314,870","1,789","15,353",N
II Q 2021,PLN,9366,768,549,371,182,950,26967,16438,"1314,870","0,282","12,502",N
III Q 2021,PLN,9057,38,-349,-314,187,225,22011,16480,"1314,870","-0,239","12,534",N
IV Q 2019,PLN,8545,728,647,1017,161,889,18705,12831,"1314,870","0,773","9,758",N
I Q 2020,PLN,8935,614,501,407,157,771,18416,13376,"1314,870","0,310","10,173",N
II Q 2020,PLN,8847,1629,1884,1568,158,1787,22179,14351,"1314,870","1,193","10,914",N
III Q 2020,PLN,8648,1740,1608,1122,157,1897,22176,16113,"1314,870","0,853","12,254",N
IV Q 2018,PLN,7761,652,678,520,156,808,17473,12340,"1314,870","0,395","9,385",N
I Q 2019,PLN,6697,776,763,576,155,931,17832,12922,"1314,870","0,438","9,828",N
II Q 2019,PLN,9342,677,634,502,153,830,19745,10881,"1314,870","0,382","8,275",N
III Q 2019,PLN,8565,797,965,643,160,957,18635,13162,"1314,870","0,489","10,010",N
IV Q 2017,PLN,7920,-419,-364,-558,180,-239,19755,14160,"1314,870","-0,424","10,769",N
I Q 2018,PLN,6640,427,305,226,179,606,17576,14491,"1314,870","0,172","11,021",N
II Q 2018,PLN,6762,617,527,363,174,791,19582,10498,"1314,870","0,276","7,984",N
III Q 2018,PLN,8340,849,665,533,174,1023,17575,12465,"1314,870","0,405","9,480",N
IV Q 2016,PLN,7112,1221,1254,845,229,1450,16616,12928,"1480,757","0,571","8,731",N
I Q 2017,PLN,7416,665,545,408,194,859,17774,13349,"1480,757","0,276","9,015",N
II Q 2017,PLN,8308,858,648,495,199,1057,17763,10587,"1480,757","0,334","7,150",N
III Q 2017,PLN,6525,145,2039,1663,185,330,17224,13286,"1480,757","1,123","8,972",N
IV Q 2015,PLN,6933,1040,1183,1031,318,1358,16294,12672,"1480,757","0,696","8,558",N
I Q 2016,PLN,5799,130,147,284,281,411,15406,11945,"1480,757","0,192","8,067",N
II Q 2016,PLN,6990,613,914,754,250,863,16889,12350,"1480,757","0,509","8,340",N
III Q 2016,PLN,5957,-65,-153,-181,255,190,15676,12088,"1480,757","-0,122","8,163",N
IV Q 2014,PLN,8023,1320,198,252,378,1698,16065,12161,"1480,757","0,170","8,213",N
I Q 2015,PLN,5772,436,-48,-72,350,786,15660,12241,"1480,757","-0,049","8,267",N
II Q 2015,PLN,6284,685,1006,919,388,1073,15243,12194,"1480,757","0,621","8,235",N
III Q 2015,PLN,5625,90,-289,-296,315,405,14965,12234,"1480,757","-0,200","8,262",N
IV Q 2013,PLN,5904,721,527,997,495,1216,16003,11923,"1480,757","0,673","8,052",N
I Q 2014,PLN,5556,232,-74,59,457,689,15954,11821,"1480,757","0,040","7,983",N
