kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,26329,-92223,-69183,-92629,2394,-89829,608100,-205938,"160880,445","-0,576","-1,280",N
I Q 2023,PLN,105232,-228768,-235846,-236219,1975,-226793,536574,-443148,"160880,445","-1,468","-2,755",N
II Q 2023,PLN,68552,14961,4223,4895,1950,16911,465399,-438543,"160880,445","0,030","-2,726",N
III Q 2023,PLN,81564,-23735,-41749,-42673,1804,-21931,404574,-483817,"160880,445","-0,265","-3,007",N
IV Q 2021,PLN,134950,-13372,-6395,-5812,2500,-10872,655014,-154461,"25486399,600","0,000","-0,006",N
I Q 2022,PLN,143130,45164,49783,49055,2319,47483,632800,-103587,"32176089,000","0,002","-0,003",N
II Q 2022,PLN,105396,-14240,-13256,-9155,2317,-11923,596094,-113044,"160880,445","-0,057","-0,703",N
III Q 2022,PLN,116152,2311,993,-1392,2151,4462,593537,-114741,"160880,445","-0,009","-0,713",N
IV Q 2020,PLN,412246,-56437,-54889,-56964,3892,-52545,1037602,-205690,"25486399,600","-0,002","-0,008",N
I Q 2021,PLN,153632,2342,-1200,-3868,2966,5308,874680,-210216,"25486399,600","0,000","-0,008",N
II Q 2021,PLN,101364,-65616,-83924,-89576,2495,-63121,758242,-299175,"25486399,600","-0,004","-0,012",N
III Q 2021,PLN,135384,71370,79717,81080,2321,73691,713972,-151925,"25486399,600","0,003","-0,006",N
IV Q 2019,PLN,427160,-223538,-261497,-273866,4285,-219253,1302431,110244,"25486399,600","-0,011","0,004",N
I Q 2020,PLN,296201,-1876,-1647,-844,3637,1761,1126735,109058,"25486399,600","0,000","0,004",N
II Q 2020,PLN,197761,-257071,-261270,-270371,4003,-253068,1018998,-161601,"25486399,600","-0,011","-0,006",N
III Q 2020,PLN,301558,7299,8476,11296,3593,10892,984923,-150009,"25486399,600","0,000","-0,006",N
IV Q 2018,PLN,385602,7100,7681,11915,3841,10941,1357521,588815,"25486399,600","0,000","0,023",N
I Q 2019,PLN,312702,1338,1720,1311,4504,5842,1339831,590205,"25486399,600","0,000","0,023",N
II Q 2019,PLN,206467,-185075,-185287,-175896,4463,-180612,1322855,414100,"25486399,600","-0,007","0,016",N
III Q 2019,PLN,298575,-30286,-30610,-24670,4347,-25939,1283823,389643,"25486399,600","-0,001","0,015",N
IV Q 2017,PLN,453927,-9647,-12411,-21682,3678,-5969,1281253,558331,"25486399,600","-0,001","0,022",N
I Q 2018,PLN,297930,17185,16747,8446,3568,20753,1247307,566869,"25486399,600","0,000","0,022",N
II Q 2018,PLN,326201,8432,11981,6197,3660,12092,1237431,572465,"25486399,600","0,000","0,022",N
III Q 2018,PLN,259085,7814,6767,7028,3756,11570,1206434,578475,"25486399,600","0,000","0,023",N
IV Q 2016,PLN,639200,-5232,-5982,-11614,3477,-1755,1427069,434855,"16986399,600","-0,001","0,026",N
I Q 2017,PLN,439703,25692,20898,10694,3535,29227,1340721,433239,"16986399,600","0,001","0,026",N
II Q 2017,PLN,432166,2565,229,-2339,3500,6065,1026648,431200,"16986399,600","0,000","0,025",N
III Q 2017,PLN,456798,30202,30622,17490,3478,33680,1156333,447801,"16986399,600","0,001","0,026",N
IV Q 2015,PLN,533034,14806,16136,12550,3308,18114,1251218,425091,"16986399,600","0,001","0,025",N
I Q 2016,PLN,334262,6715,5698,4354,3498,10213,1282103,429686,"16986399,600","0,000","0,025",N
II Q 2016,PLN,406302,3937,4238,3174,3648,7585,1158656,432516,"16986399,600","0,000","0,025",N
III Q 2016,PLN,495548,19277,18539,14599,3777,23054,1262400,445829,"16986399,600","0,001","0,026",N
IV Q 2014,PLN,428803,13324,15599,4027,3310,16634,1146562,301261,"13920000,000","0,000","0,022",N
I Q 2015,PLN,280092,7748,6339,2195,3246,10994,1110419,303246,"13920000,000","0,000","0,022",N
II Q 2015,PLN,415180,7413,13598,11730,3083,10496,1161026,314717,"13920000,000","0,001","0,023",N
III Q 2015,PLN,321784,10752,10006,7595,3196,13948,1237729,416241,"16986399,600","0,000","0,025",N
IV Q 2013,PLN,185696,-2507,-5311,-2129,3160,653,1065402,282953,"13920000,000","0,000","0,020",N
I Q 2014,PLN,183808,2509,4297,3368,3136,5645,925832,286543,"13920000,000","0,000","0,021",N
II Q 2014,PLN,274908,13018,9442,9920,3181,16199,1076268,296401,"13920000,000","0,001","0,021",N
III Q 2014,PLN,295953,8868,5079,5268,3211,12079,1114491,301530,"13920000,000","0,000","0,022",N
IV Q 2012,PLN,263079,-17719,-28003,-24684,3238,-14481,1306411,419118,"13920000,000","-0,002","0,030",N
I Q 2013,PLN,183769,3701,5091,3384,3152,6853,1260778,422626,"13920000,000","0,000","0,030",N
II Q 2013,PLN,197636,2154,3325,3273,3178,5332,1225898,425144,"13920000,000","0,000","0,031",N
III Q 2013,PLN,181002,-33068,-143459,-139877,3155,-29913,1127244,284323,"13920000,000","-0,010","0,020",N
IV Q 2011,PLN,312153,1047,6157,744,3245,4292,1386076,409431,"13920000,000","0,000","0,029",N
I Q 2012,PLN,321271,17109,17196,13349,5111,22220,1573572,424424,"13920000,000","0,001","0,030",N
II Q 2012,PLN,425976,8556,5209,18082,6146,14702,1223325,440989,"13920000,000","0,001","0,032",N
III Q 2012,PLN,281065,7100,4678,3088,3194,10294,1242968,443876,"13920000,000","0,000","0,032",N
IV Q 2010,PLN,308406,19813,17821,14080,2940,22753,948245,390445,"13920000,000","0,001","0,028",N
I Q 2011,PLN,199852,10842,12648,9859,3071,13913,939065,400779,"13920000,000","0,001","0,029",N
II Q 2011,PLN,264213,16709,16234,13127,3157,19866,1131637,376416,"13920000,000","0,001","0,027",N
III Q 2011,PLN,313041,31575,39636,31269,3191,34766,0,0,"13920000,000","0,002","0,000",N
IV Q 2009,PLN,259880,13745,19194,16773,2901,16646,792447,363279,"13920000,000","0,001","0,026",N
I Q 2010,PLN,239709,17222,13294,10047,2964,20186,797620,373238,"13920000,000","0,001","0,027",N
II Q 2010,PLN,311263,14447,16717,12781,3013,17460,0,0,"13920000,000","0,001","0,000",N
III Q 2010,PLN,284294,13627,13689,10724,2983,16610,0,0,"13920000,000","0,001","0,000",N
IV Q 2008,PLN,305810,32210,28621,-22576,4181,36391,817311,336168,"13920000,000","-0,002","0,024",N
I Q 2009,PLN,211468,22395,12972,8801,3540,25935,850162,344329,"13920000,000","0,001","0,025",N
