kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,13320,-8139,9302,6,258,-7881,857669,469273,"37183,550","0,000","12,620",N
I Q 2023,PLN,27412,8409,8904,7333,232,8641,917527,476606,"37183,550","0,197","12,818",N
II Q 2023,PLN,18009,-16130,-5704,289,292,-15838,876259,475842,"37183,550","0,008","12,797",N
III Q 2023,PLN,11251,19694,6462,4434,103,19797,902486,480276,"37183,550","0,119","12,916",N
IV Q 2021,PLN,10770,-9703,-7445,-7384,159,-9544,831561,442594,"37183,550","-0,199","11,903",N
I Q 2022,PLN,21156,16714,13080,9444,175,16889,845093,448758,"37183,550","0,254","12,069",N
II Q 2022,PLN,13058,3372,4157,6743,280,3652,833590,454244,"37183,550","0,181","12,216",N
III Q 2022,PLN,12879,23465,13716,10486,130,23595,854234,462989,"37183,550","0,282","12,451",N
IV Q 2020,PLN,63025,56746,63254,54204,209,56955,854817,435825,"37183,550","1,458","11,721",N
I Q 2021,PLN,14514,2358,-1468,-3235,168,2526,851612,435457,"37183,550","-0,087","11,711",N
II Q 2021,PLN,10412,-9122,2947,4594,179,-8943,825447,440051,"37183,550","0,124","11,835",N
III Q 2021,PLN,25145,15271,11950,8399,158,15429,815192,445582,"37183,550","0,226","11,983",N
IV Q 2019,PLN,12846,-14263,-5117,745,141,-14122,775032,381306,"37183,550","0,020","10,255",N
I Q 2020,PLN,15717,28614,7550,3683,160,28774,811954,384971,"37183,550","0,099","10,353",N
II Q 2020,PLN,9297,-23634,-15606,-13760,145,-23489,789085,371269,"37183,550","-0,370","9,985",N
III Q 2020,PLN,31601,20584,14311,10502,150,20734,859441,381608,"37183,550","0,282","10,263",N
IV Q 2018,PLN,25180,10816,2431,-1619,101,10917,796369,373221,"37183,550","-0,044","10,037",N
I Q 2019,PLN,17590,4071,888,310,147,4218,789238,362194,"37183,550","0,008","9,741",N
II Q 2019,PLN,12224,-2545,-5672,-10957,99,-2446,837648,351239,"37183,550","-0,295","9,446",N
III Q 2019,PLN,61293,33421,22404,17983,81,33502,775727,369215,"37183,550","0,484","9,930",N
IV Q 2017,PLN,34220,6642,10167,13267,87,6729,812337,351975,"37183,550","0,357","9,466",N
I Q 2018,PLN,17833,8731,3144,1566,109,8840,811077,349337,"37183,550","0,042","9,395",N
II Q 2018,PLN,32269,33447,21446,22455,103,33550,796646,371759,"37183,550","0,604","9,998",N
III Q 2018,PLN,13199,-8285,-5794,-4930,102,-8183,784882,366821,"37183,550","-0,133","9,865",N
IV Q 2016,PLN,17258,23826,8608,2070,126,23952,930844,349955,"37183,550","0,056","9,412",N
