kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
I Q 2020,PLN,33031,-5741,-10291,-9837,1878,-3863,92582,-22196,"35709,244","-0,275","-0,622",N
II Q 2020,PLN,29513,2270,2072,3574,1071,3341,92374,-18488,"35709,244","0,100","-0,518",N
III Q 2020,PLN,42202,-1648,27647,27706,1644,-4,88104,9313,"35709,244","0,776","0,261",N
IV Q 2020,PLN,26111,-3158,808,784,1510,-1648,70317,10097,"35709,244","0,022","0,283",N
I Q 2019,PLN,110980,-24206,-27316,-23889,8249,-15957,331483,8730,"35709,244","-0,669","0,244",N
II Q 2019,PLN,117874,-12440,-14822,-12572,10773,-1667,312852,-4022,"35709,244","-0,352","-0,113",N
III Q 2019,PLN,67061,-9345,23381,24967,3152,-6193,140105,22061,"35709,244","0,699","0,618",N
IV Q 2019,PLN,71108,-24945,-29690,-34142,1749,-23196,97076,-12023,"35709,244","-0,956","-0,337",N
I Q 2018,PLN,113333,-13636,-13271,-9925,3055,-10581,307179,70196,"35709,244","-0,278","1,966",N
II Q 2018,PLN,141700,5120,2000,2039,3300,8420,302785,72673,"35709,244","0,057","2,035",N
III Q 2018,PLN,133039,-11290,-12649,-9143,3347,-7943,337811,61448,"35709,244","-0,256","1,721",N
IV Q 2018,PLN,165136,-19733,-23542,-29397,3450,-16283,298838,32504,"35709,244","-0,823","0,910",N
I Q 2017,PLN,123431,-16028,-16507,-10254,3032,-12996,309122,91115,"35709,244","-0,287","2,552",N
II Q 2017,PLN,158148,-212,-1395,751,2979,2767,321760,91361,"35709,244","0,021","2,558",N
III Q 2017,PLN,154058,-11187,-11961,-6387,2982,-8205,323823,85180,"35709,244","-0,179","2,385",N
IV Q 2017,PLN,189176,935,-2856,-4429,2977,3912,308890,80600,"35709,244","-0,124","2,257",N
I Q 2016,PLN,125308,-6675,-6848,-6417,2032,-4643,282758,88662,"34666,200","-0,185","2,558",N
II Q 2016,PLN,160231,5527,6706,2390,1887,7414,269791,90566,"35709,244","0,067","2,536",N
